OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
11,Target,Showers Dr,Mountain View,California,CA,94040,4796,45511001,"45511001, 44511003, 45811034, 45811036, 45811041, 44911003, 44911012, 44912937, 44912981, 44921003, 44921063, 44921038, 44921094, 44921095, 45911015, 45912035, 45942043, 45991004, 45612001, 44911022, 45611009",531102,"531102, 541105, 564101, 564103, 565101, 571210, 571216, 571928, 571988, 572207, 573112, 573117, 573501, 573502, 594136, 594517, 594744, 599929, 599992, 571219, 591205","Department Stores, Grocers-Retail, Baby Accessories, Childrens & Infants Wear-Retail, Clothing-Retail, Bedding, Furniture-Dealers-Retail, Kitchen Accessories, Home Accessories & Furnishings, Appliances-Household-Small-Dealers, Video Games, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Video Tapes Discs & Cassettes, Exercise Equipment-Retail, Toys-Retail, Wedding Party Gifts, Pet Supplies & Foods-Retail, Cosmetics & Perfumes-Retail, House Furnishings-Retail, Pharmacies",,,Target Stores Inc,Very High,Branch,100000+,100000.0,,187,59121000.0,Data Axle,35358405fdffe0c1cfa9a3e49260646c,"CONAME, Mountain View, California",37.4008969998409,-122.10600900018972,1756054360382,Synapse54,1756054360382,Synapse54
12,Target,Admiral Callaghan Ln,Vallejo,California,CA,94591,3680,45511001,"45511001, 44511003, 45811034, 45811036, 45811041, 44911003, 44911012, 44912937, 44912981, 44921003, 44921063, 44921038, 44921094, 44921095, 45911015, 45912035, 45942043, 45991004, 45612001, 44911022, 45511003",531102,"531102, 541105, 564101, 564103, 565101, 571210, 571216, 571928, 571988, 572207, 573112, 573117, 573501, 573502, 594136, 594517, 594744, 599929, 599992, 571219, 531104","Department Stores, Grocers-Retail, Baby Accessories, Childrens & Infants Wear-Retail, Clothing-Retail, Bedding, Furniture-Dealers-Retail, Kitchen Accessories, Home Accessories & Furnishings, Appliances-Household-Small-Dealers, Video Games, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Video Tapes Discs & Cassettes, Exercise Equipment-Retail, Toys-Retail, Wedding Party Gifts, Pet Supplies & Foods-Retail, Cosmetics & Perfumes-Retail, House Furnishings-Retail, Retail Shops",,,Target Stores Inc,Very High,Branch,100000+,100000.0,,100,21822000.0,Data Axle,122d2cd2759df1e6a38f2bd35ada63e2,"CONAME, Vallejo, California",38.131722000126885,-122.22262700039336,1756054360382,Synapse54,1756054360382,Synapse54
13,Target,Silver Creek Rd,San Jose,California,CA,95121,1730,45511001,"45511001, 44511003, 45811034, 45811036, 45811041, 44911003, 44911012, 44912937, 44912981, 44921003, 44921063, 44921038, 44921094, 44921095, 45911015, 45912035, 45942043, 45991004, 45612001, 44911022, 45611009",531102,"531102, 541105, 564101, 564103, 565101, 571210, 571216, 571928, 571988, 572207, 573112, 573117, 573501, 573502, 594136, 594517, 594744, 599929, 599992, 571219, 591205","Department Stores, Grocers-Retail, Baby Accessories, Childrens & Infants Wear-Retail, Clothing-Retail, Bedding, Furniture-Dealers-Retail, Kitchen Accessories, Home Accessories & Furnishings, Appliances-Household-Small-Dealers, Video Games, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Video Tapes Discs & Cassettes, Exercise Equipment-Retail, Toys-Retail, Wedding Party Gifts, Pet Supplies & Foods-Retail, Cosmetics & Perfumes-Retail, House Furnishings-Retail, Pharmacies",,,Target Stores Inc,Very High,Branch,100000+,100000.0,,250,79038000.0,Data Axle,a8435964ac51349fa5cfb9097b769619,"CONAME, San Jose, California",37.30712100008077,-121.8135759997509,1756054360382,Synapse54,1756054360382,Synapse54
14,Target,Cosumnes River Blvd,Sacramento,California,CA,95823,5415,45511001,"45511001, 44511003, 45811034, 45811036, 45811041, 44911003, 44911012, 44912937, 44912981, 44921003, 44921063, 44921038, 44921094, 44921095, 45611009, 45911015, 45912035, 45942043, 45991004, 45612001, 44911022, 45511003, 72251117",531102,"531102, 541105, 564101, 564103, 565101, 571210, 571216, 571928, 571988, 572207, 573112, 573117, 573501, 573502, 591205, 594136, 594517, 594744, 599929, 599992, 571219, 531104, 581208","Department Stores, Grocers-Retail, Baby Accessories, Childrens & Infants Wear-Retail, Clothing-Retail, Bedding, Furniture-Dealers-Retail, Kitchen Accessories, Home Accessories & Furnishings, Appliances-Household-Small-Dealers, Video Games, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Video Tapes Discs & Cassettes, Pharmacies, Exercise Equipment-Retail, Toys-Retail, Wedding Party Gifts, Pet Supplies & Foods-Retail, Cosmetics & Perfumes-Retail, House Furnishings-Retail, Retail Shops, Restaurants",,,Target Stores Inc,Very High,Branch,100000+,100000.0,,250,49623000.0,Data Axle,c8d780c4e64595d1a8bd83a6ecf67a52,"CONAME, Sacramento, California",38.45908199985341,-121.41347799999708,1756054360382,Synapse54,1756054360382,Synapse54
15,Target,Highway 111,Palm Desert,California,CA,92260,3306,45511001,"45511001, 44511003, 45811034, 45811036, 45811041, 44911003, 44911012, 44912937, 44912981, 44921003, 44921063, 44921038, 44921094, 44921095, 45911015, 45912035, 45942043, 45991004, 45612001, 44911022, 72251117, 45511003",531102,"531102, 541105, 564101, 564103, 565101, 571210, 571216, 571928, 571988, 572207, 573112, 573117, 573501, 573502, 594136, 594517, 594744, 599929, 599992, 571219, 581208, 531104","Department Stores, Grocers-Retail, Baby Accessories, Childrens & Infants Wear-Retail, Clothing-Retail, Bedding, Furniture-Dealers-Retail, Kitchen Accessories, Home Accessories & Furnishings, Appliances-Household-Small-Dealers, Video Games, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Video Tapes Discs & Cassettes, Exercise Equipment-Retail, Toys-Retail, Wedding Party Gifts, Pet Supplies & Foods-Retail, Cosmetics & Perfumes-Retail, House Furnishings-Retail, Restaurants, Retail Shops",,,Target Stores Inc,Very High,Branch,100000+,100000.0,,145,27481000.0,Data Axle,9313f9125ab5e960b767c785856ab9d9,"CONAME, Palm Desert, California",33.72365099973164,-116.40336300013853,1756054360382,Synapse54,1756054360382,Synapse54
16,Target,Mchenry Ave,Modesto,California,CA,95350,1445,45511001,"45511001, 44511003, 45811034, 45811036, 45811041, 44911003, 44911012, 44912937, 44912981, 44921003, 44921063, 44921038, 44921094, 44921095, 45911015, 45912035, 45942043, 45991004, 45612001",531102,"531102, 541105, 564101, 564103, 565101, 571210, 571216, 571928, 571988, 572207, 573112, 573117, 573501, 573502, 594136, 594517, 594744, 599929, 599992","Department Stores, Grocers-Retail, Baby Accessories, Childrens & Infants Wear-Retail, Clothing-Retail, Bedding, Furniture-Dealers-Retail, Kitchen Accessories, Home Accessories & Furnishings, Appliances-Household-Small-Dealers, Video Games, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Video Tapes Discs & Cassettes, Exercise Equipment-Retail, Toys-Retail, Wedding Party Gifts, Pet Supplies & Foods-Retail, Cosmetics & Perfumes-Retail",,,Target Stores Inc,Very High,Branch,100000+,100000.0,,170,31825000.0,Data Axle,7286fb6c9e36155238ee6d75564e89b4,"CONAME, Modesto, California",37.68738599973103,-120.9963220000093,1756054360382,Synapse54,1756054360382,Synapse54
17,Target,Hillsdale Ave,San Jose,California,CA,95124,3027,45511001,"45511001, 44511003, 45811034, 45811036, 45811041, 44911003, 44911012, 44912937, 44912981, 44921003, 44921063, 44921038, 44921094, 44921095, 45911015, 45912035, 45942043, 45991004, 45612001, 44911022, 45611009, 45613003",531102,"531102, 541105, 564101, 564103, 565101, 571210, 571216, 571928, 571988, 572207, 573112, 573117, 573501, 573502, 594136, 594517, 594744, 599929, 599992, 571219, 591205, 599502","Department Stores, Grocers-Retail, Baby Accessories, Childrens & Infants Wear-Retail, Clothing-Retail, Bedding, Furniture-Dealers-Retail, Kitchen Accessories, Home Accessories & Furnishings, Appliances-Household-Small-Dealers, Video Games, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Video Tapes Discs & Cassettes, Exercise Equipment-Retail, Toys-Retail, Wedding Party Gifts, Pet Supplies & Foods-Retail, Cosmetics & Perfumes-Retail, House Furnishings-Retail, Pharmacies, Optical Goods-Retail",,,Target Stores Inc,Very High,Branch,100000+,100000.0,,300,94846000.0,Data Axle,c763b9ef6f52783159b561759e52d4c8,"CONAME, San Jose, California",37.2652000002566,-121.91883599974281,1756054360382,Synapse54,1756054360382,Synapse54
18,Target,E 20 Th St,Chico,California,CA,95928,6358,45511001,"45511001, 44511003, 45811034, 45811036, 45811041, 44911003, 44911012, 44912937, 44912981, 44921003, 44921063, 44921038, 44921094, 44921095, 45911015, 45912035, 45942043, 45991004, 45612001",531102,"531102, 541105, 564101, 564103, 565101, 571210, 571216, 571928, 571988, 572207, 573112, 573117, 573501, 573502, 594136, 594517, 594744, 599929, 599992","Department Stores, Grocers-Retail, Baby Accessories, Childrens & Infants Wear-Retail, Clothing-Retail, Bedding, Furniture-Dealers-Retail, Kitchen Accessories, Home Accessories & Furnishings, Appliances-Household-Small-Dealers, Video Games, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Video Tapes Discs & Cassettes, Exercise Equipment-Retail, Toys-Retail, Wedding Party Gifts, Pet Supplies & Foods-Retail, Cosmetics & Perfumes-Retail",,,Target Stores Inc,Very High,Branch,100000+,100000.0,,120,22785000.0,Data Axle,74306e872441454c4d25d599ecc19a4b,"CONAME, Chico, California",39.7259819996968,-121.80252600040905,1756054360382,Synapse54,1756054360382,Synapse54
19,Target,Shaw Ave,Clovis,California,CA,93612,3900,45511001,"45511001, 44511003, 45811034, 45811036, 45811041, 44911003, 44911012, 44912937, 44912981, 44921003, 44921063, 44921038, 44921094, 44921095, 45911015, 45912035, 45942043, 45991004, 45612001, 44911022, 45611009",531102,"531102, 541105, 564101, 564103, 565101, 571210, 571216, 571928, 571988, 572207, 573112, 573117, 573501, 573502, 594136, 594517, 594744, 599929, 599992, 571219, 591205","Department Stores, Grocers-Retail, Baby Accessories, Childrens & Infants Wear-Retail, Clothing-Retail, Bedding, Furniture-Dealers-Retail, Kitchen Accessories, Home Accessories & Furnishings, Appliances-Household-Small-Dealers, Video Games, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Video Tapes Discs & Cassettes, Exercise Equipment-Retail, Toys-Retail, Wedding Party Gifts, Pet Supplies & Foods-Retail, Cosmetics & Perfumes-Retail, House Furnishings-Retail, Pharmacies",,,Target Stores Inc,Very High,Branch,100000+,100000.0,,257,48589000.0,Data Axle,4ab2fa3f6c0dc06d7c4fb973d3cc065b,"CONAME, Clovis, California",36.80653399992763,-119.69900199997274,1756054360382,Synapse54,1756054360382,Synapse54
20,Target,Carmenita Rd,Santa Fe Springs,California,CA,90670,4017,45511001,"45511001, 44511003, 45811034, 45811036, 45811041, 44911003, 44911012, 44912937, 44912981, 44921003, 44921063, 44921038, 44921094, 44921095, 45911015, 45912035, 45942043, 45991004, 45612001, 44911022",531102,"531102, 541105, 564101, 564103, 565101, 571210, 571216, 571928, 571988, 572207, 573112, 573117, 573501, 573502, 594136, 594517, 594744, 599929, 599992, 571219","Department Stores, Grocers-Retail, Baby Accessories, Childrens & Infants Wear-Retail, Clothing-Retail, Bedding, Furniture-Dealers-Retail, Kitchen Accessories, Home Accessories & Furnishings, Appliances-Household-Small-Dealers, Video Games, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Video Tapes Discs & Cassettes, Exercise Equipment-Retail, Toys-Retail, Wedding Party Gifts, Pet Supplies & Foods-Retail, Cosmetics & Perfumes-Retail, House Furnishings-Retail",,,Target Stores Inc,Very High,Branch,100000+,100000.0,,190,38142000.0,Data Axle,e0448dc325b6bd4da439e5527bbfc6ff,"CONAME, Santa Fe Springs, California",33.937688000360126,-118.0482709995835,1756054360382,Synapse54,1756054360382,Synapse54
