OBJECTID,DESCRIPTION,ID,MP12205A_B,MP12205A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1108,94619 (Oakland),94619,157,56,56,21550000.0,38411.73802145522,1756053968684,Synapse54,1756053968684,Synapse54
1109,94621 (Oakland),94621,405,105,105,34898750.0,51069.44120233758,1756053968684,Synapse54,1756053968684,Synapse54
1110,94702 (Berkeley),94702,134,69,69,5062500.0,13287.7522007073,1756053968684,Synapse54,1756053968684,Synapse54
1111,94703 (Berkeley),94703,242,90,90,5585000.0,13683.807286621532,1756053968684,Synapse54,1756053968684,Synapse54
1112,94704 (Berkeley),94704,504,118,118,3836250.0,13275.383848431153,1756053968684,Synapse54,1756053968684,Synapse54
1113,94705 (Berkeley),94705,104,64,64,8207500.0,18516.697516674507,1756053968684,Synapse54,1756053968684,Synapse54
1114,94706 (Albany),94706,133,58,58,5622500.0,12787.664244040816,1756053968684,Synapse54,1756053968684,Synapse54
1115,94707 (Berkeley),94707,83,56,56,7140000.0,17761.549282885757,1756053968684,Synapse54,1756053968684,Synapse54
1116,94708 (Berkeley),94708,78,56,56,14228750.0,22299.465393309543,1756053968684,Synapse54,1756053968684,Synapse54
1117,94709 (Berkeley),94709,175,107,107,2322500.0,7835.1045108572525,1756053968684,Synapse54,1756053968684,Synapse54
1118,94710 (Berkeley),94710,106,78,78,11503750.0,35001.34195935962,1756053968684,Synapse54,1756053968684,Synapse54
1119,94720 (Berkeley),94720,41,115,115,8385000.0,19365.307606227696,1756053968684,Synapse54,1756053968684,Synapse54
1120,94801 (Richmond),94801,317,86,86,46068495.30078125,88537.37395278645,1756053968684,Synapse54,1756053968684,Synapse54
1121,94803 (El Sobrante),94803,190,61,61,49006250.0,43171.71395325093,1756053968684,Synapse54,1756053968684,Synapse54
1122,94804 (Richmond),94804,428,83,83,27698750.0,54628.65113178123,1756053968684,Synapse54,1756053968684,Synapse54
1123,94805 (Richmond),94805,103,58,58,8102500.0,20079.968226340305,1756053968684,Synapse54,1756053968684,Synapse54
1124,94806 (San Pablo),94806,651,88,88,33213750.0,34385.71246225268,1756053968684,Synapse54,1756053968684,Synapse54
1125,94901 (San Rafael),94901,387,77,77,49727500.0,49335.59131618208,1756053968684,Synapse54,1756053968684,Synapse54
1126,94903 (San Rafael),94903,214,61,61,89123750.0,62935.070213839885,1756053968684,Synapse54,1756053968684,Synapse54
1127,94904 (Greenbrae),94904,98,67,67,19072500.0,44977.236079953276,1756053968684,Synapse54,1756053968684,Synapse54
1128,94920 (Belvedere Tiburon),94920,83,56,56,27387500.0,45997.61573042189,1756053968684,Synapse54,1756053968684,Synapse54
1129,94922 (Bodega),94922,1,58,58,31617500.0,26976.81171788209,1756053968684,Synapse54,1756053968684,Synapse54
1130,94923 (Bodega Bay),94923,10,57,57,78107500.0,76550.30511295974,1756053968684,Synapse54,1756053968684,Synapse54
1131,94924 (Bolinas),94924,6,33,33,37218750.0,41354.78845069323,1756053968684,Synapse54,1756053968684,Synapse54
1132,94925 (Corte Madera),94925,62,54,54,14052500.0,24155.030727831603,1756053968684,Synapse54,1756053968684,Synapse54
1133,94928 (Rohnert Park),94928,412,73,73,32102500.0,39654.33776754188,1756053968684,Synapse54,1756053968684,Synapse54
1134,94929 (Dillon Beach),94929,2,62,62,19942500.0,26137.93592511669,1756053968684,Synapse54,1756053968684,Synapse54
1135,94930 (Fairfax),94930,59,56,56,119661250.0,73706.84851572299,1756053968684,Synapse54,1756053968684,Synapse54
1136,94931 (Cotati),94931,70,60,60,28973750.0,35990.29185776876,1756053968684,Synapse54,1756053968684,Synapse54
1137,94933 (Forest Knolls),94933,5,68,68,4448750.0,12544.659273185944,1756053968684,Synapse54,1756053968684,Synapse54
1138,94937 (Inverness),94937,5,35,35,246983750.0,178610.32234468556,1756053968684,Synapse54,1756053968684,Synapse54
1139,94938 (Lagunitas),94938,5,64,64,6782500.0,15726.75505383175,1756053968684,Synapse54,1756053968684,Synapse54
1140,94939 (Larkspur),94939,46,50,50,8768750.0,24560.305315578702,1756053968684,Synapse54,1756053968684,Synapse54
1141,94940 (Marshall),94940,1,87,87,49223750.0,39378.107282493416,1756053968684,Synapse54,1756053968684,Synapse54
1142,94941 (Mill Valley),94941,184,52,52,110412500.0,81974.36142957072,1756053968684,Synapse54,1756053968684,Synapse54
1143,94945 (Novato),94945,144,65,65,113731250.0,63499.26070738912,1756053968684,Synapse54,1756053968684,Synapse54
1144,94946 (Nicasio),94946,7,63,63,261306250.0,103605.52257664883,1756053968684,Synapse54,1756053968684,Synapse54
1145,94947 (Novato),94947,162,57,57,85353750.0,55533.65245981714,1756053968684,Synapse54,1756053968684,Synapse54
1146,94949 (Novato),94949,118,58,58,63641250.0,46033.94447930226,1756053968684,Synapse54,1756053968684,Synapse54
1147,94951 (Penngrove),94951,35,68,68,66362500.0,57812.552828383814,1756053968684,Synapse54,1756053968684,Synapse54
1148,94952 (Petaluma),94952,261,64,64,907382500.0,216786.04092412948,1756053968684,Synapse54,1756053968684,Synapse54
1149,94954 (Petaluma),94954,307,70,70,295150000.0,113438.69677077251,1756053968684,Synapse54,1756053968684,Synapse54
1150,94956 (Point Reyes Station),94956,6,39,39,151471250.0,79211.99184241424,1756053968684,Synapse54,1756053968684,Synapse54
1151,94957 (Ross),94957,9,56,56,5090000.0,19202.748423774818,1756053968684,Synapse54,1756053968684,Synapse54
1152,94960 (San Anselmo),94960,112,62,62,24278750.0,34159.769581309134,1756053968684,Synapse54,1756053968684,Synapse54
1153,94963 (San Geronimo),94963,8,64,64,22935000.0,37740.272158010375,1756053968684,Synapse54,1756053968684,Synapse54
1154,94964 (San Quentin),94964,25,47,47,2011250.0,7928.856043675777,1756053968684,Synapse54,1756053968684,Synapse54
1155,94965 (Sausalito),94965,77,54,54,47155000.0,65635.09359463719,1756053968684,Synapse54,1756053968684,Synapse54
