OBJECTID,DESCRIPTION,ID,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
687,91803 (Alhambra),91803,5172,18.79,18.79,11870000.0,18230.158217733606,1756054193073,Synapse54,1756054193073,Synapse54
688,91901 (Alpine),91901,3587,20.53,20.53,362565000.0,113396.40056154315,1756054193073,Synapse54,1756054193073,Synapse54
689,91902 (Bonita),91902,3714,20.93,20.93,46932500.0,53539.232553526504,1756054193073,Synapse54,1756054193073,Synapse54
690,91905 (Boulevard),91905,341,18.8,18.8,480266250.0,137901.704823621,1756054193073,Synapse54,1756054193073,Synapse54
691,91906 (Campo),91906,873,23.03,23.03,568161250.0,165829.3483533896,1756054193073,Synapse54,1756054193073,Synapse54
692,91910 (Chula Vista),91910,18089,22.92,22.92,43662500.0,41059.6689800105,1756054193073,Synapse54,1756054193073,Synapse54
693,91911 (Chula Vista),91911,20696,24.51,24.51,43521250.0,32062.06894798441,1756054193073,Synapse54,1756054193073,Synapse54
694,91913 (Chula Vista),91913,15639,25.3,25.3,36198750.0,34493.6259746854,1756054193073,Synapse54,1756054193073,Synapse54
695,91914 (Chula Vista),91914,4642,27.66,27.66,27112500.0,30977.564876109318,1756054193073,Synapse54,1756054193073,Synapse54
696,91915 (Chula Vista),91915,9211,25.54,25.54,30377500.0,26297.18668546474,1756054193073,Synapse54,1756054193073,Synapse54
697,91916 (Descanso),91916,447,19.4,19.4,489486250.0,136566.8868792777,1756054193073,Synapse54,1756054193073,Synapse54
698,91917 (Dulzura),91917,200,21.07,21.07,170501250.0,87821.04231048128,1756054193073,Synapse54,1756054193073,Synapse54
699,91931 (Guatay),91931,0,0.0,0.0,776250.0,3923.1347698046866,1756054193073,Synapse54,1756054193073,Synapse54
700,91932 (Imperial Beach),91932,5900,23.16,23.16,19790000.0,32437.408263823254,1756054193073,Synapse54,1756054193073,Synapse54
701,91934 (Jacumba),91934,130,16.6,16.6,91285000.0,55214.38562692068,1756054193073,Synapse54,1756054193073,Synapse54
702,91935 (Jamul),91935,2345,20.25,20.25,458893750.0,144300.59797150828,1756054193073,Synapse54,1756054193073,Synapse54
703,91941 (La Mesa),91941,6820,20.19,20.19,29638750.0,43665.96498245795,1756054193073,Synapse54,1756054193073,Synapse54
704,91942 (La Mesa),91942,7503,18.46,18.46,22065000.0,31885.146956257286,1756054193073,Synapse54,1756054193073,Synapse54
705,91945 (Lemon Grove),91945,6128,22.63,22.63,14385000.0,23329.01517802078,1756054193073,Synapse54,1756054193073,Synapse54
706,91950 (National City),91950,14559,25.55,25.55,27946250.0,31918.837874227782,1756054193073,Synapse54,1756054193073,Synapse54
707,91962 (Pine Valley),91962,393,18.71,18.71,427600000.0,145557.96553234998,1756054193073,Synapse54,1756054193073,Synapse54
708,91963 (Potrero),91963,292,26.67,26.67,163753750.0,61290.88469445845,1756054193073,Synapse54,1756054193073,Synapse54
709,91977 (Spring Valley),91977,14440,24.06,24.06,38967500.0,36187.29973099256,1756054193073,Synapse54,1756054193073,Synapse54
710,91978 (Spring Valley),91978,2313,23.32,23.32,42562500.0,45264.6515618072,1756054193073,Synapse54,1756054193073,Synapse54
