OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
11,Costco Wholesale,El Camino Real,South San Francisco,California,CA,94080,1206,45521101,"45521101, 45511001, 45511003, 44511003, 44529202, 44134001, 45811041, 44911012, 44912936, 44921003, 44921038, 44921094, 45941007, 44529821, 44912951, 44921002",531110,"531110, 531102, 531104, 541105, 544101, 553123, 565101, 571216, 571929, 572207, 573117, 573501, 594301, 549999, 571999, 572202","Wholesale Clubs, Department Stores, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Tire-Dealers-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores, Appliances-Household-Major-Dealers",,Michelin,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,200,48148000.0,Data Axle,b4b3a4f4a0316926580d40beded63b76,"CONAME, South San Francisco, California",37.665472999745084,-122.4490809997816,1756054383988,Synapse54,1756054383988,Synapse54
12,Costco Wholesale,S Bradley Rd,Santa Maria,California,CA,93454,8001,45521101,"45521101, 42392023, 45511001, 45511003, 44511003, 44529202, 44134001, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 44529821, 44912951, 45611009",531110,"531110, 509223, 531102, 531104, 541105, 544101, 553123, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 549999, 571999, 591205","Wholesale Clubs, Wholesalers, Department Stores, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Tire-Dealers-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores, Pharmacies",,"Bridgestone,Michelin",Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,200,38141000.0,Data Axle,226abd7e96e7936dd113e755f39be2ef,"CONAME, Santa Maria, California",34.926618999777396,-120.41896700007173,1756054383988,Synapse54,1756054383988,Synapse54
13,Costco Wholesale,Center Dr,San Marcos,California,CA,92069,3536,45521101,"45521101, 42441005, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 45511001, 45511003, 44529821, 44912951",531110,"531110, 514105, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 531102, 531104, 549999, 571999","Wholesale Clubs, Grocers-Wholesale, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Department Stores, Retail Shops, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,6,1248000.0,Data Axle,34573c14e6b113daa649c22f40255b57,"CONAME, San Marcos, California",33.135054999876075,-117.1258830002467,1756054383988,Synapse54,1756054383988,Synapse54
14,Costco Wholesale,Redwood Dr,Rohnert Park,California,CA,94928,2076,45521101,"45521101, 42392023, 45511001, 45511003, 44511003, 44529202, 44134001, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 44529821, 44912951",531110,"531110, 509223, 531102, 531104, 541105, 544101, 553123, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 549999, 571999","Wholesale Clubs, Wholesalers, Department Stores, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Tire-Dealers-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores",,Michelin,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,25,5485000.0,Data Axle,b7a836654358c2c202a0f353b11867b9,"CONAME, Rohnert Park, California",38.35310299984218,-122.71744200006212,1756054383988,Synapse54,1756054383988,Synapse54
15,Costco Wholesale,Tech Center Dr,Poway,California,CA,92064,7156,45521101,"45521101, 42392023, 45511001, 45511003, 44513101, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 44529821, 44912951",531110,"531110, 509223, 531102, 531104, 541103, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 549999, 571999","Wholesale Clubs, Wholesalers, Department Stores, Retail Shops, Convenience Stores, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,10,2080000.0,Data Axle,dddbe4dd0cb6988f178da888afadcdd2,"CONAME, Poway, California",32.93704400037115,-117.03289699998533,1756054383988,Synapse54,1756054383988,Synapse54
16,Costco Wholesale,W Century Blvd,Inglewood,California,CA,90303,1201,45521101,"45521101, 42392023, 45511001, 45511003, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 72251117, 45941007, 44529821, 44912951",531110,"531110, 509223, 531102, 531104, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 581208, 594301, 549999, 571999","Wholesale Clubs, Wholesalers, Department Stores, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Restaurants, Office Supplies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,278,55807000.0,Data Axle,fd2a27e50117e0491d16256ff52d0068,"CONAME, Inglewood, California",33.942823000339075,-118.33343200035516,1756054383988,Synapse54,1756054383988,Synapse54
17,Costco Wholesale,W Cameron Ave,Visalia,California,CA,93277,9527,45521101,"45521101, 45511001, 45511003, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 44529821, 44912951",531110,"531110, 531102, 531104, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 549999, 571999","Wholesale Clubs, Department Stores, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,93,17898000.0,Data Axle,060d5598d066874b3818bb5f7fde3c31,"CONAME, Visalia, California",36.292699000257564,-119.30653599973621,1756054383988,Synapse54,1756054383988,Synapse54
18,Costco Wholesale,Pacific Commons Blvd,Fremont,California,CA,94538,3809,45521101,"45521101, 45511001, 45511003, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 44529821, 44912951, 49311006",531110,"531110, 531102, 531104, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 549999, 571999, 422509","Wholesale Clubs, Department Stores, Retail Shops, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores, Warehouses",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,350,68075000.0,Data Axle,d12a3eaf1fb1d2545bb287bd40127b49,"CONAME, Fremont, California",37.50156799973116,-121.97302700041134,1756054383988,Synapse54,1756054383988,Synapse54
19,Costco Wholesale,W Grant Line Rd,Tracy,California,CA,95304,8427,45521101,"45521101, 42392023, 42441005, 45511003, 44511003, 44921003, 44921038, 44921094, 45941007, 54192110, 45511001, 44529202, 45811041, 44911012, 44912936, 44921002",531110,"531110, 509223, 514105, 531104, 541105, 572207, 573117, 573501, 594301, 722101, 531102, 544101, 565101, 571216, 571929, 572202","Wholesale Clubs, Wholesalers, Grocers-Wholesale, Retail Shops, Grocers-Retail, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Photographers-Portrait, Department Stores, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,275,48046000.0,Data Axle,6e9901ccfc74b0cb1afad2ea8c14ca11,"CONAME, Tracy, California",37.750996000036125,-121.47523500006069,1756054383988,Synapse54,1756054383988,Synapse54
20,Costco Wholesale,Camino Arroyo,Gilroy,California,CA,95020,7340,45521101,"45521101, 42345013, 45619903, 44511003, 44529202, 45811041, 44911012, 44912936, 44921002, 44921003, 44921038, 44921094, 45941007, 44529821, 44912951, 45511001, 45511003",531110,"531110, 504723, 599979, 541105, 544101, 565101, 571216, 571929, 572202, 572207, 573117, 573501, 594301, 549999, 571999, 531102, 531104","Wholesale Clubs, Hearing Aids & Devices-Wholesale, Hearing Aids, Grocers-Retail, Candy & Confectionery-Retail, Clothing-Retail, Furniture-Dealers-Retail, Housewares-Retail, Appliances-Household-Major-Dealers, Appliances-Household-Small-Dealers, Electronic Equipment & Supplies-Retail, Records Tapes & Compact Discs-Retail, Office Supplies, Miscellaneous Food Stores, Miscellaneous Homefurnishings Stores, Department Stores, Retail Shops",,,Costco Wholesale Corporation,Very High,Branch,100000+,100000.0,,115,27506000.0,Data Axle,412749f8ad4b047ff4338800e76e7f19,"CONAME, Gilroy, California",37.00831999990386,-121.55658600010089,1756054383988,Synapse54,1756054383988,Synapse54
