OBJECTID,DESCRIPTION,ID,MEDHINC_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1580,95833 (Sacramento),95833,100394,100394,37917500.0,32808.16259999906,1756054326634,Synapse54,1756054326634,Synapse54
1581,95834 (Sacramento),95834,108997,108997,46342500.0,35848.67363672029,1756054326634,Synapse54,1756054326634,Synapse54
1582,95835 (Sacramento),95835,135313,135313,41700000.0,30341.668138438243,1756054326634,Synapse54,1756054326634,Synapse54
1583,95836 (Sacramento),95836,112500,112500,57826250.0,47189.752336261095,1756054326634,Synapse54,1756054326634,Synapse54
1584,95837 (Sacramento),95837,176091,176091,76726250.0,41533.87178115646,1756054326634,Synapse54,1756054326634,Synapse54
1585,95838 (Sacramento),95838,77380,77380,37888750.0,33012.67933012005,1756054326634,Synapse54,1756054326634,Synapse54
1586,95841 (Sacramento),95841,79338,79338,17571250.0,26186.97411153109,1756054326634,Synapse54,1756054326634,Synapse54
1587,95842 (Sacramento),95842,78906,78906,16738750.0,24666.971320032775,1756054326634,Synapse54,1756054326634,Synapse54
1588,95843 (Antelope),95843,111126,111126,28643750.0,26016.493684023757,1756054326634,Synapse54,1756054326634,Synapse54
1589,95864 (Sacramento),95864,145623,145623,28460000.0,26583.90751673359,1756054326634,Synapse54,1756054326634,Synapse54
1590,95901 (Marysville),95901,78038,78038,1064722500.0,321618.9782998405,1756054326634,Synapse54,1756054326634,Synapse54
1591,95903 (Beale AFB),95903,80485,80485,75633750.0,78437.09161383471,1756054326634,Synapse54,1756054326634,Synapse54
1592,95910 (Alleghany),95910,100000,100000,43066250.0,38887.622657296524,1756054326634,Synapse54,1756054326634,Synapse54
1593,95912 (Arbuckle),95912,86397,86397,883037500.0,153412.3160163793,1756054326634,Synapse54,1756054326634,Synapse54
1594,95913 (Artois),95913,126780,126780,13918750.0,18916.982135074304,1756054326634,Synapse54,1756054326634,Synapse54
1595,95914 (Bangor),95914,85696,85696,42851250.0,47819.2948846897,1756054326634,Synapse54,1756054326634,Synapse54
1596,95915 (Belden),95915,54606,54606,592618750.0,181944.73838501814,1756054326634,Synapse54,1756054326634,Synapse54
1597,95916 (Berry Creek),95916,55327,55327,711787500.0,192514.3121086018,1756054326634,Synapse54,1756054326634,Synapse54
1598,95917 (Biggs),95917,81294,81294,326332500.0,102932.38467043,1756054326634,Synapse54,1756054326634,Synapse54
1599,95918 (Browns Valley),95918,105185,105185,264296250.0,117499.26010124988,1756054326634,Synapse54,1756054326634,Synapse54
1600,95919 (Brownsville),95919,65942,65942,88382500.0,67583.323790159,1756054326634,Synapse54,1756054326634,Synapse54
1601,95920 (Butte City),95920,108498,108498,311167500.0,85710.24122514416,1756054326634,Synapse54,1756054326634,Synapse54
1602,95922 (Camptonville),95922,51375,51375,635775000.0,245140.26412324441,1756054326634,Synapse54,1756054326634,Synapse54
1603,95923 (Canyon Dam),95923,185181,185181,124691250.0,65309.736509836875,1756054326634,Synapse54,1756054326634,Synapse54
1604,95925 (Challenge),95925,52744,52744,171505000.0,88342.92790017823,1756054326634,Synapse54,1756054326634,Synapse54
1605,95926 (Chico),95926,66695,66695,32355000.0,27328.18085812118,1756054326634,Synapse54,1756054326634,Synapse54
1606,95928 (Chico),95928,73010,73010,560515000.0,220334.3466966727,1756054326634,Synapse54,1756054326634,Synapse54
1607,95930 (Clipper Mills),95930,81822,81822,14675000.0,20544.747377595835,1756054326634,Synapse54,1756054326634,Synapse54
1608,95932 (Colusa),95932,75325,75325,794651250.0,173184.984979484,1756054326634,Synapse54,1756054326634,Synapse54
1609,95934 (Crescent Mills),95934,55175,55175,92563750.0,57120.502705387014,1756054326634,Synapse54,1756054326634,Synapse54
1610,95935 (Dobbins),95935,78604,78604,114928750.0,69445.7985637157,1756054326634,Synapse54,1756054326634,Synapse54
1611,95936 (Downieville),95936,79235,79235,57436250.0,45066.14126795193,1756054326634,Synapse54,1756054326634,Synapse54
1612,95937 (Dunnigan),95937,91215,91215,569068750.0,132191.6482444634,1756054326634,Synapse54,1756054326634,Synapse54
1613,95938 (Durham),95938,120199,120199,401456250.0,132906.75239765242,1756054326634,Synapse54,1756054326634,Synapse54
1614,95939 (Elk Creek),95939,94174,94174,962051250.0,169901.69050029194,1756054326634,Synapse54,1756054326634,Synapse54
1615,95941 (Forbestown),95941,61308,61308,385530000.0,139045.18743514238,1756054326634,Synapse54,1756054326634,Synapse54
1616,95942 (Forest Ranch),95942,153151,153151,631340000.0,264952.14709240396,1756054326634,Synapse54,1756054326634,Synapse54
1617,95943 (Glenn),95943,82576,82576,272215000.0,154623.4854597151,1756054326634,Synapse54,1756054326634,Synapse54
1618,95944 (Goodyears Bar),95944,80436,80436,189766250.0,73490.19372982185,1756054326634,Synapse54,1756054326634,Synapse54
