OBJECTID,DESCRIPTION,ID,TOTPOP_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
135,90503 (Torrance),90503,43585,43585,22778750.0,19550.185198607072,1756054349282,Synapse54,1756054349282,Synapse54
136,90504 (Torrance),90504,30370,30370,14150000.0,16144.870254103427,1756054349282,Synapse54,1756054349282,Synapse54
137,90505 (Torrance),90505,34064,34064,21650000.0,21596.455573846477,1756054349282,Synapse54,1756054349282,Synapse54
138,90506 (Torrance),90506,0,0,958750.0,4384.906543896758,1756054349282,Synapse54,1756054349282,Synapse54
139,90601 (Whittier),90601,31046,31046,38844044.1171875,55144.6720873256,1756054349282,Synapse54,1756054349282,Synapse54
140,90602 (Whittier),90602,25028,25028,10911250.0,26607.57074945912,1756054349282,Synapse54,1756054349282,Synapse54
141,90603 (Whittier),90603,20223,20223,12587500.0,25128.37504031684,1756054349282,Synapse54,1756054349282,Synapse54
142,90604 (Whittier),90604,38328,38328,16517500.0,24397.16301851491,1756054349282,Synapse54,1756054349282,Synapse54
143,90605 (Whittier),90605,37909,37909,20322500.0,38244.19602659896,1756054349282,Synapse54,1756054349282,Synapse54
144,90606 (Whittier),90606,30526,30526,13908750.0,23051.640851957916,1756054349282,Synapse54,1756054349282,Synapse54
145,90620 (Buena Park),90620,45719,45719,24891250.0,36184.85321761223,1756054349282,Synapse54,1756054349282,Synapse54
146,90621 (Buena Park),90621,35424,35424,14926250.0,21087.679435974318,1756054349282,Synapse54,1756054349282,Synapse54
147,90623 (La Palma),90623,14652,14652,6976250.0,16169.900377776361,1756054349282,Synapse54,1756054349282,Synapse54
148,90630 (Cypress),90630,48363,48363,23375000.0,30591.584822141205,1756054349282,Synapse54,1756054349282,Synapse54
149,90631 (La Habra),90631,67094,67094,51115000.0,41125.47464364195,1756054349282,Synapse54,1756054349282,Synapse54
150,90638 (La Mirada),90638,43753,43753,28975000.0,36363.589685550694,1756054349282,Synapse54,1756054349282,Synapse54
151,90639 (La Mirada),90639,1501,1501,628750.0,4050.9365282633644,1756054349282,Synapse54,1756054349282,Synapse54
152,90640 (Montebello),90640,59434,59434,31072500.0,33723.07592538333,1756054349282,Synapse54,1756054349282,Synapse54
153,90650 (Norwalk),90650,94984,94984,36745000.0,34075.03927766407,1756054349282,Synapse54,1756054349282,Synapse54
154,90660 (Pico Rivera),90660,57151,57151,32288750.0,29498.64150538908,1756054349282,Synapse54,1756054349282,Synapse54
