OBJECTID,name,address,locality,region,postcode,country,fsq_category,fsq_category_all,INDUSTRY_DESC,source,esri_pid,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
145,H&R Block,"Palmer Ranch Plaza, 8547 S Tamiami Trail",Sarasota,FL,34238,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,8a95455c84eeaa0f66cc42ba66286d21,"H&R Block, Palmer Ranch Plaza, 8547 S Tamiami Trail, Sarasota, FL",27.227042858892144,-82.49100969796089,1754588154609,Synapse54,1754588154609,Synapse54
146,H&R Block,6740 Memorial Hwy,Tampa,FL,33634,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,431d502b948023d01f8aac695ee8a7fa,"H&R Block, 6740 Memorial Hwy, Tampa, FL",27.99532996389664,-82.58247158866345,1754588154609,Synapse54,1754588154609,Synapse54
147,H&R Block,1522 W 49th St,Hialeah,FL,33012,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,6937c13e94a0e6caf6534d56794c8529,"H&R Block, 1522 W 49th St, Hialeah, FL",25.86588241221969,-80.31361181127703,1754588154609,Synapse54,1754588154609,Synapse54
148,H&R Block,7578 SE Maricamp Rd,Ocala,FL,34472,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,ce6442842163e7e496864ca058b980fd,"H&R Block, 7578 SE Maricamp Rd, Ocala, FL",29.116029834304676,-82.02721022464243,1754588154609,Synapse54,1754588154609,Synapse54
149,H&R Block,28073 Hwy 27,Dundee,FL,33838,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,e1f097431b8f9f8c18f8f825de339f3e,"H&R Block, 28073 Hwy 27, Dundee, FL",28.017351826703077,-81.63055846415246,1754588154609,Synapse54,1754588154609,Synapse54
150,H&R Block,10065 University Blvd,Orlando,FL,32817,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,0d8a54ac8a28b9448681804b62b644e3,"H&R Block, 10065 University Blvd, Orlando, FL",28.59928772832947,-81.24340673184678,1754588154609,Synapse54,1754588154609,Synapse54
151,H&R Block,6325 N Orange Blossom Trl Ste 109,Orlando,FL,32810,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,c32aab235e48f352c3a27d2cad99d1f4,"H&R Block, 6325 N Orange Blossom Trl Ste 109, Orlando, FL",28.613507136372085,-81.43222793422754,1754588154609,Synapse54,1754588154609,Synapse54
152,H&R Block,124 S Flamingo Rd,Pembroke Pines,FL,33027,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,1731a90e6f2a584b93f7cb699df8591e,"H&R Block, 124 S Flamingo Rd, Pembroke Pines, FL",26.006528717033888,-80.31440762609228,1754588154609,Synapse54,1754588154609,Synapse54
153,H&R Block,1305 N Orange Ave Ste 114,Green Cove Springs,FL,32043,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,de25158a702bf80d7ac0cde9e875e252,"H&R Block, 1305 N Orange Ave Ste 114, Green Cove Springs, FL",30.00635823100317,-81.6934930297894,1754588154609,Synapse54,1754588154609,Synapse54
154,H&R Block,2261 Edgewood Ave W Ste 13,Jacksonville,FL,32209,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,2c8e4800bf1c042c01b9e77b49302088,"H&R Block, 2261 Edgewood Ave W Ste 13, Jacksonville, FL",30.380141576061025,-81.69857185736909,1754588154609,Synapse54,1754588154609,Synapse54
