OBJECTID,DESCRIPTION,ID,MP10116A_B,MP10116A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
50,33435 (Boynton Beach),33435,6415,19.95,19.95,20740000.0,52531.523346731716,1754588058897,Synapse54,1754588058897,Synapse54
51,33436 (Boynton Beach),33436,6455,17.52,17.52,38512500.0,31920.240100970346,1754588058897,Synapse54,1754588058897,Synapse54
52,33437 (Boynton Beach),33437,4677,13.59,13.59,37012500.0,25838.734493108284,1754588058897,Synapse54,1754588058897,Synapse54
53,33438 (Canal Point),33438,97,21.7,21.7,91003750.0,67809.4848555068,1754588058897,Synapse54,1754588058897,Synapse54
54,33440 (Clewiston),33440,3365,21.57,21.57,1950035555.5546875,307510.0738107698,1754588058897,Synapse54,1754588058897,Synapse54
55,33441 (Deerfield Beach),33441,4894,20.7,20.7,16008750.0,20136.62519790857,1754588058897,Synapse54,1754588058897,Synapse54
56,33442 (Deerfield Beach),33442,5214,18.63,18.63,25168750.0,23732.786192992025,1754588058897,Synapse54,1754588058897,Synapse54
57,33444 (Delray Beach),33444,3765,19.74,19.74,16837500.0,22766.292527452686,1754588058897,Synapse54,1754588058897,Synapse54
58,33445 (Delray Beach),33445,5111,17.88,17.88,26000000.0,23539.8841718528,1754588058897,Synapse54,1754588058897,Synapse54
59,33446 (Delray Beach),33446,3561,12.69,12.69,62832500.0,36460.96103689889,1754588058897,Synapse54,1754588058897,Synapse54
60,33449 (Lake Worth),33449,1085,13.7,13.7,53980000.0,35468.432941011015,1754588058897,Synapse54,1754588058897,Synapse54
61,33455 (Hobe Sound),33455,2686,14.08,14.08,211936936.69726562,178384.88412980016,1754588058897,Synapse54,1754588058897,Synapse54
62,33458 (Jupiter),33458,7773,17.55,17.55,66646060.923828125,52228.61095795951,1754588058897,Synapse54,1754588058897,Synapse54
63,33460 (Lake Worth Beach),33460,6198,21.38,21.38,14898190.7890625,25033.23305819856,1754588058897,Synapse54,1754588058897,Synapse54
64,33461 (Lake Worth),33461,8324,22.2,22.2,25250000.0,28076.258369691852,1754588058897,Synapse54,1754588058897,Synapse54
65,33462 (Lake Worth),33462,5559,19.53,19.53,27715559.2109375,60976.298837552145,1754588058897,Synapse54,1754588058897,Synapse54
66,33463 (Lake Worth),33463,11123,22.05,22.05,35335000.0,30553.96627701183,1754588058897,Synapse54,1754588058897,Synapse54
67,33467 (Lake Worth),33467,8487,16.83,16.83,61317500.0,33906.35291105451,1754588058897,Synapse54,1754588058897,Synapse54
68,33469 (Jupiter),33469,1632,12.76,12.76,36657500.0,63215.359798150464,1754588058897,Synapse54,1754588058897,Synapse54
69,33470 (Loxahatchee),33470,5669,18.86,18.86,1448760000.0,202274.41447634075,1754588058897,Synapse54,1754588058897,Synapse54
