OBJECTID,admin4_name,admin3_name,admin2_name,id,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3560,54819 (Bruce),Rusk County,Wisconsin,86275076fffffff,24,9.8,9.8,77524999.9921875,32789.14424863712,1758492323813,Synapse54,1758492323813,Synapse54
3561,54141 (Little Suamico),Oconto County,Wisconsin,862743c87ffffff,18,10.0,10.0,75791249.99609375,32417.12191762468,1758492323813,Synapse54,1758492323813,Synapse54
3562,54895 (Weyerhaeuser),Rusk County,Wisconsin,862750777ffffff,9,9.28,9.28,77525000.00390625,32786.240520249354,1758492323813,Synapse54,1758492323813,Synapse54
3563,54141 (Little Suamico),Oconto County,Wisconsin,862743ca7ffffff,12,6.94,6.94,76012500.00390625,32467.871090489687,1758492323813,Synapse54,1758492323813,Synapse54
3564,54843 (Hayward),Sawyer County,Wisconsin,862750807ffffff,0,0.0,0.0,79987499.99609375,33305.057732141126,1758492323813,Synapse54,1758492323813,Synapse54
3565,54229 (New Franken),Brown County,Wisconsin,862743cc7ffffff,134,8.55,8.55,75271250.0,32307.711785242398,1758492323813,Synapse54,1758492323813,Synapse54
3566,54514 (Butternut),Ashland County,Wisconsin,86275080fffffff,0,0.0,0.0,79811250.0,33265.771993011964,1758492323813,Synapse54,1758492323813,Synapse54
3567,54217 (Luxemburg),Brown County,Wisconsin,862743ccfffffff,60,9.52,9.52,75310000.0078125,32317.586866428126,1758492323813,Synapse54,1758492323813,Synapse54
3568,54843 (Hayward),Sawyer County,Wisconsin,862750817ffffff,2,4.44,4.44,79987499.99609375,33305.057732141126,1758492323813,Synapse54,1758492323813,Synapse54
3569,54311 (Green Bay),Brown County,Wisconsin,862743cd7ffffff,65,8.84,8.84,75271250.0,32307.711785242398,1758492323813,Synapse54,1758492323813,Synapse54
3570,54843 (Hayward),Sawyer County,Wisconsin,86275081fffffff,1,7.14,7.14,79792500.0,33262.367525652386,1758492323813,Synapse54,1758492323813,Synapse54
3571,54229 (New Franken),Brown County,Wisconsin,862743cdfffffff,189,9.81,9.81,75271250.0,32307.7117852424,1758492323813,Synapse54,1758492323813,Synapse54
3572,54527 (Glidden),Ashland County,Wisconsin,862750827ffffff,0,0.0,0.0,80268750.00390625,33359.030441478535,1758492323813,Synapse54,1758492323813,Synapse54
3573,54217 (Luxemburg),Kewaunee County,Wisconsin,862743ce7ffffff,88,8.72,8.72,75521250.00390625,32363.233170582793,1758492323813,Synapse54,1758492323813,Synapse54
3574,54514 (Butternut),Ashland County,Wisconsin,86275082fffffff,0,0.0,0.0,79811249.99609375,33265.771993011964,1758492323813,Synapse54,1758492323813,Synapse54
3575,54217 (Luxemburg),Kewaunee County,Wisconsin,862743cefffffff,57,10.2,10.2,75521249.99609375,32363.233170582793,1758492323813,Synapse54,1758492323813,Synapse54
3576,54814 (Bayfield),Bayfield County,Wisconsin,862754c6fffffff,0,0.0,0.0,84100000.00390625,34146.88112582701,1758492323813,Synapse54,1758492323813,Synapse54
3577,54843 (Hayward),Sawyer County,Wisconsin,862750837ffffff,1,8.33,8.33,80268750.00390625,33359.030441478535,1758492323813,Synapse54,1758492323813,Synapse54
3578,54235 (Sturgeon Bay),Door County,Wisconsin,862743d0fffffff,0,0.0,0.0,76306250.0,32526.065619522866,1758492323813,Synapse54,1758492323813,Synapse54
3579,54896 (Winter),Sawyer County,Wisconsin,862750847ffffff,0,0.0,0.0,79811250.0,33265.771993011964,1758492323813,Synapse54,1758492323813,Synapse54
3580,54157 (Peshtigo),Marinette County,Wisconsin,862743d27ffffff,0,0.0,0.0,76871250.0,32649.060012012967,1758492323813,Synapse54,1758492323813,Synapse54
3581,54896 (Winter),Sawyer County,Wisconsin,86275084fffffff,0,0.0,0.0,79050000.00390625,33107.55300599951,1758492323813,Synapse54,1758492323813,Synapse54
3582,54157 (Peshtigo),Marinette County,Wisconsin,862743d37ffffff,2,4.88,4.88,76590000.00390625,32587.874998658324,1758492323813,Synapse54,1758492323813,Synapse54
3583,54896 (Winter),Sawyer County,Wisconsin,862750857ffffff,3,4.41,4.41,79597500.00390625,33221.44684643458,1758492323813,Synapse54,1758492323813,Synapse54
3584,54235 (Sturgeon Bay),Door County,Wisconsin,862743d47ffffff,40,7.78,7.78,76097500.0,32483.39930293112,1758492323813,Synapse54,1758492323813,Synapse54
3585,54896 (Winter),Sawyer County,Wisconsin,86275085fffffff,5,4.07,4.07,79112500.00390625,33121.55286176823,1758492323813,Synapse54,1758492323813,Synapse54
3586,54235 (Sturgeon Bay),Door County,Wisconsin,862743d4fffffff,48,9.27,9.27,76236249.99609375,32513.964718395782,1758492323813,Synapse54,1758492323813,Synapse54
3587,54514 (Butternut),Ashland County,Wisconsin,862750867ffffff,0,0.0,0.0,79831250.0,33272.37365986634,1758492323813,Synapse54,1758492323813,Synapse54
3588,54204 (Brussels),Door County,Wisconsin,862743d57ffffff,29,7.77,7.77,75969999.99609375,32457.17021843252,1758492323813,Synapse54,1758492323813,Synapse54
3589,54896 (Winter),Sawyer County,Wisconsin,86275086fffffff,1,5.88,5.88,79414999.99609375,33184.3222038727,1758492323813,Synapse54,1758492323813,Synapse54
3590,54204 (Brussels),Door County,Wisconsin,862743d5fffffff,44,9.15,9.15,75840000.0,32426.997944293962,1758492323813,Synapse54,1758492323813,Synapse54
3591,54514 (Butternut),Ashland County,Wisconsin,862750877ffffff,1,8.33,8.33,79811250.0,33265.771993011964,1758492323813,Synapse54,1758492323813,Synapse54
3592,54235 (Sturgeon Bay),Door County,Wisconsin,862743d67ffffff,28,4.98,4.98,75998750.00390625,32462.847395220186,1758492323813,Synapse54,1758492323813,Synapse54
3593,54843 (Hayward),Sawyer County,Wisconsin,862750887ffffff,7,4.43,4.43,79987499.99609375,33305.057732141126,1758492323813,Synapse54,1758492323813,Synapse54
3594,54235 (Sturgeon Bay),Door County,Wisconsin,862743d6fffffff,43,10.14,10.14,76137500.0078125,32493.360061000498,1758492323813,Synapse54,1758492323813,Synapse54
3595,54843 (Hayward),Sawyer County,Wisconsin,86275088fffffff,10,4.93,4.93,79317500.0,33163.49657326171,1758492323813,Synapse54,1758492323813,Synapse54
3596,54235 (Sturgeon Bay),Door County,Wisconsin,862743d77ffffff,31,6.94,6.94,76236250.0,32511.13813891525,1758492323813,Synapse54,1758492323813,Synapse54
3597,54843 (Hayward),Sawyer County,Wisconsin,862750897ffffff,17,5.72,5.72,79542500.00390625,33209.095344868794,1758492323813,Synapse54,1758492323813,Synapse54
3598,54153 (Oconto),Oconto County,Wisconsin,862743d87ffffff,360,9.19,9.19,76350000.0,32536.812967552745,1758492323813,Synapse54,1758492323813,Synapse54
3599,54843 (Hayward),Sawyer County,Wisconsin,86275089fffffff,15,5.64,5.64,79542500.00390625,33209.095344868794,1758492323813,Synapse54,1758492323813,Synapse54
3600,54153 (Oconto),Oconto County,Wisconsin,862743d8fffffff,5,7.25,7.25,75930000.0,32447.20946036314,1758492323813,Synapse54,1758492323813,Synapse54
3601,54153 (Oconto),Oconto County,Wisconsin,862743d9fffffff,37,7.6,7.6,76113750.0,32488.367706130597,1758492323813,Synapse54,1758492323813,Synapse54
3602,54843 (Hayward),Sawyer County,Wisconsin,8627508a7ffffff,4,4.71,4.71,79560000.00390625,33212.297078405696,1758492323813,Synapse54,1758492323813,Synapse54
3603,54153 (Oconto),Oconto County,Wisconsin,862743da7ffffff,117,9.12,9.12,76589999.99609375,32587.87499865832,1758492323813,Synapse54,1758492323813,Synapse54
3604,54843 (Hayward),Sawyer County,Wisconsin,8627508afffffff,7,4.19,4.19,79560000.0,33212.297078405696,1758492323813,Synapse54,1758492323813,Synapse54
3605,54153 (Oconto),Oconto County,Wisconsin,862743dafffffff,10,9.43,9.43,76377500.00390625,32542.27517047637,1758492323813,Synapse54,1758492323813,Synapse54
3606,54843 (Hayward),Sawyer County,Wisconsin,8627508b7ffffff,9,4.13,4.13,79968749.9921875,33299.3388583588,1758492323813,Synapse54,1758492323813,Synapse54
3607,54153 (Oconto),Oconto County,Wisconsin,862743db7ffffff,40,7.94,7.94,76562499.99609375,32582.564859061968,1758492323813,Synapse54,1758492323813,Synapse54
3608,54896 (Winter),Sawyer County,Wisconsin,8627508c7ffffff,8,4.55,4.55,79204999.99609375,33140.72111692384,1758492323813,Synapse54,1758492323813,Synapse54
3609,54538 (Lac du Flambeau),Vilas County,Wisconsin,862755017ffffff,30,12.4,12.4,80008750.0,33305.98853703527,1758492323813,Synapse54,1758492323813,Synapse54
3610,54548 (Minocqua),Vilas County,Wisconsin,86275501fffffff,40,9.2,9.2,79872500.0078125,33276.834705411115,1758492323813,Synapse54,1758492323813,Synapse54
