OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPK2,TPOPK2_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
34,54422 (Curtiss),Clark County,Wisconsin,862751097ffffff,0,0.0,0.0,75410000.0,32339.481756047408,1758491864931,Synapse54,1758491864931,Synapse54
35,54488 (Unity),Clark County,Wisconsin,86275109fffffff,0,0.0,0.0,75885000.0078125,32439.320422262143,1758491864931,Synapse54,1758491864931,Synapse54
36,54405 (Abbotsford),Marathon County,Wisconsin,8627510a7ffffff,363,10.86,10.86,75885000.0,32439.320422262143,1758491864931,Synapse54,1758491864931,Synapse54
37,54421 (Colby),Marathon County,Wisconsin,8627510afffffff,0,0.0,0.0,75610000.0,32378.674921736798,1758491864931,Synapse54,1758491864931,Synapse54
38,54405 (Abbotsford),Clark County,Wisconsin,8627510b7ffffff,0,0.0,0.0,75884999.99609375,32439.320422262143,1758491864931,Synapse54,1758491864931,Synapse54
39,54484 (Stratford),Marathon County,Wisconsin,8627510c7ffffff,0,0.0,0.0,75503750.00390625,32359.433374628472,1758491864931,Synapse54,1758491864931,Synapse54
40,54449 (Marshfield),Marathon County,Wisconsin,8627510cfffffff,0,0.0,0.0,75030000.0,32259.623742316377,1758491864931,Synapse54,1758491864931,Synapse54
41,54479 (Spencer),Marathon County,Wisconsin,8627510d7ffffff,0,0.0,0.0,75352499.99609375,32326.214784343098,1758491864931,Synapse54,1758491864931,Synapse54
42,54449 (Marshfield),Marathon County,Wisconsin,8627510dfffffff,0,0.0,0.0,74928750.00390625,32235.58522663035,1758491864931,Synapse54,1758491864931,Synapse54
43,54484 (Stratford),Marathon County,Wisconsin,8627510e7ffffff,0,0.0,0.0,75503749.99609375,32359.433374628472,1758491864931,Synapse54,1758491864931,Synapse54
44,54484 (Stratford),Marathon County,Wisconsin,8627510efffffff,0,0.0,0.0,75372500.0,32330.215535859592,1758491864931,Synapse54,1758491864931,Synapse54
45,54488 (Unity),Marathon County,Wisconsin,8627510f7ffffff,0,0.0,0.0,75540000.0,32368.728628718924,1758491864931,Synapse54,1758491864931,Synapse54
46,54411 (Athens),Marathon County,Wisconsin,862751107ffffff,0,0.0,0.0,76376250.0,32543.433155668696,1758491864931,Synapse54,1758491864931,Synapse54
47,54411 (Athens),Marathon County,Wisconsin,86275110fffffff,0,0.0,0.0,75949999.99609375,32452.555398548546,1758491864931,Synapse54,1758491864931,Synapse54
48,54411 (Athens),Marathon County,Wisconsin,862751117ffffff,0,0.0,0.0,76565000.0,32585.85152691164,1758491864931,Synapse54,1758491864931,Synapse54
49,54411 (Athens),Marathon County,Wisconsin,86275111fffffff,0,0.0,0.0,76607500.0,32591.972038192536,1758491864931,Synapse54,1758491864931,Synapse54
50,54452 (Merrill),Lincoln County,Wisconsin,862751127ffffff,0,0.0,0.0,76586249.99609375,32588.026588934863,1758491864931,Synapse54,1758491864931,Synapse54
51,54411 (Athens),Marathon County,Wisconsin,86275112fffffff,0,0.0,0.0,76607499.99609375,32591.972038192536,1758491864931,Synapse54,1758491864931,Synapse54
52,54455 (Mosinee),Marathon County,Wisconsin,862751aefffffff,0,0.0,0.0,75304999.99609375,32313.800822712084,1758491864931,Synapse54,1758491864931,Synapse54
53,54451 (Medford),Taylor County,Wisconsin,862751137ffffff,0,0.0,0.0,76586250.00390625,32588.026588934863,1758491864931,Synapse54,1758491864931,Synapse54
54,54426 (Edgar),Marathon County,Wisconsin,862751147ffffff,0,0.0,0.0,75971250.0,32456.64161247478,1758491864931,Synapse54,1758491864931,Synapse54
55,54448 (Marathon),Marathon County,Wisconsin,86275114fffffff,509,30.37,30.37,75843749.99609375,32430.452024785172,1758491864931,Synapse54,1758491864931,Synapse54
56,54411 (Athens),Marathon County,Wisconsin,862751157ffffff,0,0.0,0.0,75975000.0,32459.669863554052,1758491864931,Synapse54,1758491864931,Synapse54
57,54426 (Edgar),Marathon County,Wisconsin,86275115fffffff,0,0.0,0.0,75712500.0,32404.09601267134,1758491864931,Synapse54,1758491864931,Synapse54
58,54426 (Edgar),Marathon County,Wisconsin,862751167ffffff,0,0.0,0.0,75997499.99609375,32463.929640786442,1758491864931,Synapse54,1758491864931,Synapse54
59,54448 (Marathon),Marathon County,Wisconsin,86275116fffffff,208,24.82,24.82,76368750.0,32543.68621562148,1758491864931,Synapse54,1758491864931,Synapse54
60,54411 (Athens),Marathon County,Wisconsin,862751177ffffff,0,0.0,0.0,76607500.00390625,32591.972038192536,1758491864931,Synapse54,1758491864931,Synapse54
61,54480 (Stetsonville),Taylor County,Wisconsin,862751187ffffff,0,0.0,0.0,75885000.0078125,32439.320422262143,1758491864931,Synapse54,1758491864931,Synapse54
62,54405 (Abbotsford),Marathon County,Wisconsin,86275118fffffff,0,0.0,0.0,76137499.99609375,32495.14733309764,1758491864931,Synapse54,1758491864931,Synapse54
