OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2700,46526 (Goshen),Elkhart County,Indiana,86274b397ffffff,173,15.59,15.59,65066249.99609375,30045.867234699228,1758492439424,Synapse54,1758492439424,Synapse54
2701,46553 (New Paris),Elkhart County,Indiana,86274b39fffffff,170,16.14,16.14,64547500.0,29926.133051409197,1758492439424,Synapse54,1758492439424,Synapse54
2702,46528 (Goshen),Elkhart County,Indiana,86274b3a7ffffff,321,16.02,16.02,65295000.00390625,30098.98192300146,1758492439424,Synapse54,1758492439424,Synapse54
2703,46526 (Goshen),Elkhart County,Indiana,86274b3afffffff,200,15.89,15.89,65073750.0,30051.79515816095,1758492439424,Synapse54,1758492439424,Synapse54
2704,46526 (Goshen),Elkhart County,Indiana,86274b3b7ffffff,2693,15.57,15.57,65295000.0,30098.98192300146,1758492439424,Synapse54,1758492439424,Synapse54
2705,46615 (South Bend),St. Joseph County,Indiana,86274b46fffffff,6454,13.42,13.42,65706250.00390625,30193.328695336735,1758492439424,Synapse54,1758492439424,Synapse54
2706,49120 (Niles),Cass County,Michigan,86274b54fffffff,571,20.45,20.45,65903750.00390625,30240.24518179036,1758492439424,Synapse54,1758492439424,Synapse54
2707,46506 (Bremen),Marshall County,Indiana,86274b607ffffff,200,21.19,21.19,64768750.0,29979.98140100238,1758492439424,Synapse54,1758492439424,Synapse54
2708,46506 (Bremen),St. Joseph County,Indiana,86274b627ffffff,108,19.08,19.08,64963750.00390625,30026.87387169474,1758492439424,Synapse54,1758492439424,Synapse54
2709,46506 (Bremen),Marshall County,Indiana,86274b62fffffff,1042,18.1,18.1,64798750.00390625,29986.269079188096,1758492439424,Synapse54,1758492439424,Synapse54
2710,46544 (Mishawaka),St. Joseph County,Indiana,86274b707ffffff,135,16.65,16.65,65318750.0,30105.877998262004,1758492439424,Synapse54,1758492439424,Synapse54
