OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
32,AMC Machesney Park 14,Anjali Way,Machesney Park,Illinois,IL,61115,7644,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,23,1311000.0,Data Axle,e9c3ea558508eb950b9e1a02e00035ea,"AMC Machesney Park 14, Machesney Park, Illinois",42.371325000000006,-89.004408,1758493555740,Synapse54,1758493555740,Synapse54
33,AMC Market Square 10,Sycamore Rd,Dekalb,Illinois,IL,60115,2112,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,56,2850000.0,Data Axle,73da5c1b9dd00bb6dcc8583445f9e940,"AMC Market Square 10, Dekalb, Illinois",41.947269999999996,-88.720571,1758493555740,Synapse54,1758493555740,Synapse54
34,AMC Naperville 16,Showplace Dr,Naperville,Illinois,IL,60564,5011,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,21,1292000.0,Data Axle,e7bc5457df11e7a0e97e3cd31f0ab3c4,"AMC Naperville 16, Naperville, Illinois",41.712934000000004,-88.20924899999999,1758493555740,Synapse54,1758493555740,Synapse54
35,AMC New Lenox 14,W Maple St,New Lenox,Illinois,IL,60451,1644,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,27,1660000.0,Data Axle,a74e0beb8afde7285030a439930a4d57,"AMC New Lenox 14, New Lenox, Illinois",41.51642,-87.991128,1758493555740,Synapse54,1758493555740,Synapse54
36,AMC Newcity 14,N Clybourn # Suitec301 Ave,Chicago,Illinois,IL,60610,,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",Low,Information,Branch,,,,44,3024000.0,Data Axle,decab90541bbc7798441c7ae8118b4c4,"AMC Newcity 14, Chicago, Illinois",41.90433999999998,-87.634475,1758493555740,Synapse54,1758493555740,Synapse54
37,AMC Niles 12,Golf Mill Ctr,Niles,Illinois,IL,60714,1217,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,53,3642000.0,Data Axle,ea57122b5eef80a1c52ba06c4a8b6f51,"AMC Niles 12, Niles, Illinois",42.049730999999994,-87.837375,1758493555740,Synapse54,1758493555740,Synapse54
38,AMC Norridge 6,N Harlem Ave,Norridge,Illinois,IL,60706,4712,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,61,4192000.0,Data Axle,0d5f1275fa66be353a977b6ba5383264,"AMC Norridge 6, Norridge, Illinois",41.962465999999985,-87.810593,1758493555740,Synapse54,1758493555740,Synapse54
39,AMC Oakbrook Center 12,Oakbrook Center # Top Level,Oak Brook,Illinois,IL,60523,,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",Low,Information,Branch,100000+,100000.0,,53,3630000.0,Data Axle,131e5d44cdef81c69ca9b537b9fe37f6,"AMC Oakbrook Center 12, Oak Brook, Illinois",41.82646499999997,-87.988075,1758493555740,Synapse54,1758493555740,Synapse54
40,AMC Oakbrook Center 4,Oakbrook Center # Lower Ctr,Oak Brook,Illinois,IL,60523,,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",Low,Information,Branch,100000+,100000.0,,53,3630000.0,Data Axle,baec5fc9c2924632e9c8ac3f42065e96,"AMC Oakbrook Center 4, Oak Brook, Illinois",41.82646499999997,-87.988075,1758493555740,Synapse54,1758493555740,Synapse54
41,AMC Peru Mall 8,State Route 51,Peru,Illinois,IL,61354,,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",Low,Information,Branch,40000 - 99999,40000.0,99999.0,17,875000.0,Data Axle,470d47c56bb0f42c35b33360041893a6,"AMC Peru Mall 8, Peru, Illinois",41.32985999999999,-89.13183,1758493555740,Synapse54,1758493555740,Synapse54
