OBJECTID,admin4_name,admin3_name,admin2_name,id,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2074,54416 (Bowler),Shawano County,Wisconsin,862742627ffffff,67,22.04,22.04,76175000.0,32501.357070530823,1758492366373,Synapse54,1758492366373,Synapse54
2075,53934 (Friendship),Adams County,Wisconsin,86275c4dfffffff,30,14.02,14.02,72440000.00390625,31697.543932744946,1758492366373,Synapse54,1758492366373,Synapse54
2076,52049 (Garnavillo),Clayton County,Iowa,86275a0b7ffffff,88,16.51,16.51,68016250.0,30717.32559859387,1758492366373,Synapse54,1758492366373,Synapse54
2077,54634 (Hillsboro),Richland County,Wisconsin,86275e217ffffff,27,21.43,21.43,70740000.0,31323.493949306983,1758492366373,Synapse54,1758492366373,Synapse54
2078,54128 (Gresham),Shawano County,Wisconsin,86274262fffffff,42,20.9,20.9,75700000.0,32401.64334769638,1758492366373,Synapse54,1758492366373,Synapse54
2079,53806 (Cassville),Grant County,Wisconsin,86275a0c7ffffff,34,16.35,16.35,67807500.00390625,30672.49885602244,1758492366373,Synapse54,1758492366373,Synapse54
2080,53521 (Brooklyn),Dane County,Wisconsin,862758767ffffff,49,19.68,19.68,68745000.0,30883.348317418793,1758492366373,Synapse54,1758492366373,Synapse54
2081,54416 (Bowler),Shawano County,Wisconsin,862742637ffffff,55,21.4,21.4,76226250.0,32511.82253083752,1758492366373,Synapse54,1758492366373,Synapse54
2082,52073 (Sherrill),Dubuque County,Iowa,86275a0cfffffff,24,19.2,19.2,67929999.99609375,30701.653839832223,1758492366373,Synapse54,1758492366373,Synapse54
2083,53924 (Cazenovia),Richland County,Wisconsin,86275e21fffffff,35,22.01,22.01,70406249.99609375,31253.16297601977,1758492366373,Synapse54,1758492366373,Synapse54
2084,54929 (Clintonville),Shawano County,Wisconsin,862742647ffffff,71,17.23,17.23,75937500.0,32451.596511575117,1758492366373,Synapse54,1758492366373,Synapse54
2085,53806 (Cassville),Grant County,Wisconsin,86275a0d7ffffff,135,17.18,17.18,67490000.0,30602.114294925457,1758492366373,Synapse54,1758492366373,Synapse54
2086,54930 (Coloma),Adams County,Wisconsin,86275c4e7ffffff,12,15.19,15.19,73008750.0078125,31820.451403525127,1758492366373,Synapse54,1758492366373,Synapse54
2087,54929 (Clintonville),Shawano County,Wisconsin,86274264fffffff,80,17.39,17.39,75093750.0,32269.674091067245,1758492366373,Synapse54,1758492366373,Synapse54
2088,52053 (Holy Cross),Clayton County,Iowa,86275a0dfffffff,59,18.44,18.44,67537500.0,30610.60053263168,1758492366373,Synapse54,1758492366373,Synapse54
2089,53941 (La Valle),Sauk County,Wisconsin,86275e227ffffff,105,18.78,18.78,70984999.99609375,31379.8134947168,1758492366373,Synapse54,1758492366373,Synapse54
2090,54928 (Caroline),Shawano County,Wisconsin,862742657ffffff,88,19.38,19.38,75515000.0078125,32363.136491573172,1758492366373,Synapse54,1758492366373,Synapse54
2091,53521 (Brooklyn),Green County,Wisconsin,86275876fffffff,113,20.7,20.7,68568750.0,30841.218931577325,1758492366373,Synapse54,1758492366373,Synapse54
