OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1841,47303 (Muncie),Delaware County,Indiana,862a92c6fffffff,2097,20.46,20.46,61093750.0,29118.90743343397,1758492487369,Synapse54,1758492487369,Synapse54
1842,47304 (Muncie),Delaware County,Indiana,862a92c77ffffff,204,24.37,24.37,61203750.0,29145.6816880862,1758492487369,Synapse54,1758492487369,Synapse54
1843,46036 (Elwood),Madison County,Indiana,862a92c87ffffff,57,28.64,28.64,61546250.0,29226.56707590318,1758492487369,Synapse54,1758492487369,Synapse54
1844,46001 (Alexandria),Madison County,Indiana,862a92c8fffffff,216,24.6,24.6,61172500.0,29139.140044747684,1758492487369,Synapse54,1758492487369,Synapse54
1845,46036 (Elwood),Madison County,Indiana,862a92c97ffffff,53,26.63,26.63,61172499.99609375,29138.902445422595,1758492487369,Synapse54,1758492487369,Synapse54
1846,46036 (Elwood),Madison County,Indiana,862a92c9fffffff,2138,22.79,22.79,61141250.0,29132.360802084084,1758492487369,Synapse54,1758492487369,Synapse54
1847,46070 (Summitville),Madison County,Indiana,862a92ca7ffffff,44,27.85,27.85,61901250.0,29312.125207548776,1758492487369,Synapse54,1758492487369,Synapse54
1848,46070 (Summitville),Madison County,Indiana,862a92cafffffff,130,25.1,25.1,61362499.9921875,29185.95130895956,1758492487369,Synapse54,1758492487369,Synapse54
1849,46036 (Elwood),Madison County,Indiana,862a92cb7ffffff,83,27.3,27.3,61471250.0078125,29205.982015783575,1758492487369,Synapse54,1758492487369,Synapse54
1850,46001 (Alexandria),Madison County,Indiana,862a92cc7ffffff,371,26.0,26.0,61013750.0,29098.870423874323,1758492487369,Synapse54,1758492487369,Synapse54
1851,46012 (Anderson),Madison County,Indiana,862a92ccfffffff,839,29.85,29.85,60957500.0,29092.281756878307,1758492487369,Synapse54,1758492487369,Synapse54
1852,46001 (Alexandria),Madison County,Indiana,862a92cd7ffffff,149,23.69,23.69,61172500.0,29139.140044747684,1758492487369,Synapse54,1758492487369,Synapse54
1853,46012 (Anderson),Madison County,Indiana,862a92cdfffffff,1197,23.77,23.77,60716250.0,29032.178487174944,1758492487369,Synapse54,1758492487369,Synapse54
1854,46001 (Alexandria),Madison County,Indiana,862a92ce7ffffff,168,30.05,30.05,61203750.0,29145.6816880862,1758492487369,Synapse54,1758492487369,Synapse54
