OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPL1,TPOPL1_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
620,61485 (Victoria),Knox County,Illinois,86267505fffffff,0,0.0,0.0,62291552.58984375,29405.322935924523,1758491782767,Synapse54,1758491782767,Synapse54
621,62553 (Oconee),Shelby County,Illinois,862644af7ffffff,0,0.0,0.0,58167261.2109375,28419.62458130004,1758491782767,Synapse54,1758491782767,Synapse54
622,61546 (Manito),Tazewell County,Illinois,8626625afffffff,0,0.0,0.0,60982833.2890625,29096.665461811244,1758491782767,Synapse54,1758491782767,Synapse54
623,61483 (Toulon),Stark County,Illinois,862675067ffffff,0,0.0,0.0,62597185.53125,29476.833092397195,1758491782767,Synapse54,1758491782767,Synapse54
624,62565 (Shelbyville),Shelby County,Illinois,862644b0fffffff,0,0.0,0.0,58229565.40625,28436.003486088364,1758491782767,Synapse54,1758491782767,Synapse54
625,61483 (Toulon),Stark County,Illinois,86267506fffffff,0,0.0,0.0,62449203.4296875,29442.172910083675,1758491782767,Synapse54,1758491782767,Synapse54
626,61533 (Glasford),Peoria County,Illinois,8626625b7ffffff,0,0.0,0.0,61122473.62109375,29129.810097953334,1758491782767,Synapse54,1758491782767,Synapse54
627,62571 (Tower Hill),Shelby County,Illinois,862644b1fffffff,0,0.0,0.0,58289936.23828125,28450.50115423628,1758491782767,Synapse54,1758491782767,Synapse54
628,62354 (Nauvoo),Hancock County,Illinois,862670207ffffff,0,0.0,0.0,61010645.83984375,29103.251231571634,1758491782767,Synapse54,1758491782767,Synapse54
629,61485 (Victoria),Knox County,Illinois,862675077ffffff,0,0.0,0.0,62592003.69140625,29475.67934870493,1758491782767,Synapse54,1758491782767,Synapse54
630,62565 (Shelbyville),Shelby County,Illinois,862644b47ffffff,0,0.0,0.0,58093169.6171875,28402.866577618075,1758491782767,Synapse54,1758491782767,Synapse54
631,62341 (Hamilton),Hancock County,Illinois,86267020fffffff,0,0.0,0.0,60934788.51953125,29085.074669339003,1758491782767,Synapse54,1758491782767,Synapse54
632,61472 (Rio),Knox County,Illinois,862675087ffffff,0,0.0,0.0,62568274.04296875,29470.365887960164,1758491782767,Synapse54,1758491782767,Synapse54
633,62565 (Shelbyville),Shelby County,Illinois,862644b4fffffff,0,0.0,0.0,58017354.58984375,28384.2738451943,1758491782767,Synapse54,1758491782767,Synapse54
