OBJECTID,admin4_name,admin3_name,admin2_name,id,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2799,61364 (Streator),LaSalle County,Illinois,8626660d7ffffff,12,4.2,4.2,63518749.99609375,29693.334126316957,1758492298951,Synapse54,1758492298951,Synapse54
2800,61364 (Streator),LaSalle County,Illinois,8626660dfffffff,470,9.44,9.44,62913750.0,29551.401374216137,1758492298951,Synapse54,1758492298951,Synapse54
2801,61325 (Grand Ridge),LaSalle County,Illinois,8626660e7ffffff,9,7.38,7.38,63281250.0,29634.580609193035,1758492298951,Synapse54,1758492298951,Synapse54
2802,61364 (Streator),LaSalle County,Illinois,8626660efffffff,6,8.11,8.11,63615000.0,29716.941250882926,1758492298951,Synapse54,1758492298951,Synapse54
2803,61325 (Grand Ridge),LaSalle County,Illinois,8626660f7ffffff,61,9.92,9.92,63710000.00390625,29738.523962950458,1758492298951,Synapse54,1758492298951,Synapse54
2804,61341 (Marseilles),LaSalle County,Illinois,86266610fffffff,33,8.85,8.85,63960000.0,29795.009497677158,1758492298951,Synapse54,1758492298951,Synapse54
2805,60450 (Morris),Grundy County,Illinois,862666147ffffff,11,9.48,9.48,63883750.0,29773.351351316294,1758492298951,Synapse54,1758492298951,Synapse54
2806,60450 (Morris),Grundy County,Illinois,86266614fffffff,19,9.64,9.64,63817500.00390625,29758.354133916648,1758492298951,Synapse54,1758492298951,Synapse54
2807,61341 (Marseilles),LaSalle County,Illinois,862666157ffffff,9,7.56,7.56,63883750.00390625,29773.351351316298,1758492298951,Synapse54,1758492298951,Synapse54
2808,61360 (Seneca),LaSalle County,Illinois,86266615fffffff,267,11.2,11.2,63953749.99609375,29791.02230071482,1758492298951,Synapse54,1758492298951,Synapse54
2809,60450 (Morris),Grundy County,Illinois,862666167ffffff,31,10.69,10.69,64010000.0078125,29803.829042636236,1758492298951,Synapse54,1758492298951,Synapse54
2810,60450 (Morris),Grundy County,Illinois,86266616fffffff,495,8.99,8.99,64009999.9921875,29803.829042636236,1758492298951,Synapse54,1758492298951,Synapse54
2811,61360 (Seneca),Grundy County,Illinois,862666177ffffff,20,10.05,10.05,64366249.99609375,29884.095046539063,1758492298951,Synapse54,1758492298951,Synapse54
2812,61350 (Ottawa),LaSalle County,Illinois,86266618fffffff,32,12.36,12.36,63930000.0,29786.068467756406,1758492298951,Synapse54,1758492298951,Synapse54
2813,61350 (Ottawa),LaSalle County,Illinois,86266619fffffff,20,11.76,11.76,63930000.00390625,29786.068467756406,1758492298951,Synapse54,1758492298951,Synapse54
2814,60460 (Odell),Livingston County,Illinois,862666207ffffff,120,11.51,11.51,62585000.0,29476.639004852215,1758492298951,Synapse54,1758492298951,Synapse54
2815,60460 (Odell),Livingston County,Illinois,86266620fffffff,9,11.11,11.11,62802500.0,29524.16219615724,1758492298951,Synapse54,1758492298951,Synapse54
2816,60460 (Odell),Livingston County,Illinois,862666217ffffff,6,10.34,10.34,62747500.0,29509.6810729413,1758492298951,Synapse54,1758492298951,Synapse54
2817,60460 (Odell),Livingston County,Illinois,86266621fffffff,14,11.76,11.76,62771250.0,29514.561691914176,1758492298951,Synapse54,1758492298951,Synapse54
2818,60460 (Odell),Livingston County,Illinois,862666227ffffff,6,12.0,12.0,62961250.0,29560.3130205119,1758492298951,Synapse54,1758492298951,Synapse54
2819,60460 (Odell),Livingston County,Illinois,86266622fffffff,8,10.53,10.53,62803750.0,29523.98477375544,1758492298951,Synapse54,1758492298951,Synapse54
2820,60460 (Odell),Livingston County,Illinois,862666237ffffff,9,11.54,11.54,62993750.00390625,29569.736102353163,1758492298951,Synapse54,1758492298951,Synapse54
2821,61769 (Saunemin),Livingston County,Illinois,862666247ffffff,13,13.13,13.13,62420000.0,29434.741281175586,1758492298951,Synapse54,1758492298951,Synapse54
2822,61741 (Forrest),Livingston County,Illinois,86266624fffffff,10,12.66,12.66,62420000.0078125,29434.741281175586,1758492298951,Synapse54,1758492298951,Synapse54
2823,61764 (Pontiac),Livingston County,Illinois,862666257ffffff,9,12.33,12.33,62295000.0,29404.016568484258,1758492298951,Synapse54,1758492298951,Synapse54
2824,61741 (Forrest),Livingston County,Illinois,86266625fffffff,14,13.08,13.08,62419999.9921875,29434.741281175586,1758492298951,Synapse54,1758492298951,Synapse54
2825,61015 (Chana),Ogle County,Illinois,86275ba57ffffff,82,11.26,11.26,65785000.0,30214.76435948758,1758492298951,Synapse54,1758492298951,Synapse54
2826,61068 (Rochelle),Ogle County,Illinois,86275ba5fffffff,160,12.55,12.55,65636250.0,30177.241132897456,1758492298951,Synapse54,1758492298951,Synapse54
2827,61252 (Fulton),Whiteside County,Illinois,86275b71fffffff,28,7.53,7.53,65301250.00390625,30099.706173362832,1758492298951,Synapse54,1758492298951,Synapse54
