OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3930,60146 (Kirkland),DeKalb County,Illinois,862759797ffffff,44,19.05,19.05,66576250.0,30390.436165493196,1758492426650,Synapse54,1758492426650,Synapse54
3931,60451 (New Lenox),Will County,Illinois,8626644c7ffffff,2029,20.52,20.52,64508750.0,29917.56576357364,1758492426650,Synapse54,1758492426650,Synapse54
3932,61752 (Le Roy),McLean County,Illinois,862662aa7ffffff,449,22.1,22.1,60555000.0,28994.977139007045,1758492426650,Synapse54,1758492426650,Synapse54
3933,60506 (Aurora),Kane County,Illinois,86266690fffffff,8955,18.8,18.8,65058750.0,30043.59477249883,1758492426650,Synapse54,1758492426650,Synapse54
3934,60146 (Kirkland),DeKalb County,Illinois,86275979fffffff,364,21.53,21.53,66083750.0,30279.452073906108,1758492426650,Synapse54,1758492426650,Synapse54
3935,60448 (Mokena),Will County,Illinois,8626644e7ffffff,5258,21.59,21.59,64636250.00390625,29948.651493920683,1758492426650,Synapse54,1758492426650,Synapse54
3936,61234 (Annawan),Henry County,Illinois,862675817ffffff,19,19.39,19.39,63763750.00390625,29750.041167461255,1758492426650,Synapse54,1758492426650,Synapse54
3937,61341 (Marseilles),LaSalle County,Illinois,862666157ffffff,24,20.17,20.17,63883750.00390625,29773.351351316298,1758492426650,Synapse54,1758492426650,Synapse54
3938,61842 (Farmer City),De Witt County,Illinois,862662aafffffff,12,21.05,21.05,60555000.0,28994.977139007045,1758492426650,Synapse54,1758492426650,Synapse54
3939,60423 (Frankfort),Will County,Illinois,8626644efffffff,941,23.24,23.24,64416250.0,29901.148355670673,1758492426650,Synapse54,1758492426650,Synapse54
3940,61008 (Belvidere),Boone County,Illinois,8627597a7ffffff,58,19.8,19.8,66376250.0,30347.536769977967,1758492426650,Synapse54,1758492426650,Synapse54
3941,60554 (Sugar Grove),Kane County,Illinois,862666917ffffff,697,23.28,23.28,65450000.0,30133.07572942383,1758492426650,Synapse54,1758492426650,Synapse54
3942,61361 (Sheffield),Bureau County,Illinois,862675827ffffff,12,14.63,14.63,64077500.00390625,29825.09207710236,1758492426650,Synapse54,1758492426650,Synapse54
3943,60451 (New Lenox),Will County,Illinois,8626644f7ffffff,3865,21.11,21.11,64508750.0,29917.56576357364,1758492426650,Synapse54,1758492426650,Synapse54
3944,61752 (Le Roy),McLean County,Illinois,862662ab7ffffff,25,22.32,22.32,60555000.0,28994.977139007045,1758492426650,Synapse54,1758492426650,Synapse54
3945,60135 (Genoa),DeKalb County,Illinois,8627597afffffff,245,20.99,20.99,66503750.0,30378.00290409968,1758492426650,Synapse54,1758492426650,Synapse54
3946,62439 (Lawrenceville),Lawrence County,Illinois,86266e4efffffff,829,17.72,17.72,57112500.0,28161.93679568199,1758492426650,Synapse54,1758492426650,Synapse54
3947,60455 (Bridgeview),Cook County,Illinois,862664507ffffff,9073,19.37,19.37,65145000.0,30062.791582176804,1758492426650,Synapse54,1758492426650,Synapse54
3948,61234 (Annawan),Henry County,Illinois,862675837ffffff,9,19.57,19.57,63983750.0,29802.26175404213,1758492426650,Synapse54,1758492426650,Synapse54
3949,61360 (Seneca),LaSalle County,Illinois,86266615fffffff,470,19.72,19.72,63953749.99609375,29791.02230071482,1758492426650,Synapse54,1758492426650,Synapse54
3950,61839 (De Land),Piatt County,Illinois,862662ac7ffffff,14,21.54,21.54,60230000.0078125,28912.55853393289,1758492426650,Synapse54,1758492426650,Synapse54
3951,60482 (Worth),Cook County,Illinois,86266450fffffff,11675,18.57,18.57,65181250.0,30072.994005351466,1758492426650,Synapse54,1758492426650,Synapse54
3952,60146 (Kirkland),Boone County,Illinois,8627597b7ffffff,45,19.31,19.31,66407500.00390625,30356.51378392324,1758492426650,Synapse54,1758492426650,Synapse54
3953,60506 (Aurora),Kane County,Illinois,86266691fffffff,1677,21.77,21.77,65397500.0,30125.81364917138,1758492426650,Synapse54,1758492426650,Synapse54
3954,61235 (Atkinson),Henry County,Illinois,8626758a7ffffff,166,16.32,16.32,63720000.0,29737.953395583703,1758492426650,Synapse54,1758492426650,Synapse54
3955,60527 (Willowbrook),Cook County,Illinois,862664517ffffff,4755,20.08,20.08,65534999.99609375,30155.432679366124,1758492426650,Synapse54,1758492426650,Synapse54
3956,61254 (Geneseo),Henry County,Illinois,8626758b7ffffff,67,17.82,17.82,63742500.0,29745.723179968103,1758492426650,Synapse54,1758492426650,Synapse54
3957,62417 (Bridgeport),Lawrence County,Illinois,86266e4f7ffffff,45,22.61,22.61,57112500.00390625,28161.93679568199,1758492426650,Synapse54,1758492426650,Synapse54
