OBJECTID,admin4_name,admin3_name,admin2_name,id,X9078_X,X9078_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3348,61951 (Sullivan),Moultrie County,Illinois,8626634e7ffffff,3562,27.19,27.19,58582500.00390625,28526.429991932462,1758491987175,Synapse54,1758491987175,Synapse54
3349,60553 (Steward),Lee County,Illinois,862666dafffffff,1078,28.37,28.37,65100000.0,30057.935526437774,1758491987175,Synapse54,1758491987175,Synapse54
3350,61957 (Windsor),Shelby County,Illinois,8626634efffffff,891,19.37,19.37,58482500.0078125,28495.592871171073,1758491987175,Synapse54,1758491987175,Synapse54
3351,61377 (Wenona),Marshall County,Illinois,862666637ffffff,609,19.03,19.03,63080000.0,29585.48433120833,1758491987175,Synapse54,1758491987175,Synapse54
3352,62534 (Findlay),Shelby County,Illinois,8626634f7ffffff,2313,21.42,21.42,58241249.9921875,28438.831261948733,1758491987175,Synapse54,1758491987175,Synapse54
3353,61732 (Danvers),McLean County,Illinois,8626621a7ffffff,1329,33.23,33.23,61143750.0,29138.768774110762,1758491987175,Synapse54,1758491987175,Synapse54
3354,61937 (Lovington),Moultrie County,Illinois,862663507ffffff,1047,19.75,19.75,59337500.01171875,28702.54145332976,1758491987175,Synapse54,1758491987175,Synapse54
3355,61740 (Flanagan),Livingston County,Illinois,862666647ffffff,871,24.89,24.89,62122500.0,29364.286172228116,1758491987175,Synapse54,1758491987175,Synapse54
3356,61937 (Lovington),Moultrie County,Illinois,86266350fffffff,4153,21.08,21.08,59031249.9921875,28626.058378932623,1758491987175,Synapse54,1758491987175,Synapse54
3357,60953 (Milford),Iroquois County,Illinois,862660177ffffff,293,19.53,19.53,61933750.0078125,29319.948181623964,1758491987175,Synapse54,1758491987175,Synapse54
3358,61937 (Lovington),Moultrie County,Illinois,862663517ffffff,3708,24.08,24.08,59191249.9921875,28672.09506372489,1758491987175,Synapse54,1758491987175,Synapse54
3359,61740 (Flanagan),Livingston County,Illinois,86266664fffffff,8050,27.47,27.47,62557500.0,29463.92974434358,1758491987175,Synapse54,1758491987175,Synapse54
3360,61937 (Lovington),Moultrie County,Illinois,86266351fffffff,5836,20.26,20.26,58916250.0,28604.50129020059,1758491987175,Synapse54,1758491987175,Synapse54
3361,61006 (Ashton),Lee County,Illinois,862666db7ffffff,4450,20.41,20.41,65270000.00390625,30100.15340362383,1758491987175,Synapse54,1758491987175,Synapse54
3362,61929 (Hammond),Piatt County,Illinois,862663527ffffff,4475,19.98,19.98,59219999.99609375,28673.283160208754,1758491987175,Synapse54,1758491987175,Synapse54
3363,61760 (Minonk),Woodford County,Illinois,862666657ffffff,11040,25.21,25.21,62358750.0,29423.33270266204,1758491987175,Synapse54,1758491987175,Synapse54
3364,61937 (Lovington),Moultrie County,Illinois,86266352fffffff,1111,30.86,30.86,59153749.9921875,28657.07733799841,1758491987175,Synapse54,1758491987175,Synapse54
3365,61774 (Stanford),McLean County,Illinois,8626621afffffff,6112,22.72,22.72,61002500.0,29101.418462565838,1758491987175,Synapse54,1758491987175,Synapse54
3366,61929 (Hammond),Piatt County,Illinois,862663537ffffff,489,24.45,24.45,59564999.99609375,28760.93541263692,1758491987175,Synapse54,1758491987175,Synapse54
3367,61760 (Minonk),Woodford County,Illinois,86266665fffffff,840,23.33,23.33,62557500.00390625,29463.92974434358,1758491987175,Synapse54,1758491987175,Synapse54
3368,61911 (Arthur),Moultrie County,Illinois,862663547ffffff,4320,31.53,31.53,58781250.0078125,28568.056111217156,1758491987175,Synapse54,1758491987175,Synapse54
3369,61283 (Tampico),Bureau County,Illinois,86267592fffffff,878,25.09,25.09,64175000.00390625,29842.501009280255,1758491987175,Synapse54,1758491987175,Synapse54
3370,61911 (Arthur),Coles County,Illinois,86266354fffffff,1274,28.31,28.31,58916250.00390625,28604.50129020059,1758491987175,Synapse54,1758491987175,Synapse54
3371,61333 (Long Point),Livingston County,Illinois,862666667ffffff,866,25.47,25.47,62557500.0,29463.92974434358,1758491987175,Synapse54,1758491987175,Synapse54
3372,61951 (Sullivan),Moultrie County,Illinois,862663557ffffff,2564,32.87,32.87,59007499.9921875,28620.89642607559,1758491987175,Synapse54,1758491987175,Synapse54
3373,60955 (Onarga),Iroquois County,Illinois,862660187ffffff,1089,27.92,27.92,62123750.00390625,29361.712849659838,1758491987175,Synapse54,1758491987175,Synapse54
3374,61951 (Sullivan),Moultrie County,Illinois,86266355fffffff,3309,33.42,33.42,58476250.0,28491.334072929196,1758491987175,Synapse54,1758491987175,Synapse54
3375,61740 (Flanagan),Livingston County,Illinois,86266666fffffff,5640,27.25,27.25,62122500.0,29364.286172228116,1758491987175,Synapse54,1758491987175,Synapse54
3376,61361 (Sheffield),Bureau County,Illinois,862675947ffffff,4003,19.92,19.92,63907499.9921875,29782.438977361526,1758491987175,Synapse54,1758491987175,Synapse54
3377,61911 (Arthur),Douglas County,Illinois,862663567ffffff,23855,21.26,21.26,59062499.9921875,28641.12977332851,1758491987175,Synapse54,1758491987175,Synapse54
3378,61910 (Arcola),Douglas County,Illinois,86266356fffffff,4944,29.96,29.96,58875000.0,28598.201110952934,1758491987175,Synapse54,1758491987175,Synapse54
3379,61321 (Dana),LaSalle County,Illinois,862666677ffffff,2228,24.76,24.76,62890000.0,29546.52075524326,1758491987175,Synapse54,1758491987175,Synapse54
3380,61755 (Mackinaw),Tazewell County,Illinois,8626621b7ffffff,4165,25.71,25.71,61097500.0,29123.211025247107,1758491987175,Synapse54,1758491987175,Synapse54
3381,61911 (Arthur),Moultrie County,Illinois,862663577ffffff,5787,27.43,27.43,58940000.00390625,28609.605157036025,1758491987175,Synapse54,1758491987175,Synapse54
3382,61925 (Dalton City),Macon County,Illinois,862663587ffffff,3812,33.73,33.73,59007500.0078125,28626.049943137194,1758491987175,Synapse54,1758491987175,Synapse54
3383,61375 (Varna),Marshall County,Illinois,862666687ffffff,1475,22.35,22.35,62482500.00390625,29447.405700810377,1758491987175,Synapse54,1758491987175,Synapse54
3384,61376 (Walnut),Bureau County,Illinois,862675967ffffff,841,18.28,18.28,64290000.00390625,29874.431125127092,1758491987175,Synapse54,1758491987175,Synapse54
3385,61925 (Dalton City),Moultrie County,Illinois,86266358fffffff,4698,22.06,22.06,58800000.0,28575.672712665946,1758491987175,Synapse54,1758491987175,Synapse54
3386,62521 (Decatur),Macon County,Illinois,862663597ffffff,13885,38.68,38.68,59074999.9921875,28637.523794453904,1758491987175,Synapse54,1758491987175,Synapse54
