OBJECTID,admin4_name,admin3_name,admin2_name,id,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1555,46118 (Clayton),Hendricks County,Indiana,862661337ffffff,102,9.96,9.96,59143749.99609375,28654.44375027268,1758492309873,Synapse54,1758492309873,Synapse54
1556,46135 (Greencastle),Putnam County,Indiana,86266108fffffff,84,9.6,9.6,59231249.9921875,28678.29433992242,1758492309873,Synapse54,1758492309873,Synapse54
1557,46536 (Lakeville),St. Joseph County,Indiana,86274b78fffffff,74,9.57,9.57,64830000.0078125,29994.65018911972,1758492309873,Synapse54,1758492309873,Synapse54
1558,47040 (Rising Sun),Ohio County,Indiana,862a9378fffffff,297,9.1,9.1,57670000.00390625,28300.969882668316,1758492309873,Synapse54,1758492309873,Synapse54
1559,47446 (Mitchell),Lawrence County,Indiana,86266ea67ffffff,333,10.25,10.25,56685000.0,28061.90497597181,1758492309873,Synapse54,1758492309873,Synapse54
1560,47610 (Chandler),Warrick County,Indiana,86266a88fffffff,514,10.96,10.96,55815000.0078125,27846.235548984772,1758492309873,Synapse54,1758492309873,Synapse54
1561,46554 (North Liberty),St. Joseph County,Indiana,86274b797ffffff,55,7.68,7.68,65021250.0,30035.912458236133,1758492309873,Synapse54,1758492309873,Synapse54
1562,47872 (Rockville),Parke County,Indiana,862661097ffffff,78,10.57,10.57,59357500.0,28709.270636972182,1758492309873,Synapse54,1758492309873,Synapse54
1563,46504 (Bourbon),Marshall County,Indiana,8626659a7ffffff,71,13.03,13.03,64000000.0,29800.11748585655,1758492309873,Synapse54,1758492309873,Synapse54
1564,47448 (Nashville),Brown County,Indiana,86266c577ffffff,22,8.09,8.09,58072500.0,28393.328016584106,1758492309873,Synapse54,1758492309873,Synapse54
1565,47666 (Patoka),Gibson County,Indiana,86266e6e7ffffff,25,8.96,8.96,56096250.00390625,27910.096352341992,1758492309873,Synapse54,1758492309873,Synapse54
1566,47454 (Paoli),Orange County,Indiana,862668d17ffffff,496,11.42,11.42,55964999.99609375,27881.928551645335,1758492309873,Synapse54,1758492309873,Synapse54
1567,46554 (North Liberty),St. Joseph County,Indiana,86274b79fffffff,284,12.29,12.29,65155000.00390625,30067.665160321383,1758492309873,Synapse54,1758492309873,Synapse54
1568,47725 (Evansville),Vanderburgh County,Indiana,86266a897ffffff,217,14.1,14.1,56116250.00390625,27913.913297249503,1758492309873,Synapse54,1758492309873,Synapse54
1569,46151 (Martinsville),Morgan County,Indiana,862661347ffffff,191,8.85,8.85,58510000.00390625,28506.370162911226,1758492309873,Synapse54,1758492309873,Synapse54
1570,47001 (Aurora),Dearborn County,Indiana,862a93797ffffff,109,8.83,8.83,57638750.0,28293.51108595737,1758492309873,Synapse54,1758492309873,Synapse54
1571,46614 (South Bend),St. Joseph County,Indiana,86274b7a7ffffff,232,8.05,8.05,65351250.0,30114.32456876947,1758492309873,Synapse54,1758492309873,Synapse54
1572,46135 (Greencastle),Putnam County,Indiana,86266109fffffff,23,8.36,8.36,59388750.0078125,28718.427477769274,1758492309873,Synapse54,1758492309873,Synapse54
1573,47452 (Orleans),Orange County,Indiana,86266ea6fffffff,310,11.41,11.41,56380000.0,27980.85122476038,1758492309873,Synapse54,1758492309873,Synapse54
1574,47281 (Vallonia),Washington County,Indiana,86266c607ffffff,27,8.18,8.18,56687500.0,28060.191457630026,1758492309873,Synapse54,1758492309873,Synapse54
1575,46536 (Lakeville),St. Joseph County,Indiana,86274b7afffffff,184,9.45,9.45,64988749.9921875,30027.163618227456,1758492309873,Synapse54,1758492309873,Synapse54
1576,46570 (Tippecanoe),Marshall County,Indiana,8626659afffffff,190,13.61,13.61,64132500.0,29832.062364572692,1758492309873,Synapse54,1758492309873,Synapse54
1577,47610 (Chandler),Warrick County,Indiana,86266a89fffffff,83,11.45,11.45,55807499.99609375,27839.733929161797,1758492309873,Synapse54,1758492309873,Synapse54
