OBJECTID,admin4_name,admin3_name,admin2_name,id,MILLENN_CY,MILLENN_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2273,46068 (Sharpsville),Tipton County,Indiana,86266521fffffff,87,22.37,22.37,61280000.0,29160.693505011342,1758492393705,Synapse54,1758492393705,Synapse54
2274,46953 (Marion),Grant County,Indiana,862a92d27ffffff,84,19.0,19.0,61901249.99609375,29312.125207548772,1758492393705,Synapse54,1758492393705,Synapse54
2275,46902 (Kokomo),Howard County,Indiana,862665227ffffff,1142,22.65,22.65,61599999.99609375,29239.71922388718,1758492393705,Synapse54,1758492393705,Synapse54
2276,47348 (Hartford City),Blackford County,Indiana,862a92d2fffffff,47,17.47,17.47,62033750.0078125,29344.704068163766,1758492393705,Synapse54,1758492393705,Synapse54
2277,46068 (Sharpsville),Tipton County,Indiana,86266522fffffff,171,19.54,19.54,61195000.00390625,29145.661540813035,1758492393705,Synapse54,1758492393705,Synapse54
2278,46953 (Marion),Grant County,Indiana,862a92d37ffffff,227,20.11,20.11,62250000.00390625,29391.487841926108,1758492393705,Synapse54,1758492393705,Synapse54
2279,46902 (Kokomo),Howard County,Indiana,862665237ffffff,5990,22.6,22.6,61600000.0,29239.719223887176,1758492393705,Synapse54,1758492393705,Synapse54
2280,47338 (Eaton),Delaware County,Indiana,862a92d47ffffff,181,20.45,20.45,61691250.0,29264.877298404357,1758492393705,Synapse54,1758492393705,Synapse54
2281,46072 (Tipton),Tipton County,Indiana,862665247ffffff,110,22.59,22.59,61499999.9921875,29214.118186037143,1758492393705,Synapse54,1758492393705,Synapse54
2282,47338 (Eaton),Delaware County,Indiana,862a92d4fffffff,384,20.68,20.68,61442500.0,29205.90949155145,1758492393705,Synapse54,1758492393705,Synapse54
2283,46072 (Tipton),Tipton County,Indiana,86266524fffffff,35,20.59,20.59,60979999.99609375,29093.553051686857,1758492393705,Synapse54,1758492393705,Synapse54
2284,46989 (Upland),Grant County,Indiana,862a92d57ffffff,99,18.27,18.27,61901250.00390625,29312.125207548776,1758492393705,Synapse54,1758492393705,Synapse54
2285,46072 (Tipton),Tipton County,Indiana,862665257ffffff,1229,21.92,21.92,61110000.0,29125.58155942048,1758492393705,Synapse54,1758492393705,Synapse54
2286,47303 (Muncie),Delaware County,Indiana,862a92d5fffffff,67,20.24,20.24,61235000.0,29152.460930749803,1758492393705,Synapse54,1758492393705,Synapse54
