OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
23,Dodge Theatre,N Iowa St,Dodgeville,Wisconsin,WI,53533,1547,51213101,"51213101, 71111007",783201,"783201, 792207","Theatres-Movie, Theatres-Live",,,State Theatres,High,Information,Branch,2500 - 4999,2500.0,4999.0,5.0,299000.0,Data Axle,5028eaaf76a799051bb190b2b8e49b0d,"Dodge Theatre, Dodgeville, Wisconsin",42.961164,-90.130282,1758493540260,Synapse54,1758493540260,Synapse54
24,Downer Theatre-Landmark Theatres,N Downer Ave,Milwaukee,Wisconsin,WI,53211,4242,51213101,51213101,783201,783201,Theatres-Movie,,,Landmark Theatres,High,Information,Branch,5000 - 9999,5000.0,9999.0,5.0,275000.0,Data Axle,3275aa828bd9c1a1453c5cd1b21906ae,"Downer Theatre-Landmark Theatres, Milwaukee, Wisconsin",43.06548499999999,-87.878438,1758493540260,Synapse54,1758493540260,Synapse54
25,Downtown Cinema,S Barstow St,Eau Claire,Wisconsin,WI,54701,3604,51213101,"51213101, 44418047",783201,"783201, 521169","Theatres-Movie, Millwork-Retail",,,"Micon Cinemas, Inc",High,Information,Branch,5000 - 9999,5000.0,9999.0,5.0,241000.0,Data Axle,073e9a29303a873cb078b4e07771f594,"Downtown Cinema, Eau Claire, Wisconsin",44.81049499999999,-91.49860900000002,1758493540260,Synapse54,1758493540260,Synapse54
26,Emagine Theatres Geneva Lakes,State Road 120,Lake Geneva,Wisconsin,WI,53147,3610,51213101,51213101,783201,783201,Theatres-Movie,,,"Emagine Entertainment, Inc",High,Information,Branch,1500 - 2499,1500.0,2499.0,2.0,90000.0,Data Axle,961cd21009955d8e83b2d3633f9dc788,"Emagine Theatres Geneva Lakes, Lake Geneva, Wisconsin",42.613078999999985,-88.41448,1758493540260,Synapse54,1758493540260,Synapse54
27,Falls Theatre,S Main St,River Falls,Wisconsin,WI,54022,2449,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,4.0,180000.0,Data Axle,54caf6bda4a7407e2863a4173575c352,"Falls Theatre, River Falls, Wisconsin",44.858388999999995,-92.626586,1758493540260,Synapse54,1758493540260,Synapse54
28,"Field of Scenes, LLC",Uni Dr,Freedom,Wisconsin,WI,54130,7563,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,,High,Information,Independent,2500 - 4999,2500.0,4999.0,4.0,159000.0,Data Axle,25a1f23df0142e0853eefc91c4633a6b,"Field of Scenes, LLC, Freedom, Wisconsin",44.372960999999975,-88.28809699999998,1758493540260,Synapse54,1758493540260,Synapse54
29,Flix Brewhouse Madison,East Towne Mall,Madison,Wisconsin,WI,53704,3711,51213101,"51213101, 72251117, 31212002",783201,"783201, 581208, 208201","Theatres-Movie, Restaurants, Brewers (Mfrs)",,,Flix Entertainment LLC,High,Information,Branch,20000 - 39999,20000.0,39999.0,58.0,3493000.0,Data Axle,d1c03fc5a6f0bd964499f87f385c9439,"Flix Brewhouse Madison, Madison, Wisconsin",43.12532999999997,-89.304881,1758493540260,Synapse54,1758493540260,Synapse54
30,Forward Theater Co,N Fair Oaks Ave,Madison,Wisconsin,WI,53714,1108,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,5.0,302000.0,Data Axle,8a188bd1873433333a00c2ed4602df19,"Forward Theater Co, Madison, Wisconsin",43.11202099999998,-89.33017300000002,1758493540260,Synapse54,1758493540260,Synapse54
31,Get Reel Chilton Twilight Outdoor Theater,E Chestnut St,Chilton,Wisconsin,WI,53014,,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,"Get Reel, Inc",High,Information,Branch,5000 - 9999,5000.0,9999.0,5.0,184000.0,Data Axle,3e5470e6ffccad403d16d56ab9c55c14,"Get Reel Chilton Twilight Outdoor Theater, Chilton, Wisconsin",44.01711899999998,-88.15260200000002,1758493540260,Synapse54,1758493540260,Synapse54
32,"Get Reel, Inc",George St,De Pere,Wisconsin,WI,54115,2917,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Headquarters,2500 - 4999,2500.0,4999.0,3.0,175000.0,Data Axle,9ff348869fb79e837a197f4e0c570e8b,"Get Reel, Inc, De Pere, Wisconsin",44.449068000000004,-88.054126,1758493540260,Synapse54,1758493540260,Synapse54
33,Goetz Sky-Vu Drive in,Wi-69,Monroe,Wisconsin,WI,53566,,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,,Low,Information,Independent,10000 - 19999,10000.0,19999.0,8.0,309000.0,Data Axle,1d88fba6287ed7c7fccdf2889c806dad,"Goetz Sky-Vu Drive in, Monroe, Wisconsin",42.600210000000004,-89.63889499999998,1758493540260,Synapse54,1758493540260,Synapse54
