OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3427,54545 (Manitowish Waters),Vilas County,Wisconsin,862755187ffffff,22,18.18,18.18,80422500.0,33392.5471693303,1758492455545,Synapse54,1758492455545,Synapse54
3428,54845 (Hertel),Burnett County,Wisconsin,86275059fffffff,50,19.76,19.76,78330000.0,32955.885688570146,1758492455545,Synapse54,1758492455545,Synapse54
3429,54538 (Lac du Flambeau),Vilas County,Wisconsin,86275518fffffff,29,16.57,16.57,80287500.00390625,33365.931298315096,1758492455545,Synapse54,1758492455545,Synapse54
3430,54559 (Saxon),Iron County,Wisconsin,862754347ffffff,10,26.32,26.32,81672500.00390625,33649.04112354374,1758492455545,Synapse54,1758492455545,Synapse54
3431,54552 (Park Falls),Iron County,Wisconsin,862755197ffffff,0,0.0,0.0,80152499.99609375,33336.56998059293,1758492455545,Synapse54,1758492455545,Synapse54
3432,54801 (Spooner),Washburn County,Wisconsin,8627505a7ffffff,86,20.57,20.57,78878749.99609375,33073.427604477656,1758492455545,Synapse54,1758492455545,Synapse54
3433,54552 (Park Falls),Iron County,Wisconsin,86275519fffffff,3,15.0,15.0,80531250.0,33414.456718585745,1758492455545,Synapse54,1758492455545,Synapse54
3434,54536 (Iron Belt),Iron County,Wisconsin,86275434fffffff,12,23.53,23.53,81343750.0,33584.50871155074,1758492455545,Synapse54,1758492455545,Synapse54
3435,54545 (Manitowish Waters),Vilas County,Wisconsin,8627551a7ffffff,50,17.67,17.67,80768750.00390625,33463.39914449291,1758492455545,Synapse54,1758492455545,Synapse54
3436,54801 (Spooner),Washburn County,Wisconsin,8627505afffffff,109,20.11,20.11,78330000.0,32955.885688570146,1758492455545,Synapse54,1758492455545,Synapse54
3437,54545 (Manitowish Waters),Vilas County,Wisconsin,8627551afffffff,65,18.52,18.52,80287500.0,33365.931298315096,1758492455545,Synapse54,1758492455545,Synapse54
3438,54559 (Saxon),Iron County,Wisconsin,862754357ffffff,2,28.57,28.57,82023749.99609375,33723.947330625844,1758492455545,Synapse54,1758492455545,Synapse54
3439,54547 (Mercer),Iron County,Wisconsin,8627551b7ffffff,17,16.19,16.19,80531249.99609375,33414.456718585745,1758492455545,Synapse54,1758492455545,Synapse54
3440,54893 (Webster),Burnett County,Wisconsin,8627505b7ffffff,51,19.39,19.39,78962500.00390625,33091.395752784825,1758492455545,Synapse54,1758492455545,Synapse54
3441,54487 (Tomahawk),Oneida County,Wisconsin,862755297ffffff,207,23.99,23.99,78637500.0,33021.50464604784,1758492455545,Synapse54,1758492455545,Synapse54
3442,54565 (Upson),Iron County,Wisconsin,86275435fffffff,9,28.13,28.13,81642499.99609375,33646.2355841133,1758492455545,Synapse54,1758492455545,Synapse54
3443,54514 (Butternut),Ashland County,Wisconsin,862755407ffffff,6,20.0,20.0,80086249.99609375,33322.44841997934,1758492455545,Synapse54,1758492455545,Synapse54
3444,54559 (Saxon),Iron County,Wisconsin,862754367ffffff,16,25.4,25.4,82023750.00390625,33722.34795409977,1758492455545,Synapse54,1758492455545,Synapse54
3445,54552 (Park Falls),Price County,Wisconsin,86275540fffffff,10,21.28,21.28,79916250.0078125,33288.12978409225,1758492455545,Synapse54,1758492455545,Synapse54
3446,54822 (Cameron),Barron County,Wisconsin,862750607ffffff,88,22.11,22.11,76833750.0078125,32640.79741487197,1758492455545,Synapse54,1758492455545,Synapse54
3447,54514 (Butternut),Ashland County,Wisconsin,862755417ffffff,30,21.28,21.28,79872500.00390625,33277.66664426665,1758492455545,Synapse54,1758492455545,Synapse54
3448,54534 (Hurley),Iron County,Wisconsin,86275436fffffff,57,22.27,22.27,81581250.0,33632.99934828362,1758492455545,Synapse54,1758492455545,Synapse54
3449,54552 (Park Falls),Price County,Wisconsin,86275541fffffff,46,18.33,18.33,79871249.99609375,33277.86969644987,1758492455545,Synapse54,1758492455545,Synapse54
3450,54559 (Saxon),Iron County,Wisconsin,862754377ffffff,42,26.92,26.92,81671249.99609375,33649.242139488786,1758492455545,Synapse54,1758492455545,Synapse54
3451,54514 (Butternut),Iron County,Wisconsin,862755427ffffff,2,20.0,20.0,80110000.0078125,33328.8470346505,1758492455545,Synapse54,1758492455545,Synapse54
3452,54728 (Chetek),Barron County,Wisconsin,86275060fffffff,75,21.87,21.87,77042499.99609375,32684.979058659363,1758492455545,Synapse54,1758492455545,Synapse54
3453,54552 (Park Falls),Iron County,Wisconsin,86275542fffffff,1,25.0,25.0,79916249.99609375,33288.12978409225,1758492455545,Synapse54,1758492455545,Synapse54
3454,54806 (Ashland),Ashland County,Wisconsin,862754387ffffff,1,20.0,20.0,81961249.99609375,33712.2983692331,1758492455545,Synapse54,1758492455545,Synapse54
3455,54514 (Butternut),Ashland County,Wisconsin,862755437ffffff,14,20.9,20.9,80330000.0,33371.0110846606,1758492455545,Synapse54,1758492455545,Synapse54
3456,54728 (Chetek),Barron County,Wisconsin,862750617ffffff,275,21.04,21.04,77234999.99609375,32727.918091806132,1758492455545,Synapse54,1758492455545,Synapse54
3457,54552 (Park Falls),Price County,Wisconsin,862755447ffffff,8,22.22,22.22,79588750.0,33216.82801505404,1758492455545,Synapse54,1758492455545,Synapse54
3458,54806 (Ashland),Ashland County,Wisconsin,86275438fffffff,17,17.89,17.89,81629999.99609375,33640.753535594806,1758492455545,Synapse54,1758492455545,Synapse54
3459,54555 (Phillips),Price County,Wisconsin,86275544fffffff,2,28.57,28.57,79346250.00390625,33168.062298189565,1758492455545,Synapse54,1758492455545,Synapse54
3460,54728 (Chetek),Barron County,Wisconsin,86275061fffffff,623,18.49,18.49,76482500.00390625,32569.218950478502,1758492455545,Synapse54,1758492455545,Synapse54
3461,54552 (Park Falls),Price County,Wisconsin,862755457ffffff,16,21.33,21.33,79539999.99609375,33210.54982897144,1758492455545,Synapse54,1758492455545,Synapse54
3462,54806 (Ashland),Ashland County,Wisconsin,862754397ffffff,82,18.85,18.85,81856250.0,33688.60605151149,1758492455545,Synapse54,1758492455545,Synapse54
3463,54555 (Phillips),Price County,Wisconsin,86275545fffffff,0,0.0,0.0,79480000.00390625,33197.25144898947,1758492455545,Synapse54,1758492455545,Synapse54
3464,54868 (Rice Lake),Barron County,Wisconsin,862750627ffffff,33,20.12,20.12,77042499.99609375,32684.979058659363,1758492455545,Synapse54,1758492455545,Synapse54
3465,54552 (Park Falls),Price County,Wisconsin,862755467ffffff,17,21.52,21.52,79429999.99609375,33188.30979852099,1758492455545,Synapse54,1758492455545,Synapse54
3466,54806 (Ashland),Ashland County,Wisconsin,86275439fffffff,52,18.37,18.37,81744999.99609375,33665.93707242618,1758492455545,Synapse54,1758492455545,Synapse54
3467,54552 (Park Falls),Price County,Wisconsin,86275546fffffff,32,21.19,21.19,79937500.00390625,33292.12821982512,1758492455545,Synapse54,1758492455545,Synapse54
3468,54552 (Park Falls),Price County,Wisconsin,862755477ffffff,5,20.0,20.0,79782500.00390625,33259.31554583591,1758492455545,Synapse54,1758492455545,Synapse54
3469,54728 (Chetek),Rusk County,Wisconsin,86275062fffffff,34,19.65,19.65,77042499.99609375,32684.979058659363,1758492455545,Synapse54,1758492455545,Synapse54
3470,54806 (Ashland),Ashland County,Wisconsin,8627543a7ffffff,0,0.0,0.0,82320000.0,33783.35486471661,1758492455545,Synapse54,1758492455545,Synapse54
3471,54514 (Butternut),Price County,Wisconsin,862755487ffffff,28,19.58,19.58,79657500.0,33233.087920737176,1758492455545,Synapse54,1758492455545,Synapse54
3472,54868 (Rice Lake),Barron County,Wisconsin,862750637ffffff,108,21.22,21.22,77409999.99609375,32762.004771015112,1758492455545,Synapse54,1758492455545,Synapse54
3473,54552 (Park Falls),Price County,Wisconsin,86275548fffffff,23,19.01,19.01,79933750.0,33291.34345560723,1758492455545,Synapse54,1758492455545,Synapse54
3474,54806 (Ashland),Ashland County,Wisconsin,8627543afffffff,0,0.0,0.0,81763750.0,33669.40109881758,1758492455545,Synapse54,1758492455545,Synapse54
3475,54514 (Butternut),Ashland County,Wisconsin,862755497ffffff,3,18.75,18.75,79830000.0,33269.258339480286,1758492455545,Synapse54,1758492455545,Synapse54
3476,54757 (New Auburn),Chippewa County,Wisconsin,862750657ffffff,64,20.65,20.65,76483750.0,32569.398796309357,1758492455545,Synapse54,1758492455545,Synapse54
3477,54552 (Park Falls),Price County,Wisconsin,86275549fffffff,11,20.0,20.0,79525000.00390625,33204.24622343236,1758492455545,Synapse54,1758492455545,Synapse54
3478,54806 (Ashland),Ashland County,Wisconsin,8627543b7ffffff,74,17.87,17.87,81961250.0,33712.2983692331,1758492455545,Synapse54,1758492455545,Synapse54
3479,54514 (Butternut),Ashland County,Wisconsin,8627554a7ffffff,104,21.01,21.01,80086249.99609375,33323.84357370006,1758492455545,Synapse54,1758492455545,Synapse54
3480,54733 (Dallas),Barron County,Wisconsin,862750687ffffff,93,21.09,21.09,76660000.0,32607.29191686507,1758492455545,Synapse54,1758492455545,Synapse54
3481,54514 (Butternut),Price County,Wisconsin,8627554afffffff,128,19.69,19.69,79822499.9921875,33271.59151036727,1758492455545,Synapse54,1758492455545,Synapse54
3482,54728 (Chetek),Barron County,Wisconsin,86275068fffffff,122,21.4,21.4,77026250.0,32684.202749792523,1758492455545,Synapse54,1758492455545,Synapse54
3483,54514 (Butternut),Ashland County,Wisconsin,8627554b7ffffff,7,21.21,21.21,79852500.00390625,33275.86000633466,1758492455545,Synapse54,1758492455545,Synapse54
3484,54865 (Port Wing),Bayfield County,Wisconsin,86275440fffffff,6,16.67,16.67,82428750.00390625,33805.19479650671,1758492455545,Synapse54,1758492455545,Synapse54
3485,54524 (Fifield),Price County,Wisconsin,8627554c7ffffff,92,22.33,22.33,79455000.0078125,33188.0137767977,1758492455545,Synapse54,1758492455545,Synapse54
3486,54865 (Port Wing),Bayfield County,Wisconsin,86275442fffffff,12,17.39,17.39,82807500.00390625,33882.42451055355,1758492455545,Synapse54,1758492455545,Synapse54
3487,54555 (Phillips),Price County,Wisconsin,8627554cfffffff,11,23.91,23.91,79172500.0,33133.240476117455,1758492455545,Synapse54,1758492455545,Synapse54
3488,54733 (Dallas),Barron County,Wisconsin,862750697ffffff,56,21.88,21.88,76817500.0,32640.487407778914,1758492455545,Synapse54,1758492455545,Synapse54
3489,54524 (Fifield),Price County,Wisconsin,8627554d7ffffff,19,20.43,20.43,79406250.0,33181.53605734694,1758492455545,Synapse54,1758492455545,Synapse54
3490,54865 (Port Wing),Bayfield County,Wisconsin,862754447ffffff,5,19.23,19.23,82244999.9921875,33765.154252124994,1758492455545,Synapse54,1758492455545,Synapse54
3491,54524 (Fifield),Price County,Wisconsin,8627554dfffffff,29,23.2,23.2,79305000.0,33162.08217342226,1758492455545,Synapse54,1758492455545,Synapse54
3492,54733 (Dallas),Barron County,Wisconsin,86275069fffffff,57,22.18,22.18,76436250.00390625,32560.601934154023,1758492455545,Synapse54,1758492455545,Synapse54
3493,54552 (Park Falls),Price County,Wisconsin,8627554e7ffffff,21,21.43,21.43,79547499.9921875,33210.847890286735,1758492455545,Synapse54,1758492455545,Synapse54
