OBJECTID,admin4_name,admin3_name,admin2_name,id,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
651,40045 (Milton),Carroll County,Kentucky,86266dd97ffffff,90,21.03,21.03,56955000.00390625,28126.593767313178,1758492351220,Synapse54,1758492351220,Synapse54
652,47165 (Pekin),Washington County,Indiana,862668917ffffff,187,21.15,21.15,55912500.0,27865.3237899413,1758492351220,Synapse54,1758492351220,Synapse54
653,46356 (Lowell),Lake County,Indiana,862664767ffffff,1757,20.88,20.88,64406249.9921875,29896.186740445817,1758492351220,Synapse54,1758492351220,Synapse54
654,47930 (Clarks Hill),Tippecanoe County,Indiana,862661d67ffffff,139,20.17,20.17,60933750.0,29083.26206076716,1758492351220,Synapse54,1758492351220,Synapse54
655,46933 (Gas City),Grant County,Indiana,862a92d17ffffff,1550,22.75,22.75,61901249.99609375,29312.125207548772,1758492351220,Synapse54,1758492351220,Synapse54
656,47591 (Vincennes),Knox County,Indiana,86266e727ffffff,70,21.74,21.74,56162499.99609375,27929.854561787084,1758492351220,Synapse54,1758492351220,Synapse54
657,47043 (Vevay),Switzerland County,Indiana,86266dda7ffffff,47,17.74,17.74,57212500.0078125,28186.42662458083,1758492351220,Synapse54,1758492351220,Synapse54
658,46173 (Rushville),Rush County,Indiana,862a9276fffffff,38,17.43,17.43,59761250.0,28806.32585880073,1758492351220,Synapse54,1758492351220,Synapse54
659,46356 (Lowell),Lake County,Indiana,86266476fffffff,402,19.17,19.17,63607500.0,29709.625182888994,1758492351220,Synapse54,1758492351220,Synapse54
660,46938 (Jonesboro),Grant County,Indiana,862a92d1fffffff,105,20.83,20.83,61901250.0,29312.125207548772,1758492351220,Synapse54,1758492351220,Synapse54
661,46035 (Colfax),Montgomery County,Indiana,862661d6fffffff,45,20.83,20.83,60773750.0,29042.69802593955,1758492351220,Synapse54,1758492351220,Synapse54
662,46570 (Tippecanoe),Marshall County,Indiana,862665987ffffff,184,22.6,22.6,63998750.0,29800.18428967896,1758492351220,Synapse54,1758492351220,Synapse54
663,47631 (New Harmony),Posey County,Indiana,86264526fffffff,8,21.62,21.62,56135000.0,27915.620822769335,1758492351220,Synapse54,1758492351220,Synapse54
664,46173 (Rushville),Rush County,Indiana,862a9275fffffff,71,20.17,20.17,59542500.0,28752.032281077303,1758492351220,Synapse54,1758492351220,Synapse54
665,47043 (Vevay),Switzerland County,Indiana,86266ddafffffff,393,24.76,24.76,56803750.0,28087.011082025525,1758492351220,Synapse54,1758492351220,Synapse54
666,46356 (Lowell),Lake County,Indiana,862664777ffffff,346,21.03,21.03,64212500.0,29850.080637611587,1758492351220,Synapse54,1758492351220,Synapse54
667,47031 (Milan),Dearborn County,Indiana,862a934f7ffffff,200,20.47,20.47,58032500.0,28387.39252535702,1758492351220,Synapse54,1758492351220,Synapse54
668,47909 (Lafayette),Tippecanoe County,Indiana,862661d77ffffff,70,21.81,21.81,60933749.99609375,29083.26206076716,1758492351220,Synapse54,1758492351220,Synapse54
669,47557 (Monroe City),Knox County,Indiana,86266e72fffffff,36,21.95,21.95,56386250.0,27987.13291913202,1758492351220,Synapse54,1758492351220,Synapse54
670,46115 (Carthage),Rush County,Indiana,862a92777ffffff,102,19.65,19.65,59942500.0,28846.262933232756,1758492351220,Synapse54,1758492351220,Synapse54
671,47250 (Madison),Jefferson County,Indiana,86266ddb7ffffff,66,16.02,16.02,56621250.0,28039.41875447061,1758492351220,Synapse54,1758492351220,Synapse54
672,46975 (Rochester),Fulton County,Indiana,86266598fffffff,119,25.32,25.32,63805000.00390625,29753.396617913557,1758492351220,Synapse54,1758492351220,Synapse54
673,47959 (Monon),White County,Indiana,862665437ffffff,578,26.2,26.2,62718750.0,29503.779931161494,1758492351220,Synapse54,1758492351220,Synapse54
674,47918 (Attica),Fountain County,Indiana,862661d87ffffff,18,17.82,17.82,60865000.00390625,29066.358025973037,1758492351220,Synapse54,1758492351220,Synapse54
675,46532 (Hamlet),Starke County,Indiana,862664a47ffffff,60,21.9,21.9,64575000.00390625,29935.691209960223,1758492351220,Synapse54,1758492351220,Synapse54
676,47106 (Borden),Clark County,Indiana,86266891fffffff,179,20.27,20.27,55499999.99609375,27766.230609160317,1758492351220,Synapse54,1758492351220,Synapse54
