OBJECTID,admin4_name,admin3_name,admin2_name,id,X9001_X,X9001_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1925,61476 (Seaton),Mercer County,Illinois,862675417ffffff,234081,4180.02,4180.02,62268750.0,29398.68162328794,1758492626791,Synapse54,1758492626791,Synapse54
1926,62917 (Carrier Mills),Saline County,Illinois,862641107ffffff,205385,2976.59,2976.59,56592500.0,28026.495802620277,1758492626791,Synapse54,1758492626791,Synapse54
1927,62938 (Golconda),Pope County,Illinois,862641387ffffff,180906,3066.2,3066.2,56392500.00390625,27981.15249229343,1758492626791,Synapse54,1758492626791,Synapse54
1928,61274 (Osco),Henry County,Illinois,862675c47ffffff,405456,3936.47,3936.47,63241250.0,29624.26589276494,1758492626791,Synapse54,1758492626791,Synapse54
1929,62803 (Hoyleton),Washington County,Illinois,86264084fffffff,205322,4190.24,4190.24,57575000.0,28275.418383647342,1758492626791,Synapse54,1758492626791,Synapse54
1930,62261 (Modoc),Randolph County,Illinois,862640607ffffff,23358,3893.0,3893.0,57555000.00390625,28262.52169923816,1758492626791,Synapse54,1758492626791,Synapse54
1931,62823 (Cisne),Wayne County,Illinois,862645067ffffff,159672,3894.44,3894.44,56887500.00390625,28101.735799140017,1758492626791,Synapse54,1758492626791,Synapse54
1932,61238 (Cambridge),Henry County,Illinois,862675c4fffffff,1575133,3680.22,3680.22,63340000.0,29646.489271003375,1758492626791,Synapse54,1758492626791,Synapse54
1933,61231 (Aledo),Mercer County,Illinois,86267541fffffff,542550,5371.78,5371.78,62743750.0,29516.072488934104,1758492626791,Synapse54,1758492626791,Synapse54
1934,62854 (Kinmundy),Marion County,Illinois,86264552fffffff,791227,2087.67,2087.67,57711250.0,28304.32669492265,1758492626791,Synapse54,1758492626791,Synapse54
1935,62938 (Golconda),Massac County,Illinois,86264138fffffff,378796,4117.35,4117.35,55938750.0,27862.47750898574,1758492626791,Synapse54,1758492626791,Synapse54
1936,62987 (Stonefort),Saline County,Illinois,86264110fffffff,234405,4112.37,4112.37,56392500.0,27981.152492293433,1758492626791,Synapse54,1758492626791,Synapse54
1937,62960 (Metropolis),Massac County,Illinois,862641397ffffff,398347,3494.27,3494.27,56208750.0,27933.647727542273,1758492626791,Synapse54,1758492626791,Synapse54
1938,61273 (Orion),Henry County,Illinois,862675c57ffffff,3517486,4212.56,4212.56,63720000.0,29737.953395583703,1758492626791,Synapse54,1758492626791,Synapse54
1939,62218 (Bartelso),Clinton County,Illinois,862640857ffffff,797512,4719.01,4719.01,57945000.0,28359.658540410997,1758492626791,Synapse54,1758492626791,Synapse54
1940,63673 (Saint Mary),Randolph County,Illinois,86264060fffffff,58225,3639.06,3639.06,57555000.00390625,28262.52169923816,1758492626791,Synapse54,1758492626791,Synapse54
1941,62446 (Mount Erie),Wayne County,Illinois,86264506fffffff,99849,3993.96,3993.96,56870000.0,28103.573120002016,1758492626791,Synapse54,1758492626791,Synapse54
1942,62854 (Kinmundy),Marion County,Illinois,862645537ffffff,180180,3753.75,3753.75,57405000.0,28231.015249934626,1758492626791,Synapse54,1758492626791,Synapse54
1943,61231 (Aledo),Mercer County,Illinois,862675427ffffff,172096,4097.52,4097.52,62625000.0,29486.23496267462,1758492626791,Synapse54,1758492626791,Synapse54
1944,62448 (Newton),Jasper County,Illinois,862645907ffffff,300624,3757.8,3757.8,57281250.0,28206.032660072815,1758492626791,Synapse54,1758492626791,Synapse54
1945,61262 (Lynn Center),Henry County,Illinois,862675c5fffffff,924466,3449.5,3449.5,63530000.00390625,29693.415454115755,1758492626791,Synapse54,1758492626791,Synapse54
1946,62960 (Metropolis),Massac County,Illinois,86264139fffffff,554941,3992.38,3992.38,56040000.0,27889.891541074543,1758492626791,Synapse54,1758492626791,Synapse54
1947,63670 (Sainte Genevieve),Ste. Genevieve County,Missouri,862640617ffffff,5736476,2844.06,2844.06,57654999.99609375,28285.08913893543,1758492626791,Synapse54,1758492626791,Synapse54
1948,62803 (Hoyleton),Washington County,Illinois,86264085fffffff,235904,4718.08,4718.08,57773749.99609375,28320.79498045244,1758492626791,Synapse54,1758492626791,Synapse54
1949,62959 (Marion),Williamson County,Illinois,862641117ffffff,621891,3307.93,3307.93,56392499.99609375,27981.15249229343,1758492626791,Synapse54,1758492626791,Synapse54
1950,62938 (Golconda),Pope County,Illinois,8626413a7ffffff,140274,2984.55,2984.55,56142499.99609375,27918.795143747706,1758492626791,Synapse54,1758492626791,Synapse54
1951,61254 (Geneseo),Henry County,Illinois,862675c67ffffff,243423,3990.54,3990.54,63742500.0,29745.7231799681,1758492626791,Synapse54,1758492626791,Synapse54
1952,61231 (Aledo),Mercer County,Illinois,86267542fffffff,171350,3427.0,3427.0,62962500.0,29563.502261760685,1758492626791,Synapse54,1758492626791,Synapse54
1953,62849 (Iuka),Marion County,Illinois,862645547ffffff,409461,4178.17,4178.17,57610000.00390625,28287.316359797504,1758492626791,Synapse54,1758492626791,Synapse54
1954,62823 (Cisne),Wayne County,Illinois,862645077ffffff,221314,3512.92,3512.92,57257500.0078125,28196.234104264022,1758492626791,Synapse54,1758492626791,Synapse54
1955,62987 (Stonefort),Williamson County,Illinois,86264111fffffff,304924,3426.11,3426.11,56577499.99609375,28023.54419610094,1758492626791,Synapse54,1758492626791,Synapse54
1956,62938 (Golconda),Pope County,Illinois,8626413afffffff,169551,2734.69,2734.69,56041249.99609375,27889.883145943946,1758492626791,Synapse54,1758492626791,Synapse54
1957,62849 (Iuka),Marion County,Illinois,86264554fffffff,517249,2298.88,2298.88,57405000.0,28231.015249934626,1758492626791,Synapse54,1758492626791,Synapse54
1958,61231 (Aledo),Mercer County,Illinois,862675437ffffff,5497449,3427.34,3427.34,62962500.0,29563.502261760685,1758492626791,Synapse54,1758492626791,Synapse54
1959,62946 (Harrisburg),Saline County,Illinois,862641127ffffff,453114,3567.83,3567.83,56295000.0,27957.94700643028,1758492626791,Synapse54,1758492626791,Synapse54
1960,62850 (Johnsonville),Wayne County,Illinois,862645087ffffff,263790,3339.11,3339.11,57408749.99609375,28236.805397737397,1758492626791,Synapse54,1758492626791,Synapse54
1961,62881 (Salem),Marion County,Illinois,862645557ffffff,398597,4240.39,4240.39,57405000.00390625,28231.015249934626,1758492626791,Synapse54,1758492626791,Synapse54
1962,62231 (Carlyle),Clinton County,Illinois,862640867ffffff,578651,3594.11,3594.11,58062499.99609375,28389.779378958905,1758492626791,Synapse54,1758492626791,Synapse54
1963,62917 (Carrier Mills),Saline County,Illinois,86264112fffffff,2628292,2847.55,2847.55,56496250.0,28003.513078222695,1758492626791,Synapse54,1758492626791,Synapse54
1964,62938 (Golconda),Pope County,Illinois,8626413b7ffffff,189030,3098.85,3098.85,55938750.0,27862.47750898574,1758492626791,Synapse54,1758492626791,Synapse54
1965,62849 (Iuka),Marion County,Illinois,86264555fffffff,366097,2928.78,2928.78,57408750.0,28236.805397737397,1758492626791,Synapse54,1758492626791,Synapse54
1966,61412 (Alexis),Warren County,Illinois,862675447ffffff,730731,3786.17,3786.17,62307500.00390625,29409.8934580387,1758492626791,Synapse54,1758492626791,Synapse54
1967,62917 (Carrier Mills),Williamson County,Illinois,862641137ffffff,293452,3334.68,3334.68,56762499.99609375,28070.2603842186,1758492626791,Synapse54,1758492626791,Synapse54
1968,61435 (Gerlaw),Warren County,Illinois,86267544fffffff,346352,4947.89,4947.89,62090000.0,29362.236747761897,1758492626791,Synapse54,1758492626791,Synapse54
1969,62849 (Iuka),Marion County,Illinois,862645567ffffff,311821,4585.6,4585.6,57612500.0,28282.47999085674,1758492626791,Synapse54,1758492626791,Synapse54
1970,42053 (Kevil),Ballard County,Kentucky,862641607ffffff,168758,3125.15,3125.15,56092500.0,27903.118942252677,1758492626791,Synapse54,1758492626791,Synapse54
1971,62928 (Eddyville),Pope County,Illinois,862641147ffffff,176878,3468.2,3468.2,56311250.0,27961.284521096644,1758492626791,Synapse54,1758492626791,Synapse54
1972,62850 (Johnsonville),Wayne County,Illinois,86264508fffffff,178607,3079.43,3079.43,57153750.00390625,28168.60570584024,1758492626791,Synapse54,1758492626791,Synapse54
1973,62849 (Iuka),Marion County,Illinois,86264556fffffff,276758,4537.02,4537.02,57405000.00390625,28231.015249934626,1758492626791,Synapse54,1758492626791,Synapse54
1974,62250 (Hoffman),Clinton County,Illinois,86264086fffffff,1355629,4549.09,4549.09,57773750.0,28320.794980452447,1758492626791,Synapse54,1758492626791,Synapse54
1975,62928 (Eddyville),Pope County,Illinois,86264114fffffff,19909,3318.17,3318.17,56210000.0,27933.87048900784,1758492626791,Synapse54,1758492626791,Synapse54
1976,61412 (Alexis),Warren County,Illinois,862675457ffffff,195791,4165.77,4165.77,62456250.0,29443.476505082584,1758492626791,Synapse54,1758492626791,Synapse54
1977,62854 (Kinmundy),Marion County,Illinois,862645577ffffff,225280,4693.33,4693.33,57405000.0,28231.015249934626,1758492626791,Synapse54,1758492626791,Synapse54
1978,62970 (Olmsted),Pulaski County,Illinois,862641617ffffff,188527,3142.12,3142.12,56092500.0,27903.118942252677,1758492626791,Synapse54,1758492626791,Synapse54
1979,62987 (Stonefort),Pope County,Illinois,862641157ffffff,116878,3652.44,3652.44,56408750.0,27984.51218154076,1758492626791,Synapse54,1758492626791,Synapse54
1980,62941 (Grand Chain),Pulaski County,Illinois,862641627ffffff,199664,2627.16,2627.16,56388750.0,27976.13981857251,1758492626791,Synapse54,1758492626791,Synapse54
1981,62875 (Patoka),Marion County,Illinois,862645587ffffff,452875,3457.06,3457.06,57745000.0,28314.060884076473,1758492626791,Synapse54,1758492626791,Synapse54
1982,61435 (Gerlaw),Warren County,Illinois,86267545fffffff,587391,3694.28,3694.28,62287500.0,29402.424914994917,1758492626791,Synapse54,1758492626791,Synapse54
