OBJECTID,admin4_name,admin3_name,admin2_name,id,X9028_X,X9028_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
33,54401 (Wausau),Marathon County,Wisconsin,862751bb7ffffff,1514,6.76,6.76,76395000.00390625,32550.97424393314,1758492772571,Synapse54,1758492772571,Synapse54
34,54405 (Abbotsford),Marathon County,Wisconsin,862751017ffffff,787,5.92,5.92,75928750.01171875,32450.484695054773,1758492772571,Synapse54,1758492772571,Synapse54
35,53932 (Fall River),Columbia County,Wisconsin,862758807ffffff,595,6.33,6.33,70719999.99609375,31321.0156851093,1758492772571,Synapse54,1758492772571,Synapse54
36,54421 (Colby),Marathon County,Wisconsin,86275101fffffff,489,6.04,6.04,75581250.0,32374.87817390246,1758492772571,Synapse54,1758492772571,Synapse54
37,54014 (Hager City),Pierce County,Wisconsin,86262c86fffffff,1215,6.2,6.2,73583750.0,31948.21241793928,1758492772571,Synapse54,1758492772571,Synapse54
38,54411 (Athens),Marathon County,Wisconsin,862751027ffffff,846,5.6,5.6,76113750.0,32487.859304785983,1758492772571,Synapse54,1758492772571,Synapse54
39,54603 (La Crosse),La Crosse County,Wisconsin,86275e48fffffff,33162,4.14,4.14,71452499.99609375,31484.250567701674,1758492772571,Synapse54,1758492772571,Synapse54
40,54426 (Edgar),Marathon County,Wisconsin,86275102fffffff,645,6.65,6.65,75950000.0,32452.555398548546,1758492772571,Synapse54,1758492772571,Synapse54
41,54411 (Athens),Marathon County,Wisconsin,862751037ffffff,859,5.47,5.47,75928749.98828125,32450.484695054773,1758492772571,Synapse54,1758492772571,Synapse54
42,54426 (Edgar),Marathon County,Wisconsin,862751047ffffff,1024,5.17,5.17,75337499.99609375,32320.8912478665,1758492772571,Synapse54,1758492772571,Synapse54
43,54455 (Mosinee),Marathon County,Wisconsin,86275104fffffff,1264,5.1,5.1,75606250.0,32381.992638907966,1758492772571,Synapse54,1758492772571,Synapse54
44,54484 (Stratford),Marathon County,Wisconsin,862751057ffffff,2621,4.45,4.45,75712500.0,32404.09601267134,1758492772571,Synapse54,1758492772571,Synapse54
45,54484 (Stratford),Marathon County,Wisconsin,86275105fffffff,1847,6.16,6.16,75101250.0,32269.780004779514,1758492772571,Synapse54,1758492772571,Synapse54
46,54426 (Edgar),Marathon County,Wisconsin,862751067ffffff,620,5.17,5.17,75627500.00390625,32386.042446695094,1758492772571,Synapse54,1758492772571,Synapse54
47,54426 (Edgar),Marathon County,Wisconsin,86275106fffffff,529,5.24,5.24,75628750.0,32386.252416140356,1758492772571,Synapse54,1758492772571,Synapse54
48,54426 (Edgar),Marathon County,Wisconsin,862751077ffffff,1017,6.65,6.65,75712500.0,32404.09601267134,1758492772571,Synapse54,1758492772571,Synapse54
49,54421 (Colby),Clark County,Wisconsin,862751087ffffff,2370,3.74,3.74,75540000.0,32368.728628718924,1758492772571,Synapse54,1758492772571,Synapse54
50,54488 (Unity),Marathon County,Wisconsin,86275108fffffff,1391,5.02,5.02,75164999.99609375,32285.523863914088,1758492772571,Synapse54,1758492772571,Synapse54
51,54422 (Curtiss),Clark County,Wisconsin,862751097ffffff,611,5.61,5.61,75410000.0,32339.481756047408,1758492772571,Synapse54,1758492772571,Synapse54
52,54488 (Unity),Clark County,Wisconsin,86275109fffffff,660,4.93,4.93,75885000.0078125,32439.320422262143,1758492772571,Synapse54,1758492772571,Synapse54
53,54405 (Abbotsford),Marathon County,Wisconsin,8627510a7ffffff,4918,3.85,3.85,75885000.0,32439.320422262143,1758492772571,Synapse54,1758492772571,Synapse54
54,54421 (Colby),Marathon County,Wisconsin,8627510afffffff,509,4.35,4.35,75610000.0,32378.674921736798,1758492772571,Synapse54,1758492772571,Synapse54
55,54405 (Abbotsford),Clark County,Wisconsin,8627510b7ffffff,731,4.63,4.63,75884999.99609375,32439.320422262143,1758492772571,Synapse54,1758492772571,Synapse54
56,54484 (Stratford),Marathon County,Wisconsin,8627510c7ffffff,832,5.51,5.51,75503750.00390625,32359.433374628472,1758492772571,Synapse54,1758492772571,Synapse54
57,54449 (Marshfield),Marathon County,Wisconsin,8627510cfffffff,2650,6.37,6.37,75030000.0,32259.623742316377,1758492772571,Synapse54,1758492772571,Synapse54
58,54479 (Spencer),Marathon County,Wisconsin,8627510d7ffffff,663,4.7,4.7,75352499.99609375,32326.214784343098,1758492772571,Synapse54,1758492772571,Synapse54
59,54449 (Marshfield),Marathon County,Wisconsin,8627510dfffffff,1625,6.02,6.02,74928750.00390625,32235.58522663035,1758492772571,Synapse54,1758492772571,Synapse54
60,54484 (Stratford),Marathon County,Wisconsin,8627510e7ffffff,608,4.75,4.75,75503749.99609375,32359.433374628472,1758492772571,Synapse54,1758492772571,Synapse54
61,54484 (Stratford),Marathon County,Wisconsin,8627510efffffff,2291,5.81,5.81,75372500.0,32330.215535859592,1758492772571,Synapse54,1758492772571,Synapse54
62,54488 (Unity),Marathon County,Wisconsin,8627510f7ffffff,340,5.07,5.07,75540000.0,32368.728628718924,1758492772571,Synapse54,1758492772571,Synapse54
63,54411 (Athens),Marathon County,Wisconsin,862751107ffffff,787,5.58,5.58,76376250.0,32543.433155668696,1758492772571,Synapse54,1758492772571,Synapse54
64,54411 (Athens),Marathon County,Wisconsin,86275110fffffff,2801,5.07,5.07,75949999.99609375,32452.555398548546,1758492772571,Synapse54,1758492772571,Synapse54
65,54411 (Athens),Marathon County,Wisconsin,862751117ffffff,328,5.66,5.66,76565000.0,32585.85152691164,1758492772571,Synapse54,1758492772571,Synapse54
66,54411 (Athens),Marathon County,Wisconsin,86275111fffffff,924,5.22,5.22,76607500.0,32591.972038192536,1758492772571,Synapse54,1758492772571,Synapse54
67,54452 (Merrill),Lincoln County,Wisconsin,862751127ffffff,229,5.45,5.45,76586249.99609375,32588.026588934863,1758492772571,Synapse54,1758492772571,Synapse54
68,54411 (Athens),Marathon County,Wisconsin,86275112fffffff,497,5.4,5.4,76607499.99609375,32591.972038192536,1758492772571,Synapse54,1758492772571,Synapse54
69,54451 (Medford),Taylor County,Wisconsin,862751137ffffff,473,5.03,5.03,76586250.00390625,32588.026588934863,1758492772571,Synapse54,1758492772571,Synapse54
70,54426 (Edgar),Marathon County,Wisconsin,862751147ffffff,862,4.66,4.66,75971250.0,32456.64161247478,1758492772571,Synapse54,1758492772571,Synapse54
71,54448 (Marathon),Marathon County,Wisconsin,86275114fffffff,4498,6.45,6.45,75843749.99609375,32430.452024785172,1758492772571,Synapse54,1758492772571,Synapse54
72,54411 (Athens),Marathon County,Wisconsin,862751157ffffff,659,5.78,5.78,75975000.0,32459.669863554052,1758492772571,Synapse54,1758492772571,Synapse54
73,54426 (Edgar),Marathon County,Wisconsin,86275115fffffff,4973,6.11,6.11,75712500.0,32404.09601267134,1758492772571,Synapse54,1758492772571,Synapse54
74,54426 (Edgar),Marathon County,Wisconsin,862751167ffffff,641,4.86,4.86,75997499.99609375,32463.929640786442,1758492772571,Synapse54,1758492772571,Synapse54
75,54448 (Marathon),Marathon County,Wisconsin,86275116fffffff,2169,6.29,6.29,76368750.0,32543.68621562148,1758492772571,Synapse54,1758492772571,Synapse54
76,54411 (Athens),Marathon County,Wisconsin,862751177ffffff,543,5.07,5.07,76607500.00390625,32591.972038192536,1758492772571,Synapse54,1758492772571,Synapse54
77,54480 (Stetsonville),Taylor County,Wisconsin,862751187ffffff,648,5.23,5.23,75885000.0078125,32439.320422262143,1758492772571,Synapse54,1758492772571,Synapse54
78,54405 (Abbotsford),Marathon County,Wisconsin,86275118fffffff,614,5.85,5.85,76137499.99609375,32495.14733309764,1758492772571,Synapse54,1758492772571,Synapse54
79,54451 (Medford),Taylor County,Wisconsin,862751197ffffff,629,5.24,5.24,76302500.0,32530.277676028927,1758492772571,Synapse54,1758492772571,Synapse54
80,54425 (Dorchester),Clark County,Wisconsin,86275119fffffff,2292,4.54,4.54,76113749.99609375,32487.859304785983,1758492772571,Synapse54,1758492772571,Synapse54
81,54480 (Stetsonville),Taylor County,Wisconsin,8627511a7ffffff,583,5.35,5.35,76113749.99609375,32487.859304785983,1758492772571,Synapse54,1758492772571,Synapse54
82,54480 (Stetsonville),Taylor County,Wisconsin,8627511afffffff,588,5.55,5.55,76376250.00390625,32543.433155668696,1758492772571,Synapse54,1758492772571,Synapse54
83,54451 (Medford),Taylor County,Wisconsin,8627511b7ffffff,2475,5.3,5.3,76462500.0,32561.62161829029,1758492772571,Synapse54,1758492772571,Synapse54
84,54454 (Milladore),Wood County,Wisconsin,862751207ffffff,584,5.84,5.84,74760000.0,32199.2193476985,1758492772571,Synapse54,1758492772571,Synapse54
85,54475 (Rudolph),Wood County,Wisconsin,86275120fffffff,1762,5.34,5.34,74575000.00390625,32157.241636058992,1758492772571,Synapse54,1758492772571,Synapse54
86,54410 (Arpin),Wood County,Wisconsin,862751217ffffff,610,5.7,5.7,74450000.00390625,32129.962449424496,1758492772571,Synapse54,1758492772571,Synapse54
87,54410 (Arpin),Wood County,Wisconsin,86275121fffffff,666,5.5,5.5,74110000.0,32059.614893877708,1758492772571,Synapse54,1758492772571,Synapse54
88,54443 (Junction City),Portage County,Wisconsin,862751227ffffff,1050,5.71,5.71,74759999.99609375,32199.2193476985,1758492772571,Synapse54,1758492772571,Synapse54
89,54443 (Junction City),Portage County,Wisconsin,86275122fffffff,452,5.58,5.58,74573750.0,32157.207560201812,1758492772571,Synapse54,1758492772571,Synapse54
90,54454 (Milladore),Wood County,Wisconsin,862751237ffffff,1181,5.85,5.85,74760000.0,32199.2193476985,1758492772571,Synapse54,1758492772571,Synapse54
91,54475 (Rudolph),Wood County,Wisconsin,862751257ffffff,1742,5.15,5.15,74132499.99609375,32063.90237229379,1758492772571,Synapse54,1758492772571,Synapse54
92,54494 (Wisconsin Rapids),Wood County,Wisconsin,86275125fffffff,8589,5.1,5.1,74132500.0,32063.902372293785,1758492772571,Synapse54,1758492772571,Synapse54
93,54475 (Rudolph),Wood County,Wisconsin,862751277ffffff,597,5.48,5.48,74338749.99609375,32108.95963819778,1758492772571,Synapse54,1758492772571,Synapse54
94,54410 (Arpin),Wood County,Wisconsin,862751287ffffff,1074,4.61,4.61,74164999.9921875,32072.641277607254,1758492772571,Synapse54,1758492772571,Synapse54
95,54489 (Vesper),Wood County,Wisconsin,86275128fffffff,411,4.89,4.89,74215000.00390625,32083.831011565344,1758492772571,Synapse54,1758492772571,Synapse54
96,54449 (Marshfield),Wood County,Wisconsin,862751297ffffff,721,4.84,4.84,74271250.0,32094.87707175283,1758492772571,Synapse54,1758492772571,Synapse54
