OBJECTID,admin4_name,admin3_name,admin2_name,id,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
185,62931 (Elizabethtown),Gallatin County,Illinois,862641b1fffffff,9,18.75,18.75,56231249.99609375,27937.573278964068,1758492338036,Synapse54,1758492338036,Synapse54
186,62419 (Calhoun),Richland County,Illinois,862645bafffffff,63,21.43,21.43,57112500.00390625,28161.93679568199,1758492338036,Synapse54,1758492338036,Synapse54
187,62984 (Shawneetown),Gallatin County,Illinois,862641b27ffffff,223,19.51,19.51,56261250.0,27949.560469953238,1758492338036,Synapse54,1758492338036,Synapse54
188,62450 (Olney),Richland County,Illinois,862645bb7ffffff,68,20.61,20.61,57093749.99609375,28158.278827547187,1758492338036,Synapse54,1758492338036,Synapse54
189,42459 (Sturgis),Union County,Kentucky,862641b2fffffff,13,22.41,22.41,55949999.99609375,27873.628806559223,1758492338036,Synapse54,1758492338036,Synapse54
190,62443 (Mason),Effingham County,Illinois,862645c07ffffff,34,20.36,20.36,57815000.00390625,28332.772008479926,1758492338036,Synapse54,1758492338036,Synapse54
191,62954 (Junction),Gallatin County,Illinois,862641b37ffffff,52,20.16,20.16,56046250.0,27895.58126275396,1758492338036,Synapse54,1758492338036,Synapse54
192,62426 (Edgewood),Clay County,Illinois,862645c0fffffff,93,19.18,19.18,57408750.0,28236.805397737397,1758492338036,Synapse54,1758492338036,Synapse54
193,42459 (Sturgis),Union County,Kentucky,862641b47ffffff,80,22.66,22.66,55800000.00390625,27833.232309338826,1758492338036,Synapse54,1758492338036,Synapse54
194,62443 (Mason),Effingham County,Illinois,862645c17ffffff,18,21.43,21.43,57610000.0,28287.316359797504,1758492338036,Synapse54,1758492338036,Synapse54
195,62919 (Cave in Rock),Hardin County,Illinois,862641b57ffffff,8,16.0,16.0,56046249.99609375,27895.344721838013,1758492338036,Synapse54,1758492338036,Synapse54
196,62838 (Farina),Fayette County,Illinois,862645c1fffffff,14,21.88,21.88,57594999.99609375,28279.11757917258,1758492338036,Synapse54,1758492338036,Synapse54
197,62919 (Cave in Rock),Hardin County,Illinois,862641b5fffffff,6,15.79,15.79,55949999.99609375,27873.628806559227,1758492338036,Synapse54,1758492338036,Synapse54
198,62443 (Mason),Effingham County,Illinois,862645c27ffffff,48,19.59,19.59,57610000.0,28287.316359797504,1758492338036,Synapse54,1758492338036,Synapse54
199,62947 (Herod),Saline County,Illinois,862641b87ffffff,9,18.75,18.75,56046250.00390625,27895.58126275396,1758492338036,Synapse54,1758492338036,Synapse54
200,62443 (Mason),Effingham County,Illinois,862645c2fffffff,96,17.88,17.88,57815000.0,28332.77200847993,1758492338036,Synapse54,1758492338036,Synapse54
201,62931 (Elizabethtown),Hardin County,Illinois,862641b8fffffff,29,14.87,14.87,56046250.0,27895.58126275396,1758492338036,Synapse54,1758492338036,Synapse54
202,62411 (Altamont),Effingham County,Illinois,862645c37ffffff,83,20.75,20.75,57984999.99609375,28376.64892843383,1758492338036,Synapse54,1758492338036,Synapse54
203,62947 (Herod),Saline County,Illinois,862641b97ffffff,49,19.92,19.92,56327500.0,27959.5257351588,1758492338036,Synapse54,1758492338036,Synapse54
204,62858 (Louisville),Clay County,Illinois,862645c47ffffff,37,21.51,21.51,57408750.0,28236.805397737397,1758492338036,Synapse54,1758492338036,Synapse54
205,62947 (Herod),Pope County,Illinois,862641b9fffffff,17,14.78,14.78,56327500.0,27959.5257351588,1758492338036,Synapse54,1758492338036,Synapse54
206,62858 (Louisville),Clay County,Illinois,862645c4fffffff,235,21.06,21.06,57256249.99609375,28196.476022808307,1758492338036,Synapse54,1758492338036,Synapse54
207,62934 (Equality),Gallatin County,Illinois,862641ba7ffffff,11,18.64,18.64,56142500.0,27918.795143747702,1758492338036,Synapse54,1758492338036,Synapse54
208,62426 (Edgewood),Clay County,Illinois,862645c57ffffff,54,21.43,21.43,57426250.0,28240.352942762212,1758492338036,Synapse54,1758492338036,Synapse54
209,62954 (Junction),Gallatin County,Illinois,862641bafffffff,16,19.05,19.05,56142500.0,27918.795143747702,1758492338036,Synapse54,1758492338036,Synapse54
210,62858 (Louisville),Clay County,Illinois,862645c5fffffff,23,21.1,21.1,57613750.00390625,28282.26104641982,1758492338036,Synapse54,1758492338036,Synapse54
211,62934 (Equality),Saline County,Illinois,862641bb7ffffff,10,18.87,18.87,56197500.00390625,27935.98615510495,1758492338036,Synapse54,1758492338036,Synapse54
212,62443 (Mason),Clay County,Illinois,862645c67ffffff,60,21.13,21.13,57443750.0,28238.384126465917,1758492338036,Synapse54,1758492338036,Synapse54
213,62874 (Orient),Franklin County,Illinois,862641c07ffffff,147,18.65,18.65,57029999.99609375,28131.661332832093,1758492338036,Synapse54,1758492338036,Synapse54
214,62858 (Louisville),Clay County,Illinois,862645c6fffffff,49,21.12,21.12,57431250.00390625,28246.3620350019,1758492338036,Synapse54,1758492338036,Synapse54
215,62896 (West Frankfort),Franklin County,Illinois,862641c0fffffff,339,18.91,18.91,56762500.0,28070.2603842186,1758492338036,Synapse54,1758492338036,Synapse54
216,63459 (New London),Ralls County,Missouri,862646db7ffffff,19,22.09,22.09,60045000.0,28873.176330769522,1758492338036,Synapse54,1758492338036,Synapse54
217,62838 (Farina),Clay County,Illinois,862645c77ffffff,27,21.6,21.6,57613750.00390625,28282.26104641982,1758492338036,Synapse54,1758492338036,Synapse54
218,62865 (Mulkeytown),Franklin County,Illinois,862641c17ffffff,412,20.54,20.54,57234999.99609375,28187.250668336303,1758492338036,Synapse54,1758492338036,Synapse54
219,62418 (Brownstown),Fayette County,Illinois,862645c87ffffff,34,22.97,22.97,58067499.99609375,28395.352165252498,1758492338036,Synapse54,1758492338036,Synapse54
220,61546 (Manito),Mason County,Illinois,862662417ffffff,269,21.78,21.78,60722499.99609375,29035.64582934531,1758492338036,Synapse54,1758492338036,Synapse54
221,62896 (West Frankfort),Franklin County,Illinois,862641c1fffffff,127,18.49,18.49,56747500.00390625,28067.30877769926,1758492338036,Synapse54,1758492338036,Synapse54
222,62880 (Saint Peter),Fayette County,Illinois,862645c8fffffff,87,20.57,20.57,57408750.00390625,28236.805397737397,1758492338036,Synapse54,1758492338036,Synapse54
223,62812 (Benton),Franklin County,Illinois,862641c27ffffff,279,22.68,22.68,56747500.00390625,28067.308777699258,1758492338036,Synapse54,1758492338036,Synapse54
224,61567 (Topeka),Mason County,Illinois,862662487ffffff,34,19.65,19.65,60603750.00390625,29005.646272531165,1758492338036,Synapse54,1758492338036,Synapse54
225,62418 (Brownstown),Fayette County,Illinois,862645c97ffffff,29,21.64,21.64,57507500.0,28258.6521018033,1758492338036,Synapse54,1758492338036,Synapse54
226,62896 (West Frankfort),Franklin County,Illinois,862641c2fffffff,1516,20.65,20.65,57048750.0,28145.100646134404,1758492338036,Synapse54,1758492338036,Synapse54
227,62471 (Vandalia),Fayette County,Illinois,862645c9fffffff,34,21.79,21.79,57863750.0,28344.841203192394,1758492338036,Synapse54,1758492338036,Synapse54
228,62819 (Buckner),Franklin County,Illinois,862641c37ffffff,332,19.9,19.9,57048750.0,28145.100646134404,1758492338036,Synapse54,1758492338036,Synapse54
229,62418 (Brownstown),Fayette County,Illinois,862645ca7ffffff,57,23.17,23.17,57967500.00390625,28373.266694098493,1758492338036,Synapse54,1758492338036,Synapse54
230,62959 (Marion),Williamson County,Illinois,862641c47ffffff,168,20.29,20.29,56746250.00390625,28067.06709609365,1758492338036,Synapse54,1758492338036,Synapse54
231,62880 (Saint Peter),Fayette County,Illinois,862645cafffffff,25,21.55,21.55,57814999.99609375,28332.772008479926,1758492338036,Synapse54,1758492338036,Synapse54
232,62959 (Marion),Williamson County,Illinois,862641c4fffffff,178,20.02,20.02,56577500.0,28023.54419610094,1758492338036,Synapse54,1758492338036,Synapse54
233,62418 (Brownstown),Fayette County,Illinois,862645cb7ffffff,67,23.1,23.1,57777500.0,28320.347818570954,1758492338036,Synapse54,1758492338036,Synapse54
234,62959 (Marion),Williamson County,Illinois,862641c57ffffff,905,21.08,21.08,56747499.99609375,28067.308777699258,1758492338036,Synapse54,1758492338036,Synapse54
235,62854 (Kinmundy),Marion County,Illinois,862645cc7ffffff,47,22.07,22.07,57610000.0,28287.316359797504,1758492338036,Synapse54,1758492338036,Synapse54
236,62959 (Marion),Williamson County,Illinois,862641c5fffffff,423,19.85,19.85,56878750.00390625,28101.33606453608,1758492338036,Synapse54,1758492338036,Synapse54
237,62854 (Kinmundy),Marion County,Illinois,862645ccfffffff,38,19.49,19.49,57405000.0,28231.015249934626,1758492338036,Synapse54,1758492338036,Synapse54
238,61532 (Forest City),Mason County,Illinois,86266248fffffff,13,19.7,19.7,60224999.99609375,28915.41861785277,1758492338036,Synapse54,1758492338036,Synapse54
239,62890 (Thompsonville),Williamson County,Illinois,862641c67ffffff,65,19.01,19.01,56864999.99609375,28097.89717777297,1758492338036,Synapse54,1758492338036,Synapse54
240,62854 (Kinmundy),Marion County,Illinois,862645cd7ffffff,28,20.0,20.0,57507500.00390625,28258.652101803305,1758492338036,Synapse54,1758492338036,Synapse54
241,62890 (Thompsonville),Williamson County,Illinois,862641c6fffffff,82,20.2,20.2,56864999.99609375,28097.89717777297,1758492338036,Synapse54,1758492338036,Synapse54
242,62854 (Kinmundy),Marion County,Illinois,862645cdfffffff,16,19.51,19.51,57612499.99609375,28282.47999085674,1758492338036,Synapse54,1758492338036,Synapse54
243,62896 (West Frankfort),Williamson County,Illinois,862641c77ffffff,109,19.09,19.09,56762500.00390625,28070.2603842186,1758492338036,Synapse54,1758492338036,Synapse54
244,62838 (Farina),Fayette County,Illinois,862645ce7ffffff,44,23.66,23.66,57613749.99609375,28282.261046419822,1758492338036,Synapse54,1758492338036,Synapse54
245,62932 (Elkville),Jackson County,Illinois,862641c87ffffff,36,18.95,18.95,57200000.0,28175.425914430416,1758492338036,Synapse54,1758492338036,Synapse54
246,62838 (Farina),Clay County,Illinois,862645cefffffff,23,20.91,20.91,57426250.0,28240.352942762212,1758492338036,Synapse54,1758492338036,Synapse54
247,62918 (Carterville),Williamson County,Illinois,862641c8fffffff,323,20.46,20.46,56947499.99609375,28118.12712108815,1758492338036,Synapse54,1758492338036,Synapse54
248,62838 (Farina),Fayette County,Illinois,862645cf7ffffff,117,23.31,23.31,57591250.00390625,28273.32743136981,1758492338036,Synapse54,1758492338036,Synapse54
249,62932 (Elkville),Jackson County,Illinois,862641c97ffffff,171,20.36,20.36,56830000.00390625,28086.31802250525,1758492338036,Synapse54,1758492338036,Synapse54
250,62401 (Effingham),Effingham County,Illinois,862645d07ffffff,50,17.86,17.86,57698750.00390625,28306.746210737325,1758492338036,Synapse54,1758492338036,Synapse54
251,62924 (De Soto),Jackson County,Illinois,862641c9fffffff,293,20.55,20.55,57045000.0,28140.104806549563,1758492338036,Synapse54,1758492338036,Synapse54
252,62411 (Altamont),Effingham County,Illinois,862645d0fffffff,97,19.72,19.72,57717499.99609375,28310.116842725416,1758492338036,Synapse54,1758492338036,Synapse54
253,62865 (Mulkeytown),Franklin County,Illinois,862641ca7ffffff,39,18.75,18.75,56830000.0,28086.31802250525,1758492338036,Synapse54,1758492338036,Synapse54
254,62411 (Altamont),Effingham County,Illinois,862645d17ffffff,33,15.87,15.87,57797500.00390625,28328.592914803234,1758492338036,Synapse54,1758492338036,Synapse54
255,62983 (Royalton),Franklin County,Illinois,862641cafffffff,244,19.06,19.06,56946249.99609375,28117.902273618627,1758492338036,Synapse54,1758492338036,Synapse54
256,62411 (Altamont),Effingham County,Illinois,862645d1fffffff,324,21.5,21.5,57595000.0,28279.11757917258,1758492338036,Synapse54,1758492338036,Synapse54
257,62932 (Elkville),Jackson County,Illinois,862641cb7ffffff,44,19.82,19.82,57200000.00390625,28175.425914430416,1758492338036,Synapse54,1758492338036,Synapse54
258,62401 (Effingham),Effingham County,Illinois,862645d27ffffff,332,18.0,18.0,57985000.0,28376.64892843383,1758492338036,Synapse54,1758492338036,Synapse54
259,62959 (Marion),Williamson County,Illinois,862641cc7ffffff,1315,21.22,21.22,56747499.99609375,28067.30877769926,1758492338036,Synapse54,1758492338036,Synapse54
260,62401 (Effingham),Effingham County,Illinois,862645d2fffffff,139,19.8,19.8,57613750.0,28282.26104641982,1758492338036,Synapse54,1758492338036,Synapse54
261,62959 (Marion),Williamson County,Illinois,862641ccfffffff,401,18.7,18.7,56746249.9921875,28067.06709609365,1758492338036,Synapse54,1758492338036,Synapse54
262,62411 (Altamont),Effingham County,Illinois,862645d37ffffff,29,16.67,16.67,57698750.0,28306.746210737325,1758492338036,Synapse54,1758492338036,Synapse54
263,62918 (Carterville),Williamson County,Illinois,862641cd7ffffff,1946,23.18,23.18,56845000.00390625,28090.928748572373,1758492338036,Synapse54,1758492338036,Synapse54
264,62473 (Watson),Effingham County,Illinois,862645d47ffffff,85,21.74,21.74,57618749.99609375,28288.27013865951,1758492338036,Synapse54,1758492338036,Synapse54
265,62918 (Carterville),Williamson County,Illinois,862641cdfffffff,162,19.38,19.38,56845000.0,28090.928748572373,1758492338036,Synapse54,1758492338036,Synapse54
266,62443 (Mason),Effingham County,Illinois,862645d4fffffff,48,23.19,23.19,57528750.0,28267.96682052352,1758492338036,Synapse54,1758492338036,Synapse54
267,62951 (Johnston City),Williamson County,Illinois,862641ce7ffffff,394,19.48,19.48,56845000.00390625,28089.269629024588,1758492338036,Synapse54,1758492338036,Synapse54
268,62443 (Mason),Effingham County,Illinois,862645d57ffffff,48,18.82,18.82,57612500.0,28282.47999085674,1758492338036,Synapse54,1758492338036,Synapse54
269,62959 (Marion),Williamson County,Illinois,862641cefffffff,1078,19.22,19.22,56844999.99609375,28089.269629024588,1758492338036,Synapse54,1758492338036,Synapse54
270,62443 (Mason),Effingham County,Illinois,862645d5fffffff,53,18.34,18.34,57610000.0,28287.316359797504,1758492338036,Synapse54,1758492338036,Synapse54
271,62948 (Herrin),Williamson County,Illinois,862641cf7ffffff,1648,21.96,21.96,56946250.00390625,28117.902273618627,1758492338036,Synapse54,1758492338036,Synapse54
272,62401 (Effingham),Effingham County,Illinois,862645d67ffffff,113,19.35,19.35,57815000.0,28332.772008479926,1758492338036,Synapse54,1758492338036,Synapse54
273,62812 (Benton),Franklin County,Illinois,862641d07ffffff,52,18.91,18.91,57101249.99609375,28153.22338149948,1758492338036,Synapse54,1758492338036,Synapse54
274,62424 (Dieterich),Effingham County,Illinois,862645d6fffffff,63,23.33,23.33,57426250.0078125,28240.329968654845,1758492338036,Synapse54,1758492338036,Synapse54
