OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPK1,TPOPK1_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
34,46013 (Anderson),Madison County,Indiana,862a9254fffffff,0,0.0,0.0,60553749.99609375,28992.993308976922,1758491900577,Synapse54,1758491900577,Synapse54
35,42451 (Reed),Henderson County,Kentucky,86266a177ffffff,0,0.0,0.0,55610000.0,27788.960399339667,1758491900577,Synapse54,1758491900577,Synapse54
36,46011 (Anderson),Madison County,Indiana,862a92557ffffff,0,0.0,0.0,60553749.99609375,28992.993308976922,1758491900577,Synapse54,1758491900577,Synapse54
37,42420 (Henderson),Henderson County,Kentucky,86266a187ffffff,0,0.0,0.0,55807499.99609375,27839.733929161797,1758491900577,Synapse54,1758491900577,Synapse54
38,46011 (Anderson),Madison County,Indiana,862a9255fffffff,0,0.0,0.0,60510000.0078125,28979.332364719467,1758491900577,Synapse54,1758491900577,Synapse54
39,42420 (Henderson),Vanderburgh County,Indiana,86266a18fffffff,0,0.0,0.0,55807500.0,27839.733929161797,1758491900577,Synapse54,1758491900577,Synapse54
40,46012 (Anderson),Madison County,Indiana,862a92567ffffff,1104,4.54,4.54,60957499.9921875,29092.28175687831,1758491900577,Synapse54,1758491900577,Synapse54
41,47712 (Evansville),Vanderburgh County,Indiana,86266a197ffffff,0,0.0,0.0,55800000.0,27833.232309338826,1758491900577,Synapse54,1758491900577,Synapse54
42,46017 (Anderson),Madison County,Indiana,862a9256fffffff,1330,23.15,23.15,60427500.00390625,28959.57401959147,1758491900577,Synapse54,1758491900577,Synapse54
43,47712 (Evansville),Vanderburgh County,Indiana,86266a19fffffff,0,0.0,0.0,56005000.00390625,27890.50745898393,1758491900577,Synapse54,1758491900577,Synapse54
44,46011 (Anderson),Madison County,Indiana,862a92577ffffff,0,0.0,0.0,61013750.0,29098.870423874323,1758491900577,Synapse54,1758491900577,Synapse54
45,42420 (Henderson),Henderson County,Kentucky,86266a1a7ffffff,514,1.81,1.81,55800000.0,27833.232309338826,1758491900577,Synapse54,1758491900577,Synapse54
46,42420 (Henderson),Henderson County,Kentucky,86266a1afffffff,0,0.0,0.0,56005000.0,27890.50745898393,1758491900577,Synapse54,1758491900577,Synapse54
47,46034 (Cicero),Hamilton County,Indiana,862a92587ffffff,0,0.0,0.0,60721249.99609375,29032.822902260006,1758491900577,Synapse54,1758491900577,Synapse54
48,47712 (Evansville),Vanderburgh County,Indiana,86266a1b7ffffff,1287,8.85,8.85,55807500.0,27839.733929161797,1758491900577,Synapse54,1758491900577,Synapse54
49,46062 (Noblesville),Hamilton County,Indiana,862a9258fffffff,0,0.0,0.0,60607499.9921875,29006.346578221033,1758491900577,Synapse54,1758491900577,Synapse54
50,46034 (Cicero),Hamilton County,Indiana,862a92597ffffff,0,0.0,0.0,60821250.0,29053.344694566124,1758491900577,Synapse54,1758491900577,Synapse54
51,47581 (Shoals),Martin County,Indiana,86266ead7ffffff,0,0.0,0.0,56282500.00390625,27957.00813326933,1758491900577,Synapse54,1758491900577,Synapse54
52,46062 (Noblesville),Hamilton County,Indiana,862a9259fffffff,0,0.0,0.0,60418750.0078125,28959.464225184853,1758491900577,Synapse54,1758491900577,Synapse54
53,47581 (Shoals),Martin County,Indiana,86266eadfffffff,0,0.0,0.0,56198749.99609375,27936.37743913246,1758491900577,Synapse54,1758491900577,Synapse54
54,47620 (Mount Vernon),Posey County,Indiana,86266a407ffffff,0,0.0,0.0,56135000.0,27915.620822769335,1758491900577,Synapse54,1758491900577,Synapse54
55,46567 (Syracuse),Kosciusko County,Indiana,86274b207ffffff,0,0.0,0.0,64823749.9921875,29992.00289257546,1758491900577,Synapse54,1758491900577,Synapse54
56,46070 (Summitville),Delaware County,Indiana,862a92c07ffffff,0,0.0,0.0,61552500.0,29232.76257317144,1758491900577,Synapse54,1758491900577,Synapse54
57,47023 (Holton),Ripley County,Indiana,86266caafffffff,0,0.0,0.0,57316250.0,28213.51252584683,1758491900577,Synapse54,1758491900577,Synapse54
58,46030 (Arcadia),Hamilton County,Indiana,862a925a7ffffff,0,0.0,0.0,60936249.9921875,29079.8921074294,1758491900577,Synapse54,1758491900577,Synapse54
59,47469 (West Baden Springs),Orange County,Indiana,86266eae7ffffff,0,0.0,0.0,56462500.0,28004.14601974735,1758491900577,Synapse54,1758491900577,Synapse54
60,47620 (Mount Vernon),Posey County,Indiana,86266a40fffffff,0,0.0,0.0,56099999.99609375,27911.858689713827,1758491900577,Synapse54,1758491900577,Synapse54
61,46034 (Cicero),Hamilton County,Indiana,862a925afffffff,0,0.0,0.0,61110000.0,29125.58155942048,1758491900577,Synapse54,1758491900577,Synapse54
62,47620 (Mount Vernon),Posey County,Indiana,86266a427ffffff,0,0.0,0.0,56135000.0,27915.620822769335,1758491900577,Synapse54,1758491900577,Synapse54
63,47469 (West Baden Springs),Orange County,Indiana,86266eaefffffff,0,0.0,0.0,56380000.0,27983.44968692078,1758491900577,Synapse54,1758491900577,Synapse54
64,46031 (Atlanta),Hamilton County,Indiana,862a925b7ffffff,0,0.0,0.0,61110000.0,29125.58155942048,1758491900577,Synapse54,1758491900577,Synapse54
65,42461 (Uniontown),Union County,Kentucky,86266a42fffffff,0,0.0,0.0,56100000.0,27911.858689713823,1758491900577,Synapse54,1758491900577,Synapse54
66,42461 (Uniontown),Union County,Kentucky,86266a477ffffff,0,0.0,0.0,56135000.0,27915.620822769335,1758491900577,Synapse54,1758491900577,Synapse54
67,47620 (Mount Vernon),Posey County,Indiana,86266a507ffffff,0,0.0,0.0,55800000.0,27833.232309338826,1758491900577,Synapse54,1758491900577,Synapse54
68,47620 (Mount Vernon),Posey County,Indiana,86266a50fffffff,0,0.0,0.0,56436249.99609375,27994.00210179751,1758491900577,Synapse54,1758491900577,Synapse54
69,47581 (Shoals),Martin County,Indiana,86266eaf7ffffff,0,0.0,0.0,56503750.0,28015.519942588508,1758491900577,Synapse54,1758491900577,Synapse54
70,46161 (Morristown),Shelby County,Indiana,862a92607ffffff,0,0.0,0.0,59308749.99609375,28692.532268989817,1758491900577,Synapse54,1758491900577,Synapse54
71,47462 (Springville),Lawrence County,Indiana,86266eb07ffffff,0,0.0,0.0,56977500.00390625,28129.145114449355,1758491900577,Synapse54,1758491900577,Synapse54
72,47620 (Mount Vernon),Posey County,Indiana,86266a51fffffff,0,0.0,0.0,56363750.00390625,27977.19726350761,1758491900577,Synapse54,1758491900577,Synapse54
73,47631 (New Harmony),Posey County,Indiana,86266a527ffffff,0,0.0,0.0,55800000.0,27833.232309338826,1758491900577,Synapse54,1758491900577,Synapse54
74,46176 (Shelbyville),Shelby County,Indiana,862a9260fffffff,0,0.0,0.0,59307499.99609375,28692.604877205555,1758491900577,Synapse54,1758491900577,Synapse54
75,47421 (Bedford),Lawrence County,Indiana,86266eb0fffffff,0,0.0,0.0,56893750.00390625,28108.849644486923,1758491900577,Synapse54,1758491900577,Synapse54
76,47620 (Mount Vernon),Posey County,Indiana,86266a52fffffff,0,0.0,0.0,56340000.0,27972.40576972079,1758491900577,Synapse54,1758491900577,Synapse54
77,46161 (Morristown),Shelby County,Indiana,862a92617ffffff,0,0.0,0.0,59381250.00390625,28713.014781308717,1758491900577,Synapse54,1758491900577,Synapse54
78,47620 (Mount Vernon),Posey County,Indiana,86266a547ffffff,0,0.0,0.0,56172500.0,27934.486406917233,1758491900577,Synapse54,1758491900577,Synapse54
79,47462 (Springville),Lawrence County,Indiana,86266eb17ffffff,0,0.0,0.0,57256249.99609375,28202.27677604957,1758491900577,Synapse54,1758491900577,Synapse54
80,42461 (Uniontown),Henderson County,Kentucky,86266a557ffffff,0,0.0,0.0,55800000.0,27833.232309338826,1758491900577,Synapse54,1758491900577,Synapse54
81,47620 (Mount Vernon),Posey County,Indiana,86266a567ffffff,0,0.0,0.0,56358750.0,27976.233321780514,1758491900577,Synapse54,1758491900577,Synapse54
82,46176 (Shelbyville),Shelby County,Indiana,862a9261fffffff,0,0.0,0.0,59593750.0,28765.137545341746,1758491900577,Synapse54,1758491900577,Synapse54
83,47421 (Bedford),Lawrence County,Indiana,86266eb1fffffff,0,0.0,0.0,56977499.9921875,28129.145114449355,1758491900577,Synapse54,1758491900577,Synapse54
84,42406 (Corydon),Henderson County,Kentucky,86266a56fffffff,0,0.0,0.0,55967500.0,27877.211257272123,1758491900577,Synapse54,1758491900577,Synapse54
