OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
679,53549 (Jefferson),Jefferson County,Wisconsin,862758a57ffffff,299,25.27,25.27,69074999.99609375,30958.414644890276,1758492472594,Synapse54,1758492472594,Synapse54
680,53949 (Montello),Marquette County,Wisconsin,86275c637ffffff,80,28.27,28.27,72105000.0,31627.59238077314,1758492472594,Synapse54,1758492472594,Synapse54
681,54615 (Black River Falls),Jackson County,Wisconsin,86275ed8fffffff,272,27.9,27.9,73435000.0,31913.936229935975,1758492472594,Synapse54,1758492472594,Synapse54
682,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758a5fffffff,129,26.82,26.82,68899999.9921875,30916.531354307866,1758492472594,Synapse54,1758492472594,Synapse54
683,53926 (Dalton),Green Lake County,Wisconsin,86275c647ffffff,54,18.06,18.06,71663750.00390625,31525.884016406475,1758492472594,Synapse54,1758492472594,Synapse54
684,54635 (Hixton),Jackson County,Wisconsin,86275ed97ffffff,175,24.93,24.93,73211250.0,31865.98065513429,1758492472594,Synapse54,1758492472594,Synapse54
685,53926 (Dalton),Green Lake County,Wisconsin,86275c64fffffff,78,17.57,17.57,71563750.0078125,31504.361848336794,1758492472594,Synapse54,1758492472594,Synapse54
686,53137 (Helenville),Jefferson County,Wisconsin,862758a67ffffff,188,23.92,23.92,69075000.00390625,30958.414644890276,1758492472594,Synapse54,1758492472594,Synapse54
687,53926 (Dalton),Marquette County,Wisconsin,86275c657ffffff,86,22.4,22.4,71613749.99609375,31520.287236517277,1758492472594,Synapse54,1758492472594,Synapse54
688,54635 (Hixton),Jackson County,Wisconsin,86275ed9fffffff,45,24.32,24.32,73522499.99609375,31933.223213532663,1758492472594,Synapse54,1758492472594,Synapse54
689,53137 (Helenville),Jefferson County,Wisconsin,862758a6fffffff,197,26.51,26.51,69380000.00390625,31021.166933578665,1758492472594,Synapse54,1758492472594,Synapse54
690,53926 (Dalton),Green Lake County,Wisconsin,86275c65fffffff,112,18.7,18.7,71229999.99609375,31433.09149792094,1758492472594,Synapse54,1758492472594,Synapse54
691,54611 (Alma Center),Jackson County,Wisconsin,86275eda7ffffff,145,22.91,22.91,73650000.00390625,31958.823119334047,1758492472594,Synapse54,1758492472594,Synapse54
