OBJECTID,admin4_name,admin3_name,admin2_name,id,X9028_X,X9028_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
956,41095 (Warsaw),Gallatin County,Kentucky,86266dd27ffffff,468,3.1,3.1,57036250.0078125,28147.289686100965,1758492746354,Synapse54,1758492746354,Synapse54
957,47043 (Vevay),Switzerland County,Indiana,86266dd37ffffff,962,4.26,4.26,56955000.0,28126.593767313178,1758492746354,Synapse54,1758492746354,Synapse54
958,47043 (Vevay),Jefferson County,Indiana,86266dd87ffffff,778,4.18,4.18,56670000.0,28052.817864165518,1758492746354,Synapse54,1758492746354,Synapse54
959,40045 (Milton),Carroll County,Kentucky,86266dd97ffffff,713,4.24,4.24,56955000.00390625,28126.593767313178,1758492746354,Synapse54,1758492746354,Synapse54
960,47043 (Vevay),Switzerland County,Indiana,86266dda7ffffff,452,4.04,4.04,57212500.0078125,28186.42662458083,1758492746354,Synapse54,1758492746354,Synapse54
961,47043 (Vevay),Switzerland County,Indiana,86266ddafffffff,2845,4.3,4.3,56803750.0,28087.011082025525,1758492746354,Synapse54,1758492746354,Synapse54
962,47250 (Madison),Jefferson County,Indiana,86266ddb7ffffff,1061,5.99,5.99,56621250.0,28039.41875447061,1758492746354,Synapse54,1758492746354,Synapse54
963,47006 (Batesville),Franklin County,Indiana,862a9359fffffff,978,4.43,4.43,58606249.9921875,28526.019648407942,1758492746354,Synapse54,1758492746354,Synapse54
964,47012 (Brookville),Franklin County,Indiana,862a935a7ffffff,3399,4.19,4.19,58606250.00390625,28526.019648407942,1758492746354,Synapse54,1758492746354,Synapse54
965,47012 (Brookville),Franklin County,Indiana,862a935afffffff,1149,5.42,5.42,58759999.9921875,28565.879341644126,1758492746354,Synapse54,1758492746354,Synapse54
966,47030 (Metamora),Franklin County,Indiana,862a935b7ffffff,960,5.22,5.22,58760000.0,28565.879341644126,1758492746354,Synapse54,1758492746354,Synapse54
967,41091 (Union),Boone County,Kentucky,862a93607ffffff,1240,6.02,6.02,57407500.0,28234.305338738337,1758492746354,Synapse54,1758492746354,Synapse54
968,41091 (Union),Boone County,Kentucky,862a93617ffffff,716,4.53,4.53,57428750.0,28241.064828775598,1758492746354,Synapse54,1758492746354,Synapse54
969,41095 (Warsaw),Gallatin County,Kentucky,862a9361fffffff,777,3.63,3.63,57407500.0,28234.305338738337,1758492746354,Synapse54,1758492746354,Synapse54
970,47040 (Rising Sun),Switzerland County,Indiana,862a93687ffffff,875,2.57,2.57,57508749.99609375,28260.6291373117,1758492746354,Synapse54,1758492746354,Synapse54
971,47020 (Florence),Switzerland County,Indiana,862a9368fffffff,932,2.98,2.98,57356250.00390625,28220.906229043427,1758492746354,Synapse54,1758492746354,Synapse54
