OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPK2,TPOPK2_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
954,62910 (Brookport),Massac County,Illinois,8626412e7ffffff,0,0.0,0.0,55755000.0,27820.240556729095,1758491880661,Synapse54,1758491880661,Synapse54
955,62353 (Mount Sterling),Brown County,Illinois,862671707ffffff,0,0.0,0.0,60056250.00390625,28874.385711831208,1758491880661,Synapse54,1758491880661,Synapse54
956,62910 (Brookport),Massac County,Illinois,8626412f7ffffff,0,0.0,0.0,55754999.99609375,27820.240556729095,1758491880661,Synapse54,1758491880661,Synapse54
957,62274 (Pinckneyville),Perry County,Illinois,862640357ffffff,0,0.0,0.0,57371250.00390625,28225.493109138886,1758491880661,Synapse54,1758491880661,Synapse54
958,61473 (Roseville),Warren County,Illinois,86267568fffffff,0,0.0,0.0,61488749.99609375,29219.459820980344,1758491880661,Synapse54,1758491880661,Synapse54
959,42081 (Smithland),Livingston County,Kentucky,862641307ffffff,0,0.0,0.0,55755000.0,27820.240556729095,1758491880661,Synapse54,1758491880661,Synapse54
960,62312 (Barry),Pike County,Illinois,862673a6fffffff,0,0.0,0.0,60232500.0,28915.132722347902,1758491880661,Synapse54,1758491880661,Synapse54
961,62378 (Versailles),Brown County,Illinois,86267170fffffff,0,0.0,0.0,60071250.0,28876.958638683976,1758491880661,Synapse54,1758491880661,Synapse54
962,62938 (Golconda),Pope County,Illinois,862641317ffffff,0,0.0,0.0,56096250.0,27908.572123016154,1758491880661,Synapse54,1758491880661,Synapse54
963,62854 (Kinmundy),Marion County,Illinois,86264552fffffff,0,0.0,0.0,57711250.0,28304.32669492265,1758491880661,Synapse54,1758491880661,Synapse54
964,62994 (Vergennes),Jackson County,Illinois,86264035fffffff,0,0.0,0.0,57199999.99609375,28175.425914430416,1758491880661,Synapse54,1758491880661,Synapse54
965,42081 (Smithland),Livingston County,Kentucky,86264131fffffff,0,0.0,0.0,56041250.00390625,27889.88314594395,1758491880661,Synapse54,1758491880661,Synapse54
966,62343 (Hull),Pike County,Illinois,862673a77ffffff,0,0.0,0.0,60337500.0,28938.041241530176,1758491880661,Synapse54,1758491880661,Synapse54
967,62324 (Clayton),Brown County,Illinois,862671717ffffff,0,0.0,0.0,60336250.0,28942.112662626907,1758491880661,Synapse54,1758491880661,Synapse54
968,62938 (Golconda),Pope County,Illinois,862641387ffffff,0,0.0,0.0,56392500.00390625,27981.15249229343,1758491880661,Synapse54,1758491880661,Synapse54
969,62832 (Du Quoin),Perry County,Illinois,862640367ffffff,0,0.0,0.0,57401250.00390625,28226.01941034978,1758491880661,Synapse54,1758491880661,Synapse54
970,61478 (Smithshire),Warren County,Illinois,862675697ffffff,0,0.0,0.0,61567499.99609375,29238.439686857997,1758491880661,Synapse54,1758491880661,Synapse54
971,63401 (Hannibal),Marion County,Missouri,862673aafffffff,0,0.0,0.0,60499999.99609375,28980.6581194895,1758491880661,Synapse54,1758491880661,Synapse54
972,62938 (Golconda),Massac County,Illinois,86264138fffffff,0,0.0,0.0,55938750.0,27862.47750898574,1758491880661,Synapse54,1758491880661,Synapse54
973,62378 (Versailles),Brown County,Illinois,86267171fffffff,0,0.0,0.0,60071250.0,28876.95863868398,1758491880661,Synapse54,1758491880661,Synapse54
974,62343 (Hull),Pike County,Illinois,862673ae7ffffff,0,0.0,0.0,59942499.99609375,28846.389074054474,1758491880661,Synapse54,1758491880661,Synapse54
975,62960 (Metropolis),Massac County,Illinois,862641397ffffff,0,0.0,0.0,56208750.0,27933.647727542273,1758491880661,Synapse54,1758491880661,Synapse54
976,62832 (Du Quoin),Perry County,Illinois,86264036fffffff,0,0.0,0.0,57401249.99609375,28226.01941034978,1758491880661,Synapse54,1758491880661,Synapse54
977,62854 (Kinmundy),Marion County,Illinois,862645537ffffff,0,0.0,0.0,57405000.0,28231.015249934626,1758491880661,Synapse54,1758491880661,Synapse54
978,62960 (Metropolis),Massac County,Illinois,86264139fffffff,0,0.0,0.0,56040000.0,27889.891541074543,1758491880661,Synapse54,1758491880661,Synapse54
979,62345 (Kinderhook),Pike County,Illinois,862673aefffffff,0,0.0,0.0,60232500.00390625,28914.901016324584,1758491880661,Synapse54,1758491880661,Synapse54
980,62353 (Mount Sterling),Brown County,Illinois,862671727ffffff,0,0.0,0.0,60057500.0,28874.605049249403,1758491880661,Synapse54,1758491880661,Synapse54
981,62938 (Golconda),Pope County,Illinois,8626413a7ffffff,0,0.0,0.0,56142499.99609375,27918.795143747706,1758491880661,Synapse54,1758491880661,Synapse54
982,62832 (Du Quoin),Perry County,Illinois,862640377ffffff,0,0.0,0.0,57401249.99609375,28226.01941034978,1758491880661,Synapse54,1758491880661,Synapse54
983,63401 (Hannibal),Marion County,Missouri,862673af7ffffff,815,6.78,6.78,60128750.0,28888.342781141168,1758491880661,Synapse54,1758491880661,Synapse54
984,61478 (Smithshire),Warren County,Illinois,86267569fffffff,0,0.0,0.0,61263750.0,29163.77102725754,1758491880661,Synapse54,1758491880661,Synapse54
985,62938 (Golconda),Pope County,Illinois,8626413afffffff,0,0.0,0.0,56041249.99609375,27889.883145943946,1758491880661,Synapse54,1758491880661,Synapse54
986,62272 (Percy),Randolph County,Illinois,862640387ffffff,0,0.0,0.0,57556250.00390625,28267.517538823,1758491880661,Synapse54,1758491880661,Synapse54
987,62305 (Quincy),Adams County,Illinois,862673b07ffffff,0,0.0,0.0,60718750.0,29036.69941687645,1758491880661,Synapse54,1758491880661,Synapse54
988,62378 (Versailles),Brown County,Illinois,86267172fffffff,0,0.0,0.0,59868750.00390625,28832.877679202655,1758491880661,Synapse54,1758491880661,Synapse54
989,62938 (Golconda),Pope County,Illinois,8626413b7ffffff,0,0.0,0.0,55938750.0,27862.47750898574,1758491880661,Synapse54,1758491880661,Synapse54
990,62849 (Iuka),Marion County,Illinois,862645547ffffff,0,0.0,0.0,57610000.00390625,28287.316359797504,1758491880661,Synapse54,1758491880661,Synapse54
991,62272 (Percy),Randolph County,Illinois,86264038fffffff,0,0.0,0.0,57554999.9921875,28262.52169923816,1758491880661,Synapse54,1758491880661,Synapse54
992,42053 (Kevil),Ballard County,Kentucky,862641607ffffff,0,0.0,0.0,56092500.0,27903.118942252677,1758491880661,Synapse54,1758491880661,Synapse54
993,62305 (Quincy),Adams County,Illinois,862673b0fffffff,0,0.0,0.0,60232499.99609375,28914.901016324584,1758491880661,Synapse54,1758491880661,Synapse54
994,62353 (Mount Sterling),Brown County,Illinois,862671737ffffff,820,20.39,20.39,60056249.99609375,28874.385711831208,1758491880661,Synapse54,1758491880661,Synapse54
995,62970 (Olmsted),Pulaski County,Illinois,862641617ffffff,0,0.0,0.0,56092500.0,27903.118942252677,1758491880661,Synapse54,1758491880661,Synapse54
996,62286 (Sparta),Randolph County,Illinois,862640397ffffff,0,0.0,0.0,57554999.99609375,28262.52169923816,1758491880661,Synapse54,1758491880661,Synapse54
997,62941 (Grand Chain),Pulaski County,Illinois,862641627ffffff,0,0.0,0.0,56388750.0,27976.13981857251,1758491880661,Synapse54,1758491880661,Synapse54
998,62305 (Quincy),Adams County,Illinois,862673b17ffffff,608,13.45,13.45,60337500.0,28938.041241530176,1758491880661,Synapse54,1758491880661,Synapse54
