OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
3339,61085 (Stockton),Jo Daviess County,Illinois,86275bce7ffffff,39,30.23,30.23,66757500.00390625,30438.10962356996,1758492504859,Synapse54,1758492504859,Synapse54
3340,61920 (Charleston),Coles County,Illinois,8626630c7ffffff,690,22.37,22.37,58321249.9921875,28457.868299849826,1758492504859,Synapse54,1758492504859,Synapse54
3341,61085 (Stockton),Jo Daviess County,Illinois,86275bcefffffff,98,28.74,28.74,66705000.0,30422.195890554656,1758492504859,Synapse54,1758492504859,Synapse54
3342,61028 (Elizabeth),Jo Daviess County,Illinois,86275bcf7ffffff,27,27.84,27.84,66510000.00390625,30377.169873652354,1758492504859,Synapse54,1758492504859,Synapse54
3343,61938 (Mattoon),Coles County,Illinois,8626630d7ffffff,333,28.05,28.05,58321250.0078125,28457.868299849826,1758492504859,Synapse54,1758492504859,Synapse54
3344,53587 (South Wayne),Lafayette County,Wisconsin,86275bd47ffffff,37,25.34,25.34,67250000.0,30546.44969853585,1758492504859,Synapse54,1758492504859,Synapse54
3345,61920 (Charleston),Coles County,Illinois,8626630e7ffffff,2042,14.43,14.43,58346250.0078125,28463.137893758736,1758492504859,Synapse54,1758492504859,Synapse54
3346,61089 (Winslow),Stephenson County,Illinois,86275bd4fffffff,36,24.0,24.0,67149999.99609375,30524.66405850112,1758492504859,Synapse54,1758492504859,Synapse54
3347,61920 (Charleston),Coles County,Illinois,8626630efffffff,116,30.93,30.93,58346250.0078125,28463.137893758732,1758492504859,Synapse54,1758492504859,Synapse54
3348,53587 (South Wayne),Lafayette County,Wisconsin,86275bd57ffffff,22,23.4,23.4,67424999.99609375,30586.99124538609,1758492504859,Synapse54,1758492504859,Synapse54
3349,61920 (Charleston),Coles County,Illinois,8626630f7ffffff,287,24.55,24.55,58479999.98828125,28499.532960632714,1758492504859,Synapse54,1758492504859,Synapse54
3350,61943 (Oakland),Douglas County,Illinois,862663107ffffff,20,29.41,29.41,59325000.01171875,28697.115233412114,1758492504859,Synapse54,1758492504859,Synapse54
3351,61089 (Winslow),Stephenson County,Illinois,86275bd5fffffff,29,23.2,23.2,67250000.0,30546.44969853585,1758492504859,Synapse54,1758492504859,Synapse54
3352,61943 (Oakland),Coles County,Illinois,86266310fffffff,125,27.59,27.59,59022500.00390625,28628.831046718497,1758492504859,Synapse54,1758492504859,Synapse54
3353,61089 (Winslow),Stephenson County,Illinois,86275bd6fffffff,150,25.68,25.68,67471250.00390625,30599.591477616163,1758492504859,Synapse54,1758492504859,Synapse54
3354,61953 (Tuscola),Douglas County,Illinois,862663117ffffff,39,29.55,29.55,59324999.98828125,28697.115233412114,1758492504859,Synapse54,1758492504859,Synapse54
3355,53586 (Shullsburg),Lafayette County,Wisconsin,86275bd8fffffff,22,25.58,25.58,67207500.0,30537.924609553025,1758492504859,Synapse54,1758492504859,Synapse54
3356,61930 (Hindsboro),Douglas County,Illinois,86266311fffffff,100,27.25,27.25,58716249.99609375,28551.900401116258,1758492504859,Synapse54,1758492504859,Synapse54
3357,53586 (Shullsburg),Lafayette County,Wisconsin,86275bd9fffffff,26,26.26,26.26,67185000.0,30530.731033737873,1758492504859,Synapse54,1758492504859,Synapse54
3358,61942 (Newman),Douglas County,Illinois,862663127ffffff,16,28.57,28.57,59207499.9921875,28675.01179395956,1758492504859,Synapse54,1758492504859,Synapse54
3359,61943 (Oakland),Douglas County,Illinois,86266312fffffff,12,27.27,27.27,59022500.0,28628.831046718497,1758492504859,Synapse54,1758492504859,Synapse54
3360,60441 (Lockport),Will County,Illinois,862664487ffffff,2938,14.83,14.83,64795000.0,29984.483451623768,1758492504859,Synapse54,1758492504859,Synapse54
3361,60433 (Joliet),Will County,Illinois,86266448fffffff,5894,13.84,13.84,64743750.0078125,29974.686124780754,1758492504859,Synapse54,1758492504859,Synapse54
3362,60586 (Plainfield),Will County,Illinois,862664497ffffff,5916,20.7,20.7,65016249.99609375,30032.182610296746,1758492504859,Synapse54,1758492504859,Synapse54
