OBJECTID,DESCRIPTION,ID,ECYHRIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
363,"J6E (Joliette, QC)",J6E,1700259246.31,1700259246.31,137214208.0,95275.2587794035,1753802109669,Synapse54,1753802109669,Synapse54
364,"J6J (Chateauguay, QC)",J6J,967735843.16,967735843.16,74217052.0,72123.22068999698,1753802109669,Synapse54,1753802109669,Synapse54
365,"J6K (Chateauguay, QC)",J6K,949484045.5,949484045.5,20188406.0,28536.15419577854,1753802109669,Synapse54,1753802109669,Synapse54
366,"J6N (Beauharnois, QC)",J6N,651029834.97,651029834.97,233462281.0,99024.33793574793,1753802109669,Synapse54,1753802109669,Synapse54
367,"J6R (Mercier, QC)",J6R,643439689.95,643439689.95,115347180.0,49311.90260299979,1753802109669,Synapse54,1753802109669,Synapse54
368,"J6S (Salaberry-De-Valleyfield, QC)",J6S,938185215.53,938185215.53,210261044.5,73467.37727321035,1753802109669,Synapse54,1753802109669,Synapse54
369,"J6T (Salaberry-De-Valleyfield, QC)",J6T,637832559.36,637832559.36,46981135.0,36756.956833154014,1753802109669,Synapse54,1753802109669,Synapse54
370,"J6V (Terrebonne, QC)",J6V,746572967.03,746572967.03,60800572.0,35889.68273881664,1753802109669,Synapse54,1753802109669,Synapse54
371,"J6W (Terrebonne, QC)",J6W,1432040272.66,1432040272.66,39136671.0,33325.59650886826,1753802109669,Synapse54,1753802109669,Synapse54
372,"J6X (Terrebonne, QC)",J6X,1039831790.07,1039831790.07,60225849.5,43095.169343531845,1753802109669,Synapse54,1753802109669,Synapse54
373,"J6Y (Terrebonne, QC)",J6Y,1081050936.91,1081050936.91,81550557.0,61201.9952124608,1753802109669,Synapse54,1753802109669,Synapse54
374,"J6Z (Rosemere, QC)",J6Z,1045877609.99,1045877609.99,22537924.0,22963.79436186629,1753802109669,Synapse54,1753802109669,Synapse54
375,"J7A (Rosemere, QC)",J7A,792100517.09,792100517.09,24339416.5,22941.14213233615,1753802109669,Synapse54,1753802109669,Synapse54
376,"J7B (Boisbriand, QC)",J7B,935842481.55,935842481.55,14667986.5,16792.064136555553,1753802109669,Synapse54,1753802109669,Synapse54
377,"J7C (Boisbriand, QC)",J7C,2232100959.21,2232100959.21,94216134.5,48996.310543076004,1753802109669,Synapse54,1753802109669,Synapse54
378,"J7E (Boisbriand, QC)",J7E,1183779501.14,1183779501.14,38942666.0,66768.75062873606,1753802109669,Synapse54,1753802109669,Synapse54
379,"J7G (Boisbriand, QC)",J7G,824942236.3,824942236.3,24826343.0,22844.466974416475,1753802109669,Synapse54,1753802109669,Synapse54
380,"J7H (Boisbriand, QC)",J7H,389191565.98,389191565.98,18524557.5,29683.633390851617,1753802109669,Synapse54,1753802109669,Synapse54
381,"J7J (Boisbriand, QC)",J7J,1361742892.25,1361742892.25,216897455.5,103444.96666308724,1753802109669,Synapse54,1753802109669,Synapse54
382,"J7K (Terrebonne, QC)",J7K,1625606847.75,1625606847.75,193069363.5,83975.60969421153,1753802109669,Synapse54,1753802109669,Synapse54
383,"J7L (Terrebonne, QC)",J7L,635410659.44,635410659.44,28664221.0,25040.678807417222,1753802109669,Synapse54,1753802109669,Synapse54
384,"J7M (Terrebonne, QC)",J7M,881027465.28,881027465.28,82543767.0,48321.76398543206,1753802109669,Synapse54,1753802109669,Synapse54
385,"J7N (Boisbriand, QC)",J7N,1521153005.24,1521153005.24,781900527.5,198254.3737699631,1753802109669,Synapse54,1753802109669,Synapse54
386,"J7P (Saint-Eustache, QC)",J7P,1058340786.1,1058340786.1,34525041.5,29797.38514106549,1753802109669,Synapse54,1753802109669,Synapse54
387,"J7R (Saint-Eustache, QC)",J7R,1560029452.58,1560029452.58,124808411.0,71490.55014073827,1753802109669,Synapse54,1753802109669,Synapse54
388,"J7T (Vaudreuil-Dorion, QC)",J7T,1466769027.5,1466769027.5,297651983.5,93415.04234638221,1753802109669,Synapse54,1753802109669,Synapse54
389,"J7V (Vaudreuil-Dorion, QC)",J7V,2998701647.18,2998701647.18,362449115.0,152968.31394129083,1753802109669,Synapse54,1753802109669,Synapse54
390,"J7W (Vaudreuil-Dorion, QC)",J7W,637971523.4,637971523.4,24383265.0,23490.450057951097,1753802109669,Synapse54,1753802109669,Synapse54
391,"J7X (Salaberry-De-Valleyfield, QC)",J7X,237339074.07,237339074.07,64920487.0,46286.99583260664,1753802109669,Synapse54,1753802109669,Synapse54
392,"J7Y (Saint-Jerome, QC)",J7Y,1003541011.91,1003541011.91,50087471.02734375,55705.64280837206,1753802109669,Synapse54,1753802109669,Synapse54
393,"J7Z (Saint-Jerome, QC)",J7Z,1074931914.21,1074931914.21,36942944.47265625,33700.08035698858,1753802109669,Synapse54,1753802109669,Synapse54
394,"J8A (Saint-Hippolyte, QC)",J8A,492457896.35,492457896.35,272351866.0,88660.25650248205,1753802109669,Synapse54,1753802109669,Synapse54
395,"J8B (Sainte-Adele, QC)",J8B,684035353.05,684035353.05,257661278.5,87331.95722532229,1753802109669,Synapse54,1753802109669,Synapse54
396,"J8C (Sainte-Agathe-Des-Monts, QC)",J8C,469392286.91,469392286.91,363538345.5,105828.83702167151,1753802109669,Synapse54,1753802109669,Synapse54
397,"J8E (Mont-Tremblant, QC)",J8E,558920802.63,558920802.63,598027685.5,128502.35538817226,1753802109669,Synapse54,1753802109669,Synapse54
398,"J8G (Brownsburg-Chatham, QC)",J8G,308409966.53,308409966.53,1206240278.5,237511.8555793957,1753802109669,Synapse54,1753802109669,Synapse54
399,"J8H (Lachute, QC)",J8H,544905438.24,544905438.24,482502118.5,169179.8899596451,1753802109669,Synapse54,1753802109669,Synapse54
400,"J8L (Gatineau, QC)",J8L,884046830.34,884046830.34,1293058071.0,172060.6388984216,1753802109669,Synapse54,1753802109669,Synapse54
401,"J8M (Gatineau, QC)",J8M,577545194.91,577545194.91,154732777.5,65024.547084615566,1753802109669,Synapse54,1753802109669,Synapse54
402,"J8N (Val-Des-Monts, QC)",J8N,751195979.7,751195979.7,1732302854.5,285589.92276472907,1753802109669,Synapse54,1753802109669,Synapse54
403,"J8P (Gatineau, QC)",J8P,1379149837.12,1379149837.12,58693548.0,43657.291681754716,1753802109669,Synapse54,1753802109669,Synapse54
404,"J8R (Gatineau, QC)",J8R,1411613505.09,1411613505.09,156666056.5,68675.20266685543,1753802109669,Synapse54,1753802109669,Synapse54
405,"J8T (Gatineau, QC)",J8T,1590483327.77,1590483327.77,47793402.0,43358.360078022946,1753802109669,Synapse54,1753802109669,Synapse54
