OBJECTID,DESCRIPTION,ID,P5YTENRENT,P5YTENRENT_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
234,"H7N (Laval, QC)",H7N,13839,61.69,61.69,22733173.5,31142.9739798465,1753799933059,Synapse54,1753799933059,Synapse54
235,"H7P (Laval, QC)",H7P,4133,27.32,27.32,39418609.5,29119.748261948425,1753799933059,Synapse54,1753799933059,Synapse54
236,"H7R (Laval, QC)",H7R,2963,23.75,23.75,39328921.5,33526.83151448517,1753799933059,Synapse54,1753799933059,Synapse54
237,"H7S (Laval, QC)",H7S,1973,55.91,55.91,10962382.0,13461.308964386186,1753799933059,Synapse54,1753799933059,Synapse54
238,"H7T (Laval, QC)",H7T,5101,41.8,41.8,19220992.5,21847.72561749218,1753799933059,Synapse54,1753799933059,Synapse54
239,"H7V (Laval, QC)",H7V,7489,67.38,67.38,13084368.0,17090.83415240245,1753799933059,Synapse54,1753799933059,Synapse54
240,"H7W (Laval, QC)",H7W,7481,41.59,41.59,21296664.5,20542.33134907331,1753799933059,Synapse54,1753799933059,Synapse54
241,"H7X (Laval, QC)",H7X,2422,23.48,23.48,31137712.0,25106.867662548826,1753799933059,Synapse54,1753799933059,Synapse54
242,"H7Y (Laval, QC)",H7Y,354,9.73,9.73,14444971.0,18869.75173232823,1753799933059,Synapse54,1753799933059,Synapse54
243,"H8N (Lasalle, QC)",H8N,8147,55.32,55.32,14389471.0,18103.010513945057,1753799933059,Synapse54,1753799933059,Synapse54
244,"H8P (Lasalle, QC)",H8P,6830,63.17,63.17,21862717.5,20668.285538772176,1753799933059,Synapse54,1753799933059,Synapse54
245,"H8R (Lasalle, QC)",H8R,10039,69.67,69.67,18116586.5,27293.21202861797,1753799933059,Synapse54,1753799933059,Synapse54
246,"H8S (Lasalle, QC)",H8S,8485,65.09,65.09,19856874.0,24144.754425147134,1753799933059,Synapse54,1753799933059,Synapse54
247,"H8T (Pointe-Claire-Dorval, QC)",H8T,2876,43.78,43.78,21610415.0,20729.17122189251,1753799933059,Synapse54,1753799933059,Synapse54
248,"H8Y (Roxboro, QC)",H8Y,3246,42.74,42.74,14039619.0,22252.616674527148,1753799933059,Synapse54,1753799933059,Synapse54
249,"H8Z (Roxboro, QC)",H8Z,1511,25.37,25.37,11082242.5,14451.759662340886,1753799933059,Synapse54,1753799933059,Synapse54
250,"H9A (Pierrefonds, QC)",H9A,1661,26.66,26.66,9353959.0,13155.163982221264,1753799933059,Synapse54,1753799933059,Synapse54
251,"H9B (Roxboro, QC)",H9B,2408,30.93,30.93,14796114.0,18421.91025899604,1753799933059,Synapse54,1753799933059,Synapse54
252,"H9C (Pierrefonds, QC)",H9C,589,13.55,13.55,24503744.5,20531.792890304176,1753799933059,Synapse54,1753799933059,Synapse54
253,"H9E (Pierrefonds, QC)",H9E,217,16.32,16.32,42250333.0,27083.5790617143,1753799933059,Synapse54,1753799933059,Synapse54
254,"H9G (Pointe-Claire-Dorval, QC)",H9G,1599,26.94,26.94,8457140.5,12464.539249179079,1753799933059,Synapse54,1753799933059,Synapse54
255,"H9H (Pierrefonds, QC)",H9H,3158,32.4,32.4,19613903.5,23879.67204388559,1753799933059,Synapse54,1753799933059,Synapse54
256,"H9J (Pierrefonds, QC)",H9J,1419,18.21,18.21,17167469.0,23970.816444803262,1753799933059,Synapse54,1753799933059,Synapse54
257,"H9K (Pierrefonds, QC)",H9K,996,29.12,29.12,30500131.5,26824.382930325875,1753799933059,Synapse54,1753799933059,Synapse54
258,"H9P (Pointe-Claire-Dorval, QC)",H9P,360,22.4,22.4,19498535.0,39692.170261991225,1753799933059,Synapse54,1753799933059,Synapse54
259,"H9R (Pointe-Claire-Dorval, QC)",H9R,3473,31.13,31.13,29882299.5,25305.84671237734,1753799933059,Synapse54,1753799933059,Synapse54
260,"H9S (Pointe-Claire-Dorval, QC)",H9S,4676,41.55,41.55,78965867.0,44171.880466646624,1753799933059,Synapse54,1753799933059,Synapse54
261,"H9W (Beaconsfield, QC)",H9W,818,11.38,11.38,43852698.0,28888.96518701168,1753799933059,Synapse54,1753799933059,Synapse54
262,"H9X (Sainte-Anne-De-Bellevue, QC)",H9X,1155,28.88,28.88,73291956.5,35517.603411509444,1753799933059,Synapse54,1753799933059,Synapse54
263,"J0A (Warwick, QC)",J0A,2016,23.42,23.42,2834357143.0,359358.8229727042,1753799933059,Synapse54,1753799933059,Synapse54
264,"J0B (Richmond, QC)",J0B,6418,21.12,21.12,10667378133.5,1065896.4278918828,1753799933059,Synapse54,1753799933059,Synapse54
