OBJECTID,DESCRIPTION,ID,ECYMTN1524,ECYMTN1524_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
201,"H3Z (Montreal, QC)",H3Z,158,2.92,2.92,2971245.0,7979.12833061372,1753800849569,Synapse54,1753800849569,Synapse54
202,"H4A (Montreal, QC)",H4A,702,5.67,5.67,6339669.0,10830.775097279686,1753800849569,Synapse54,1753800849569,Synapse54
203,"H4B (Montreal, QC)",H4B,784,6.79,6.79,5495449.5,11430.593825626274,1753800849569,Synapse54,1753800849569,Synapse54
204,"H4C (Montreal, QC)",H4C,589,5.82,5.82,10079054.5,19231.90024241674,1753800849569,Synapse54,1753800849569,Synapse54
205,"H4E (Montreal, QC)",H4E,758,4.78,4.78,10446763.5,18116.080205740356,1753800849569,Synapse54,1753800849569,Synapse54
206,"H4G (Verdun, QC)",H4G,737,4.42,4.42,6200126.5,10435.627645908377,1753800849569,Synapse54,1753800849569,Synapse54
207,"H4H (Verdun, QC)",H4H,270,3.02,3.02,6500184.5,11023.978149390903,1753800849569,Synapse54,1753800849569,Synapse54
208,"H4J (Montreal, QC)",H4J,296,3.87,3.87,6400914.5,12111.703398579217,1753800849569,Synapse54,1753800849569,Synapse54
209,"H4K (Montreal, QC)",H4K,8,0.2,0.2,10268900.0,15365.586434704945,1753800849569,Synapse54,1753800849569,Synapse54
210,"H4L (Montreal, QC)",H4L,541,3.52,3.52,10499306.5,13425.367090877367,1753800849569,Synapse54,1753800849569,Synapse54
211,"H4M (Montreal, QC)",H4M,108,2.15,2.15,6193041.5,11376.386905744941,1753800849569,Synapse54,1753800849569,Synapse54
212,"H4N (Montreal, QC)",H4N,470,3.62,3.62,11515200.0,17692.530830513202,1753800849569,Synapse54,1753800849569,Synapse54
213,"H4P (Montreal, QC)",H4P,399,8.05,8.05,7616644.5,13917.162705093007,1753800849569,Synapse54,1753800849569,Synapse54
214,"H4R (Montreal, QC)",H4R,256,2.04,2.04,19778627.5,19925.041667183443,1753800849569,Synapse54,1753800849569,Synapse54
215,"H4S (Montreal, QC)",H4S,0,0.0,0.0,25736787.0,27350.179631335064,1753800849569,Synapse54,1753800849569,Synapse54
216,"H4T (Montreal, QC)",H4T,0,0.0,0.0,12913673.5,17286.679172996657,1753800849569,Synapse54,1753800849569,Synapse54
217,"H4V (Montreal, QC)",H4V,295,3.24,3.24,4860370.5,9490.823388671204,1753800849569,Synapse54,1753800849569,Synapse54
