OBJECTID,DESCRIPTION,ID,P5YTENHHD,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
176,"H2T (Montreal, QC)",H2T,9720,9720,2792933.0,7309.603445409373,1753799558460,Synapse54,1753799558460,Synapse54
177,"H2V (Montreal, QC)",H2V,13385,13385,9406781.5,15649.479624539856,1753799558460,Synapse54,1753799558460,Synapse54
178,"H2W (Montreal, QC)",H2W,6263,6263,2122029.5,6886.736160398394,1753799558460,Synapse54,1753799558460,Synapse54
179,"H2X (Montreal, QC)",H2X,15009,15009,3260860.5,9016.990098210114,1753799558460,Synapse54,1753799558460,Synapse54
180,"H2Y (Montreal, QC)",H2Y,2720,2720,1658875.0,7811.331119881591,1753799558460,Synapse54,1753799558460,Synapse54
181,"H2Z (Montreal, QC)",H2Z,2836,2836,598367.5,3228.1201023826216,1753799558460,Synapse54,1753799558460,Synapse54
182,"H3A (Montreal, QC)",H3A,3471,3471,1952640.0,8051.6260641867375,1753799558460,Synapse54,1753799558460,Synapse54
183,"H3B (Montreal, QC)",H3B,1631,1631,927950.0,5036.520981944944,1753799558460,Synapse54,1753799558460,Synapse54
184,"H3C (Montreal, QC)",H3C,14582,14582,17209727.0,33681.90517416176,1753799558460,Synapse54,1753799558460,Synapse54
185,"H3E (Montreal, QC)",H3E,11397,11397,9825716.5,14615.034290309737,1753799558460,Synapse54,1753799558460,Synapse54
186,"H3G (Montreal, QC)",H3G,8777,8777,2139910.0,8520.81981818768,1753799558460,Synapse54,1753799558460,Synapse54
187,"H3H (Montreal, QC)",H3H,13421,13421,5138945.5,17420.06994824536,1753799558460,Synapse54,1753799558460,Synapse54
188,"H3J (Montreal, QC)",H3J,6672,6672,2674031.0,6742.466153977455,1753799558460,Synapse54,1753799558460,Synapse54
189,"H3K (Montreal, QC)",H3K,8169,8169,6571158.0,11318.657050191392,1753799558460,Synapse54,1753799558460,Synapse54
190,"H3L (Montreal, QC)",H3L,10405,10405,8682987.0,13055.356607199148,1753799558460,Synapse54,1753799558460,Synapse54
191,"H3M (Montreal, QC)",H3M,6231,6231,5900605.5,11105.82837103115,1753799558460,Synapse54,1753799558460,Synapse54
