OBJECTID,DESCRIPTION,ID,ECYHRIMED,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,81471.43,81471.43,72760823790.5,3028971.212854449,1753801822858,Synapse54,1753801822858,Synapse54
2,"G0C (New Richmond, QC)",G0C,58087.26,58087.26,22075337398.492188,967680.4043130332,1753801822858,Synapse54,1753801822858,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,52597.15,52597.15,17330251329.5,625766.1683453334,1753801822858,Synapse54,1753801822858,Synapse54
4,"G0G (Fermont, QC)",G0G,85167.36,85167.36,488246740388.7383,13452850.295035336,1753801822858,Synapse54,1753801822858,Synapse54
5,"G0H (Pessamit, QC)",G0H,65537.71,65537.71,123893631441.5,3217405.6747955983,1753801822858,Synapse54,1753801822858,Synapse54
6,"G0J (Causapscal, QC)",G0J,53242.34,53242.34,30795263589.0,1187342.219615261,1753801822858,Synapse54,1753801822858,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,62993.78,62993.78,8964482448.5,530269.0600895187,1753801822858,Synapse54,1753801822858,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,60999.02,60999.02,23226305480.5,1017338.6635460304,1753801822858,Synapse54,1753801822858,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,64143.08,64143.08,6354665678.5,678703.1375911924,1753801822858,Synapse54,1753801822858,Synapse54
10,"G0N (Disraeli, QC)",G0N,61272.99,61272.99,3579667597.5,610336.508657239,1753801822858,Synapse54,1753801822858,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,61086.55,61086.55,1964344449.0,415202.1877963802,1753801822858,Synapse54,1753801822858,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,64052.69,64052.69,17275130739.5,769075.2097201231,1753801822858,Synapse54,1753801822858,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,72232.59,72232.59,7546000235.5,718279.0049398947,1753801822858,Synapse54,1753801822858,Synapse54
14,"G0T (Forestville, QC)",G0T,59583.94,59583.94,20313438075.0,1270528.890385615,1753801822858,Synapse54,1753801822858,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,76599.97,76599.97,24624561090.5,1237538.7672922572,1753801822858,Synapse54,1753801822858,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,69801.91,69801.91,380327320475.0,4323366.579971259,1753801822858,Synapse54,1753801822858,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,62729.33,62729.33,39978887685.5,2171889.905015521,1753801822858,Synapse54,1753801822858,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,60413.5,60413.5,3810924397.5,557635.8571484805,1753801822858,Synapse54,1753801822858,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,60578.95,60578.95,1313913827.0,254093.22841298912,1753801822858,Synapse54,1753801822858,Synapse54
20,"G1A (Quebec, QC)",G1A,0.0,0.0,82312.0,1266.954133788689,1753801822858,Synapse54,1753801822858,Synapse54
21,"G1B (Quebec, QC)",G1B,98354.67,98354.67,87273797.0,41431.67400838665,1753801822858,Synapse54,1753801822858,Synapse54
22,"G1C (Quebec, QC)",G1C,79840.89,79840.89,42832173.5,38990.399766328665,1753801822858,Synapse54,1753801822858,Synapse54
23,"G1E (Quebec, QC)",G1E,61858.72,61858.72,21963715.5,24460.60804483201,1753801822858,Synapse54,1753801822858,Synapse54
24,"G1G (Quebec, QC)",G1G,77509.7,77509.7,23261499.5,21244.010790424363,1753801822858,Synapse54,1753801822858,Synapse54
25,"G1H (Quebec, QC)",G1H,62958.48,62958.48,17070653.5,16728.070206687444,1753801822858,Synapse54,1753801822858,Synapse54
26,"G1J (Quebec, QC)",G1J,52097.66,52097.66,15486417.5,18318.282612942763,1753801822858,Synapse54,1753801822858,Synapse54
27,"G1K (Quebec, QC)",G1K,52553.37,52553.37,9532326.5,27604.32226056824,1753801822858,Synapse54,1753801822858,Synapse54
28,"G1L (Quebec, QC)",G1L,52624.9,52624.9,8545974.0,13500.51656374446,1753801822858,Synapse54,1753801822858,Synapse54
29,"G1M (Quebec, QC)",G1M,60503.45,60503.45,17720734.5,19033.029965482125,1753801822858,Synapse54,1753801822858,Synapse54
30,"G1N (Quebec, QC)",G1N,50923.72,50923.72,13120575.0,20830.816804197915,1753801822858,Synapse54,1753801822858,Synapse54
31,"G1P (Quebec, QC)",G1P,63536.75,63536.75,23560383.5,22665.24353657779,1753801822858,Synapse54,1753801822858,Synapse54
32,"G1R (Quebec, QC)",G1R,58409.37,58409.37,6291861.0,12661.880571938687,1753801822858,Synapse54,1753801822858,Synapse54
33,"G1S (Quebec, QC)",G1S,74975.88,74975.88,11216915.28125,15661.567182113036,1753801822858,Synapse54,1753801822858,Synapse54
34,"G1T (Quebec, QC)",G1T,117311.26,117311.26,7077771.5,17602.81541790566,1753801822858,Synapse54,1753801822858,Synapse54
35,"G1V (Quebec, QC)",G1V,55962.69,55962.69,15730102.0,17979.112647239195,1753801822858,Synapse54,1753801822858,Synapse54
36,"G1W (Quebec, QC)",G1W,81698.12,81698.12,17198639.5,21801.94208985731,1753801822858,Synapse54,1753801822858,Synapse54
37,"G1X (Quebec, QC)",G1X,71506.8,71506.8,27103326.0,27337.079999136095,1753801822858,Synapse54,1753801822858,Synapse54
38,"G1Y (Quebec, QC)",G1Y,107647.71,107647.71,14262450.5,17939.63034370007,1753801822858,Synapse54,1753801822858,Synapse54
39,"G2A (Quebec, QC)",G2A,81490.59,81490.59,47271562.5,46123.605864486206,1753801822858,Synapse54,1753801822858,Synapse54
40,"G2B (Quebec, QC)",G2B,76877.57,76877.57,24328924.5,22475.77399457994,1753801822858,Synapse54,1753801822858,Synapse54
41,"G2C (Quebec, QC)",G2C,80860.72,80860.72,18432837.5,23131.360190110616,1753801822858,Synapse54,1753801822858,Synapse54
42,"G2E (Quebec, QC)",G2E,84526.0,84526.0,27707972.5,23903.30796073271,1753801822858,Synapse54,1753801822858,Synapse54
43,"G2G (Quebec, QC)",G2G,88626.89,88626.89,101799470.5,45275.85044604026,1753801822858,Synapse54,1753801822858,Synapse54
44,"G2J (Quebec, QC)",G2J,65335.16,65335.16,5412144.5,9862.14108739791,1753801822858,Synapse54,1753801822858,Synapse54
45,"G2K (Quebec, QC)",G2K,83630.43,83630.43,30349819.5,31745.12588440936,1753801822858,Synapse54,1753801822858,Synapse54
46,"G2L (Quebec, QC)",G2L,78303.9,78303.9,25127554.5,22805.966601331882,1753801822858,Synapse54,1753801822858,Synapse54
47,"G2M (Quebec, QC)",G2M,98878.01,98878.01,44779584.0,34604.08492657024,1753801822858,Synapse54,1753801822858,Synapse54
48,"G2N (Quebec, QC)",G2N,93235.96,93235.96,31035228.5,31796.238354131285,1753801822858,Synapse54,1753801822858,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,108408.69,108408.69,188876871.0,74472.4753726992,1753801822858,Synapse54,1753801822858,Synapse54
50,"G3B (Lac-Beauport, QC)",G3B,132744.23,132744.23,139197319.5,64423.23371099803,1753801822858,Synapse54,1753801822858,Synapse54
51,"G3C (Stoneham-Et-Tewkesbury, QC)",G3C,106699.91,106699.91,1330849498.5,175874.56931808186,1753801822858,Synapse54,1753801822858,Synapse54
52,"G3E (Quebec, QC)",G3E,95811.3,95811.3,18489209.0,20620.301807363456,1753801822858,Synapse54,1753801822858,Synapse54
53,"G3G (Quebec, QC)",G3G,90499.81,90499.81,83002473.0,53192.861834286385,1753801822858,Synapse54,1753801822858,Synapse54
54,"G3H (Pont-Rouge, QC)",G3H,84808.95,84808.95,279179695.0,100842.62742278028,1753801822858,Synapse54,1753801822858,Synapse54
55,"G3J (Quebec, QC)",G3J,86300.14,86300.14,85589532.0,54640.87343863765,1753801822858,Synapse54,1753801822858,Synapse54
56,"G3K (Quebec, QC)",G3K,99420.94,99420.94,66926850.0,43417.9629367511,1753801822858,Synapse54,1753801822858,Synapse54
57,"G3L (Saint-Raymond, QC)",G3L,70628.6,70628.6,2499240685.5,293711.66523440205,1753801822858,Synapse54,1753801822858,Synapse54
58,"G3M (Donnacona, QC)",G3M,67615.22,67615.22,76895468.5,38932.06578942634,1753801822858,Synapse54,1753801822858,Synapse54
59,"G3N (Ste-Catherine-De-La-J-Cartier, QC)",G3N,102240.57,102240.57,179093818.5,91193.27748891739,1753801822858,Synapse54,1753801822858,Synapse54
60,"G3S (Quebec, QC)",G3S,118954.08,118954.08,162242772.5,88360.35793053103,1753801822858,Synapse54,1753801822858,Synapse54
61,"G3Z (Baie-Saint-Paul, QC)",G3Z,61548.39,61548.39,1221045873.0,165284.53951195258,1753801822858,Synapse54,1753801822858,Synapse54
62,"G4A (Clermont, QC)",G4A,64264.11,64264.11,1226794529.0,167560.43929327332,1753801822858,Synapse54,1753801822858,Synapse54
63,"G4R (Sept-Iles, QC)",G4R,70917.16,70917.16,1888740693.0195312,364416.3918226564,1753801822858,Synapse54,1753801822858,Synapse54
64,"G4S (Sept-Iles, QC)",G4S,86346.83,86346.83,13736729.5,31952.335224803264,1753801822858,Synapse54,1753801822858,Synapse54
65,"G4T (Les Iles-De-La-Madeleine, QC)",G4T,70612.47,70612.47,500054815.0,511013.5871236407,1753801822858,Synapse54,1753801822858,Synapse54
66,"G4V (Sainte-Anne-Des-Monts, QC)",G4V,52864.34,52864.34,780273522.0,168670.12216022852,1753801822858,Synapse54,1753801822858,Synapse54
67,"G4W (Matane, QC)",G4W,53106.53,53106.53,466220652.0,100520.51806568402,1753801822858,Synapse54,1753801822858,Synapse54
68,"G4X (Gaspe, QC)",G4X,68530.91,68530.91,2615126201.546875,406673.89112098655,1753801822858,Synapse54,1753801822858,Synapse54
69,"G4Z (Baie-Comeau, QC)",G4Z,76069.63,76069.63,1669244051.0,336717.80497552885,1753801822858,Synapse54,1753801822858,Synapse54
70,"G5A (La Malbaie, QC)",G5A,61964.24,61964.24,905867526.5,176911.55690727945,1753801822858,Synapse54,1753801822858,Synapse54
71,"G5B (Port-Cartier, QC)",G5B,78516.78,78516.78,742256392.5,203831.72178845698,1753801822858,Synapse54,1753801822858,Synapse54
72,"G5C (Baie-Comeau, QC)",G5C,69797.45,69797.45,78061848.0,48691.63220890317,1753801822858,Synapse54,1753801822858,Synapse54
73,"G5H (Mont-Joli, QC)",G5H,52381.32,52381.32,128376656.5,53923.191144203476,1753801822858,Synapse54,1753801822858,Synapse54
74,"G5J (Amqui, QC)",G5J,57286.02,57286.02,310530648.5,97437.56642828621,1753801822858,Synapse54,1753801822858,Synapse54
75,"G5L (Rimouski, QC)",G5L,54655.38,54655.38,115966883.0,88926.49071239203,1753801822858,Synapse54,1753801822858,Synapse54
76,"G5M (Rimouski, QC)",G5M,78913.66,78913.66,66332097.0,52169.63739391678,1753801822858,Synapse54,1753801822858,Synapse54
77,"G5N (Rimouski, QC)",G5N,82232.88,82232.88,414167429.0,104413.83144964176,1753801822858,Synapse54,1753801822858,Synapse54
78,"G5R (Riviere-Du-Loup, QC)",G5R,61705.05,61705.05,182737573.0,77061.18159356514,1753801822858,Synapse54,1753801822858,Synapse54
79,"G5T (Degelis, QC)",G5T,54683.99,54683.99,1107888892.0,146757.59518407704,1753801822858,Synapse54,1753801822858,Synapse54
80,"G5V (Montmagny, QC)",G5V,54989.32,54989.32,282245095.0,82682.88684580137,1753801822858,Synapse54,1753801822858,Synapse54
81,"G5X (Beauceville, QC)",G5X,63654.99,63654.99,336857190.0,91090.00846556539,1753801822858,Synapse54,1753801822858,Synapse54
82,"G5Y (Saint-Georges, QC)",G5Y,56069.05,56069.05,169548327.0,148240.89990521545,1753801822858,Synapse54,1753801822858,Synapse54
83,"G5Z (Saint-Georges, QC)",G5Z,75347.0,75347.0,219710089.0,133870.3845435117,1753801822858,Synapse54,1753801822858,Synapse54
84,"G6A (Saint-Georges, QC)",G6A,84517.36,84517.36,12731588.0,28099.846637013223,1753801822858,Synapse54,1753801822858,Synapse54
85,"G6B (Lac-Megantic, QC)",G6B,56159.27,56159.27,525968305.0,147830.6226949515,1753801822858,Synapse54,1753801822858,Synapse54
86,"G6C (Pintendre, QC)",G6C,86167.3,86167.3,171728656.5,62758.50767570228,1753801822858,Synapse54,1753801822858,Synapse54
87,"G6E (Sainte-Marie, QC)",G6E,74979.92,74979.92,242749292.5,88129.38426536831,1753801822858,Synapse54,1753801822858,Synapse54
88,"G6G (Thetford Mines, QC)",G6G,54805.0,54805.0,432553661.5,137866.85051543516,1753801822858,Synapse54,1753801822858,Synapse54
89,"G6H (Thetford Mines, QC)",G6H,58597.41,58597.41,381525955.5,208711.52055490302,1753801822858,Synapse54,1753801822858,Synapse54
90,"G6J (Saint-Etienne-De-Lauzon, QC)",G6J,91508.8,91508.8,170941088.5,68005.84099520143,1753801822858,Synapse54,1753801822858,Synapse54
91,"G6K (Saint-Redempteur, QC)",G6K,102624.17,102624.17,8847420.0,13869.752401834681,1753801822858,Synapse54,1753801822858,Synapse54
92,"G6L (Plessisville, QC)",G6L,57136.63,57136.63,727703425.5,150480.86599396955,1753801822858,Synapse54,1753801822858,Synapse54
93,"G6P (Victoriaville, QC)",G6P,51922.19,51922.19,43162857.0,67077.33804588739,1753801822858,Synapse54,1753801822858,Synapse54
94,"G6R (Victoriaville, QC)",G6R,78215.44,78215.44,111890007.5,67049.5189257073,1753801822858,Synapse54,1753801822858,Synapse54
95,"G6S (Victoriaville, QC)",G6S,73174.49,73174.49,93883157.5,65606.32420350032,1753801822858,Synapse54,1753801822858,Synapse54
96,"G6T (Victoriaville, QC)",G6T,82885.31,82885.31,97646146.0,79862.46403678902,1753801822858,Synapse54,1753801822858,Synapse54
97,"G6V (Levis, QC)",G6V,63140.47,63140.47,51005706.5,85820.66591178898,1753801822858,Synapse54,1753801822858,Synapse54
98,"G6W (Levis, QC)",G6W,75365.16,75365.16,54365583.5,57031.8227070878,1753801822858,Synapse54,1753801822858,Synapse54
99,"G6X (Levis, QC)",G6X,71105.56,71105.56,17532207.0,18566.178953389182,1753801822858,Synapse54,1753801822858,Synapse54
100,"G6Y (Levis, QC)",G6Y,88685.18,88685.18,48673784.5,36076.08982567784,1753801822858,Synapse54,1753801822858,Synapse54
101,"G6Z (Saint-Jean-Chrysostome, QC)",G6Z,104284.23,104284.23,206313300.5,81637.94553350794,1753801822858,Synapse54,1753801822858,Synapse54
102,"G7A (Saint-Nicolas, QC)",G7A,103481.02,103481.02,206385794.0,76585.07395132218,1753801822858,Synapse54,1753801822858,Synapse54
103,"G7B (La Baie, QC)",G7B,74848.86,74848.86,731098795.5,122236.04683671948,1753801822858,Synapse54,1753801822858,Synapse54
104,"G7G (Chicoutimi, QC)",G7G,77613.33,77613.33,83451590.0,72026.82978856695,1753801822858,Synapse54,1753801822858,Synapse54
105,"G7H (Chicoutimi, QC)",G7H,64429.94,64429.94,335780132.5,155297.87503251838,1753801822858,Synapse54,1753801822858,Synapse54
106,"G7J (Chicoutimi, QC)",G7J,65153.73,65153.73,48516569.0,31553.718168111947,1753801822858,Synapse54,1753801822858,Synapse54
107,"G7K (Chicoutimi, QC)",G7K,79629.38,79629.38,13787400.5,25129.491914885974,1753801822858,Synapse54,1753801822858,Synapse54
108,"G7N (Laterriere, QC)",G7N,95051.73,95051.73,572266521.5,131134.86527943268,1753801822858,Synapse54,1753801822858,Synapse54
109,"G7P (Chicoutimi, QC)",G7P,78384.99,78384.99,535052258.5,133662.40227307807,1753801822858,Synapse54,1753801822858,Synapse54
110,"G7S (Jonquiere, QC)",G7S,86341.25,86341.25,90965725.5,53543.07738017431,1753801822858,Synapse54,1753801822858,Synapse54
111,"G7T (Jonquiere, QC)",G7T,94428.07,94428.07,11024436.0,23113.794147733155,1753801822858,Synapse54,1753801822858,Synapse54
112,"G7X (Jonquiere, QC)",G7X,58617.7,58617.7,675028246.5,279259.2165036962,1753801822858,Synapse54,1753801822858,Synapse54
113,"G7Y (Jonquiere, QC)",G7Y,89304.94,89304.94,28364189.0,37375.76013155794,1753801822858,Synapse54,1753801822858,Synapse54
114,"G7Z (Jonquiere, QC)",G7Z,87410.23,87410.23,16183341.0,21290.870310459137,1753801822858,Synapse54,1753801822858,Synapse54
115,"G8A (Jonquiere, QC)",G8A,69693.34,69693.34,52092756.5,55678.19403946566,1753801822858,Synapse54,1753801822858,Synapse54
116,"G8B (Alma, QC)",G8B,59322.29,59322.29,297457310.0,211237.01895446505,1753801822858,Synapse54,1753801822858,Synapse54
117,"G8C (Alma, QC)",G8C,84446.33,84446.33,47590945.0,51183.77436174367,1753801822858,Synapse54,1753801822858,Synapse54
118,"G8E (Alma, QC)",G8E,75223.84,75223.84,198550679.5,111351.61663855895,1753801822858,Synapse54,1753801822858,Synapse54
