OBJECTID,DESCRIPTION,ID,ECYHNIMED,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
281,"J0Y (Malartic, QC)",J0Y,86294.73,86294.73,223534310999.0,3278730.6722274064,1753801558362,Synapse54,1753801558362,Synapse54
282,"J0Z (Lorrainville, QC)",J0Z,80131.86,80131.86,59867601510.0,2216439.0400546975,1753801558362,Synapse54,1753801558362,Synapse54
283,"J1A (Coaticook, QC)",J1A,66916.95,66916.95,568143726.5,138682.11350637994,1753801558362,Synapse54,1753801558362,Synapse54
284,"J1C (Sherbrooke, QC)",J1C,85187.77,85187.77,148314795.5,58854.95341782354,1753801558362,Synapse54,1753801558362,Synapse54
285,"J1E (Sherbrooke, QC)",J1E,61740.87,61740.87,36392307.5,31305.785200373433,1753801558362,Synapse54,1753801558362,Synapse54
286,"J1G (Sherbrooke, QC)",J1G,72010.83,72010.83,23722537.5,26568.26494121696,1753801558362,Synapse54,1753801558362,Synapse54
287,"J1H (Sherbrooke, QC)",J1H,53651.91,53651.91,90156997.5,95524.0591322304,1753801558362,Synapse54,1753801558362,Synapse54
288,"J1J (Sherbrooke, QC)",J1J,78035.69,78035.69,14850239.5,21529.415696903085,1753801558362,Synapse54,1753801558362,Synapse54
289,"J1K (Sherbrooke, QC)",J1K,67281.47,67281.47,14646372.0,20632.820225363073,1753801558362,Synapse54,1753801558362,Synapse54
290,"J1L (Sherbrooke, QC)",J1L,70546.63,70546.63,27073074.0,24825.97616578884,1753801558362,Synapse54,1753801558362,Synapse54
291,"J1M (Sherbrooke, QC)",J1M,74701.47,74701.47,66319442.5,51850.27975629163,1753801558362,Synapse54,1753801558362,Synapse54
292,"J1N (Sherbrooke, QC)",J1N,98005.28,98005.28,196798113.5,75865.43435097949,1753801558362,Synapse54,1753801558362,Synapse54
293,"J1R (Sherbrooke, QC)",J1R,109418.94,109418.94,129969730.0,55500.89678544112,1753801558362,Synapse54,1753801558362,Synapse54
294,"J1S (Windsor, QC)",J1S,77806.14,77806.14,306725365.5,94080.75320925176,1753801558362,Synapse54,1753801558362,Synapse54
295,"J1T (Val-Des-Sources, QC)",J1T,56347.46,56347.46,94108625.0,49846.76465177346,1753801558362,Synapse54,1753801558362,Synapse54
296,"J1X (Magog, QC)",J1X,79608.82,79608.82,728921445.0,201253.21200864858,1753801558362,Synapse54,1753801558362,Synapse54
297,"J1Z (Saint-Cyrille-De-Wendover, QC)",J1Z,91726.11,91726.11,352999380.0,123836.95765720992,1753801558362,Synapse54,1753801558362,Synapse54
298,"J2A (Drummondville, QC)",J2A,88775.35,88775.35,210419353.0,83920.96306970775,1753801558362,Synapse54,1753801558362,Synapse54
299,"J2B (Drummondville, QC)",J2B,67975.55,67975.55,262759591.40234375,162201.91283563137,1753801558362,Synapse54,1753801558362,Synapse54
300,"J2C (Drummondville, QC)",J2C,67126.08,67126.08,46328225.59765625,41604.1853996451,1753801558362,Synapse54,1753801558362,Synapse54
301,"J2E (Drummondville, QC)",J2E,75508.98,75508.98,18350789.5,28926.839340474853,1753801558362,Synapse54,1753801558362,Synapse54
302,"J2G (Granby, QC)",J2G,60485.81,60485.81,27125065.5,40964.248286282396,1753801558362,Synapse54,1753801558362,Synapse54
303,"J2H (Granby, QC)",J2H,100334.78,100334.78,136788271.0,82651.78876586944,1753801558362,Synapse54,1753801558362,Synapse54
304,"J2J (Granby, QC)",J2J,74602.86,74602.86,158975426.5,75483.31166212616,1753801558362,Synapse54,1753801558362,Synapse54
305,"J2K (Cowansville, QC)",J2K,66026.84,66026.84,327067186.0,107161.13325887192,1753801558362,Synapse54,1753801558362,Synapse54
306,"J2L (Bromont, QC)",J2L,115883.59,115883.59,230068726.0,81624.30958657779,1753801558362,Synapse54,1753801558362,Synapse54
307,"J2M (Shefford, QC)",J2M,104422.55,104422.55,242332781.2734375,116121.4987637872,1753801558362,Synapse54,1753801558362,Synapse54
308,"J2N (Farnham, QC)",J2N,74920.55,74920.55,187541869.5,67299.99265741695,1753801558362,Synapse54,1753801558362,Synapse54
309,"J2R (Saint-Hyacinthe, QC)",J2R,86862.5,86862.5,202913088.0,104737.13437793839,1753801558362,Synapse54,1753801558362,Synapse54
310,"J2S (Saint-Hyacinthe, QC)",J2S,58774.74,58774.74,64473264.0,73386.10579135851,1753801558362,Synapse54,1753801558362,Synapse54
311,"J2T (Saint-Hyacinthe, QC)",J2T,77168.99,77168.99,91771688.0,53456.23963708392,1753801558362,Synapse54,1753801558362,Synapse54
312,"J2W (Saint-Jean-Sur-Richelieu, QC)",J2W,115050.19,115050.19,103463004.5,59571.138073747235,1753801558362,Synapse54,1753801558362,Synapse54
313,"J2X (Saint-Jean-Sur-Richelieu, QC)",J2X,91687.55,91687.55,145676986.0,80102.73759580929,1753801558362,Synapse54,1753801558362,Synapse54
314,"J2Y (Saint-Jean-Sur-Richelieu, QC)",J2Y,113608.51,113608.51,146400386.17578125,73826.30271667863,1753801558362,Synapse54,1753801558362,Synapse54
315,"J3A (Saint-Jean-Sur-Richelieu, QC)",J3A,52584.2,52584.2,6186209.0,11188.578319190965,1753801558362,Synapse54,1753801558362,Synapse54
316,"J3B (Saint-Jean-Sur-Richelieu, QC)",J3B,75382.76,75382.76,95704303.5,54381.46319865555,1753801558362,Synapse54,1753801558362,Synapse54
317,"J3E (Sainte-Julie, QC)",J3E,121864.16,121864.16,105827610.5,60902.63170645707,1753801558362,Synapse54,1753801558362,Synapse54
318,"J3G (Beloeil, QC)",J3G,100720.81,100720.81,171490984.5,98109.63892656052,1753801558362,Synapse54,1753801558362,Synapse54
319,"J3H (Beloeil, QC)",J3H,118420.86,118420.86,80996367.5,55540.40786090735,1753801558362,Synapse54,1753801558362,Synapse54
320,"J3L (Chambly, QC)",J3L,116210.06,116210.06,364093398.0,124754.83820581688,1753801558362,Synapse54,1753801558362,Synapse54
321,"J3M (Marieville, QC)",J3M,85445.03,85445.03,126097256.5,55752.50302456562,1753801558362,Synapse54,1753801558362,Synapse54
322,"J3N (St-Basile-Le-Grand, QC)",J3N,126448.47,126448.47,74736126.0,37659.20099111866,1753801558362,Synapse54,1753801558362,Synapse54
323,"J3P (Sorel-Tracy, QC)",J3P,68057.2,68057.2,211886795.0,80652.39762505802,1753801558362,Synapse54,1753801558362,Synapse54
324,"J3R (Sorel-Tracy, QC)",J3R,69227.9,69227.9,57862738.0,40488.46821105956,1753801558362,Synapse54,1753801558362,Synapse54
325,"J3T (Nicolet, QC)",J3T,73033.07,73033.07,271606732.5,71484.12258274788,1753801558362,Synapse54,1753801558362,Synapse54
326,"J3V (Saint-Bruno, QC)",J3V,135990.99,135990.99,90158805.5,51396.92313356961,1753801558362,Synapse54,1753801558362,Synapse54
327,"J3X (Varennes, QC)",J3X,116914.35,116914.35,232058892.5,71561.3428539275,1753801558362,Synapse54,1753801558362,Synapse54
328,"J3Y (Saint-Hubert, QC)",J3Y,100928.67,100928.67,101336037.0,100201.13539228243,1753801558362,Synapse54,1753801558362,Synapse54
329,"J3Z (Saint-Hubert, QC)",J3Z,133723.8,133723.8,22454206.0,63608.93575532092,1753801558362,Synapse54,1753801558362,Synapse54
330,"J4B (Boucherville, QC)",J4B,128424.03,128424.03,170076124.5,59886.44585342009,1753801558362,Synapse54,1753801558362,Synapse54
331,"J4G (Longueuil, QC)",J4G,87559.21,87559.21,25356829.5,23719.52752698455,1753801558362,Synapse54,1753801558362,Synapse54
332,"J4H (Longueuil, QC)",J4H,69848.55,69848.55,11650935.0,15524.513087115087,1753801558362,Synapse54,1753801558362,Synapse54
333,"J4J (Longueuil, QC)",J4J,66578.72,66578.72,15351226.5,21930.353895068798,1753801558362,Synapse54,1753801558362,Synapse54
334,"J4K (Longueuil, QC)",J4K,69396.91,69396.91,12801059.0,20426.997549827258,1753801558362,Synapse54,1753801558362,Synapse54
335,"J4L (Longueuil, QC)",J4L,73633.25,73633.25,14765810.5,16776.5326873664,1753801558362,Synapse54,1753801558362,Synapse54
336,"J4M (Longueuil, QC)",J4M,118307.4,118307.4,10545973.0,20915.15150342213,1753801558362,Synapse54,1753801558362,Synapse54
337,"J4N (Longueuil, QC)",J4N,97424.47,97424.47,9982414.5,18319.159231838094,1753801558362,Synapse54,1753801558362,Synapse54
338,"J4P (Longueuil, QC)",J4P,91809.59,91809.59,6998059.0,12458.778436344583,1753801558362,Synapse54,1753801558362,Synapse54
339,"J4R (Longueuil, QC)",J4R,86794.93,86794.93,5607448.0,11472.375668491168,1753801558362,Synapse54,1753801558362,Synapse54
340,"J4S (Longueuil, QC)",J4S,98367.08,98367.08,4293595.5,10044.635885759557,1753801558362,Synapse54,1753801558362,Synapse54
341,"J4T (Saint-Hubert, QC)",J4T,75064.19,75064.19,8655769.0,12531.329908587128,1753801558362,Synapse54,1753801558362,Synapse54
342,"J4V (Longueuil, QC)",J4V,83772.25,83772.25,9874770.0,19495.60469716676,1753801558362,Synapse54,1753801558362,Synapse54
343,"J4W (Longueuil, QC)",J4W,87945.26,87945.26,11512935.0,16336.628676963564,1753801558362,Synapse54,1753801558362,Synapse54
344,"J4X (Longueuil, QC)",J4X,106333.47,106333.47,13216489.5,15198.092586417742,1753801558362,Synapse54,1753801558362,Synapse54
345,"J4Y (Longueuil, QC)",J4Y,106522.04,106522.04,21259495.5,19670.691530096043,1753801558362,Synapse54,1753801558362,Synapse54
