OBJECTID,DESCRIPTION,ID,P5YHNIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
350,"J5J (Sainte-Sophie, QC)",J5J,1078961955.35,1078961955.35,230905181.0,66651.47964912902,1753801689447,Synapse54,1753801689447,Synapse54
351,"J5K (Saint-Colomban, QC)",J5K,1156401680.61,1156401680.61,193780426.5,69823.6154247918,1753801689447,Synapse54,1753801689447,Synapse54
352,"J5L (Saint-Jerome, QC)",J5L,1455110895.43,1455110895.43,95796285.0,58040.91698594175,1753801689447,Synapse54,1753801689447,Synapse54
353,"J5M (Saint-Lin-Laurentides, QC)",J5M,1413470423.0,1413470423.0,245439917.0,79215.19535436288,1753801689447,Synapse54,1753801689447,Synapse54
354,"J5N (Saint-Lin-Laurentides, QC)",J5N,821536420.85,821536420.85,190530835.0,58815.89393433861,1753801689447,Synapse54,1753801689447,Synapse54
355,"J5R (La Prairie, QC)",J5R,4102762042.11,4102762042.11,116490762.5,83791.09209902641,1753801689447,Synapse54,1753801689447,Synapse54
356,"J5T (Lavaltrie, QC)",J5T,862476374.95,862476374.95,154486438.5,59411.55582605956,1753801689447,Synapse54,1753801689447,Synapse54
357,"J5V (Louiseville, QC)",J5V,310546225.66,310546225.66,506748881.0,179854.3461791025,1753801689447,Synapse54,1753801689447,Synapse54
358,"J5W (L'assomption, QC)",J5W,1604023784.75,1604023784.75,332828346.5,103350.78663938354,1753801689447,Synapse54,1753801689447,Synapse54
359,"J5X (L'epiphanie, QC)",J5X,465218563.92,465218563.92,93137482.5,61537.5779427655,1753801689447,Synapse54,1753801689447,Synapse54
360,"J5Y (Repentigny, QC)",J5Y,1895696345.38,1895696345.38,22356230.5,21230.469901767003,1753801689447,Synapse54,1753801689447,Synapse54
361,"J5Z (Repentigny, QC)",J5Z,1659282802.53,1659282802.53,78014581.0,40720.846170485005,1753801689447,Synapse54,1753801689447,Synapse54
362,"J6A (Repentigny, QC)",J6A,2054583892.49,2054583892.49,48655375.5,39943.850012514275,1753801689447,Synapse54,1753801689447,Synapse54
363,"J6E (Joliette, QC)",J6E,2432661512.1,2432661512.1,137214208.0,95275.2587794035,1753801689447,Synapse54,1753801689447,Synapse54
364,"J6J (Chateauguay, QC)",J6J,1391896237.83,1391896237.83,74217052.0,72123.22068999698,1753801689447,Synapse54,1753801689447,Synapse54
365,"J6K (Chateauguay, QC)",J6K,1381144435.04,1381144435.04,20188406.0,28536.15419577854,1753801689447,Synapse54,1753801689447,Synapse54
366,"J6N (Beauharnois, QC)",J6N,953187502.2,953187502.2,233462281.0,99024.33793574793,1753801689447,Synapse54,1753801689447,Synapse54
367,"J6R (Mercier, QC)",J6R,948112424.3,948112424.3,115347180.0,49311.90260299979,1753801689447,Synapse54,1753801689447,Synapse54
368,"J6S (Salaberry-De-Valleyfield, QC)",J6S,1400715730.94,1400715730.94,210261044.5,73467.37727321035,1753801689447,Synapse54,1753801689447,Synapse54
369,"J6T (Salaberry-De-Valleyfield, QC)",J6T,929685219.77,929685219.77,46981135.0,36756.956833154014,1753801689447,Synapse54,1753801689447,Synapse54
