OBJECTID,DESCRIPTION,ID,P5YHRIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
390,"J7W (Vaudreuil-Dorion, QC)",J7W,710753261.84,710753261.84,24383265.0,23490.450057951097,1753802168379,Synapse54,1753802168379,Synapse54
391,"J7X (Salaberry-De-Valleyfield, QC)",J7X,270285682.25,270285682.25,64920487.0,46286.99583260664,1753802168379,Synapse54,1753802168379,Synapse54
392,"J7Y (Saint-Jerome, QC)",J7Y,1176170357.55,1176170357.55,50087471.02734375,55705.64280837206,1753802168379,Synapse54,1753802168379,Synapse54
393,"J7Z (Saint-Jerome, QC)",J7Z,1260820361.98,1260820361.98,36942944.47265625,33700.08035698858,1753802168379,Synapse54,1753802168379,Synapse54
394,"J8A (Saint-Hippolyte, QC)",J8A,584862878.15,584862878.15,272351866.0,88660.25650248205,1753802168379,Synapse54,1753802168379,Synapse54
395,"J8B (Sainte-Adele, QC)",J8B,805661768.69,805661768.69,257661278.5,87331.95722532229,1753802168379,Synapse54,1753802168379,Synapse54
396,"J8C (Sainte-Agathe-Des-Monts, QC)",J8C,532847664.24,532847664.24,363538345.5,105828.83702167151,1753802168379,Synapse54,1753802168379,Synapse54
397,"J8E (Mont-Tremblant, QC)",J8E,645174755.97,645174755.97,598027685.5,128502.35538817226,1753802168379,Synapse54,1753802168379,Synapse54
398,"J8G (Brownsburg-Chatham, QC)",J8G,347290175.25,347290175.25,1206240278.5,237511.8555793957,1753802168379,Synapse54,1753802168379,Synapse54
399,"J8H (Lachute, QC)",J8H,631121482.1,631121482.1,482502118.5,169179.8899596451,1753802168379,Synapse54,1753802168379,Synapse54
400,"J8L (Gatineau, QC)",J8L,1009728884.5,1009728884.5,1293058071.0,172060.6388984216,1753802168379,Synapse54,1753802168379,Synapse54
401,"J8M (Gatineau, QC)",J8M,652907928.62,652907928.62,154732777.5,65024.547084615566,1753802168379,Synapse54,1753802168379,Synapse54
