OBJECTID,DESCRIPTION,ID,ECYMTN2534,ECYMTN2534_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,4927,12.7,12.7,72760823790.5,3028971.212854449,1753801024961,Synapse54,1753801024961,Synapse54
2,"G0C (New Richmond, QC)",G0C,2002,8.73,8.73,22075337398.492188,967680.4043130332,1753801024961,Synapse54,1753801024961,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,115,4.73,4.73,17330251329.5,625766.1683453334,1753801024961,Synapse54,1753801024961,Synapse54
4,"G0G (Fermont, QC)",G0G,929,13.25,13.25,488246740388.7383,13452850.295035336,1753801024961,Synapse54,1753801024961,Synapse54
5,"G0H (Pessamit, QC)",G0H,439,9.09,9.09,123893631441.5,3217405.6747955983,1753801024961,Synapse54,1753801024961,Synapse54
6,"G0J (Causapscal, QC)",G0J,1170,8.4,8.4,30795263589.0,1187342.219615261,1753801024961,Synapse54,1753801024961,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,564,9.71,9.71,8964482448.5,530269.0600895187,1753801024961,Synapse54,1753801024961,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,2880,10.31,10.31,23226305480.5,1017338.6635460304,1753801024961,Synapse54,1753801024961,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,1978,12.71,12.71,6354665678.5,678703.1375911924,1753801024961,Synapse54,1753801024961,Synapse54
10,"G0N (Disraeli, QC)",G0N,990,10.49,10.49,3579667597.5,610336.508657239,1753801024961,Synapse54,1753801024961,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,295,9.67,9.67,1964344449.0,415202.1877963802,1753801024961,Synapse54,1753801024961,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,4077,10.46,10.46,17275130739.5,769075.2097201231,1753801024961,Synapse54,1753801024961,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,4734,14.86,14.86,7546000235.5,718279.0049398947,1753801024961,Synapse54,1753801024961,Synapse54
