OBJECTID,DESCRIPTION,ID,P5YHNIAVG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
336,"J4M (Longueuil, QC)",J4M,164292.39,164292.39,10545973.0,20915.15150342213,1753801509264,Synapse54,1753801509264,Synapse54
337,"J4N (Longueuil, QC)",J4N,173724.79,173724.79,9982414.5,18319.159231838094,1753801509264,Synapse54,1753801509264,Synapse54
338,"J4P (Longueuil, QC)",J4P,188438.29,188438.29,6998059.0,12458.778436344583,1753801509264,Synapse54,1753801509264,Synapse54
339,"J4R (Longueuil, QC)",J4R,180481.02,180481.02,5607448.0,11472.375668491168,1753801509264,Synapse54,1753801509264,Synapse54
340,"J4S (Longueuil, QC)",J4S,193062.21,193062.21,4293595.5,10044.635885759557,1753801509264,Synapse54,1753801509264,Synapse54
341,"J4T (Saint-Hubert, QC)",J4T,104554.65,104554.65,8655769.0,12531.329908587128,1753801509264,Synapse54,1753801509264,Synapse54
342,"J4V (Longueuil, QC)",J4V,123581.1,123581.1,9874770.0,19495.60469716676,1753801509264,Synapse54,1753801509264,Synapse54
343,"J4W (Longueuil, QC)",J4W,130186.49,130186.49,11512935.0,16336.628676963564,1753801509264,Synapse54,1753801509264,Synapse54
344,"J4X (Longueuil, QC)",J4X,165230.66,165230.66,13216489.5,15198.092586417742,1753801509264,Synapse54,1753801509264,Synapse54
345,"J4Y (Longueuil, QC)",J4Y,167270.67,167270.67,21259495.5,19670.691530096043,1753801509264,Synapse54,1753801509264,Synapse54
346,"J4Z (Longueuil, QC)",J4Z,131872.27,131872.27,42442433.5,36399.19983850107,1753801509264,Synapse54,1753801509264,Synapse54
347,"J5A (Saint-Constant, QC)",J5A,148010.07,148010.07,123489244.5,53706.37543156535,1753801509264,Synapse54,1753801509264,Synapse54
348,"J5B (Delson, QC)",J5B,134576.89,134576.89,13765665.5,25868.554957637258,1753801509264,Synapse54,1753801509264,Synapse54
349,"J5C (Sainte-Catherine, QC)",J5C,135143.33,135143.33,20056189.5,22328.89425891819,1753801509264,Synapse54,1753801509264,Synapse54
350,"J5J (Sainte-Sophie, QC)",J5J,123809.67,123809.67,230905181.0,66651.47964912902,1753801509264,Synapse54,1753801509264,Synapse54
351,"J5K (Saint-Colomban, QC)",J5K,148270.13,148270.13,193780426.5,69823.6154247918,1753801509264,Synapse54,1753801509264,Synapse54
352,"J5L (Saint-Jerome, QC)",J5L,136331.76,136331.76,95796285.0,58040.91698594175,1753801509264,Synapse54,1753801509264,Synapse54
353,"J5M (Saint-Lin-Laurentides, QC)",J5M,123058.19,123058.19,245439917.0,79215.19535436288,1753801509264,Synapse54,1753801509264,Synapse54
354,"J5N (Saint-Lin-Laurentides, QC)",J5N,121093.45,121093.45,190530835.0,58815.89393433861,1753801509264,Synapse54,1753801509264,Synapse54
355,"J5R (La Prairie, QC)",J5R,181683.54,181683.54,116490762.5,83791.09209902641,1753801509264,Synapse54,1753801509264,Synapse54
356,"J5T (Lavaltrie, QC)",J5T,129151.41,129151.41,154486438.5,59411.55582605956,1753801509264,Synapse54,1753801509264,Synapse54
357,"J5V (Louiseville, QC)",J5V,82613.13,82613.13,506748881.0,179854.3461791025,1753801509264,Synapse54,1753801509264,Synapse54
358,"J5W (L'assomption, QC)",J5W,138340.31,138340.31,332828346.5,103350.78663938354,1753801509264,Synapse54,1753801509264,Synapse54
359,"J5X (L'epiphanie, QC)",J5X,123045.65,123045.65,93137482.5,61537.5779427655,1753801509264,Synapse54,1753801509264,Synapse54
360,"J5Y (Repentigny, QC)",J5Y,161737.76,161737.76,22356230.5,21230.469901767003,1753801509264,Synapse54,1753801509264,Synapse54
361,"J5Z (Repentigny, QC)",J5Z,134051.22,134051.22,78014581.0,40720.846170485005,1753801509264,Synapse54,1753801509264,Synapse54
362,"J6A (Repentigny, QC)",J6A,134373.63,134373.63,48655375.5,39943.850012514275,1753801509264,Synapse54,1753801509264,Synapse54
