OBJECTID,DESCRIPTION,ID,P5YHNIMED,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
163,"H2B (Montreal, QC)",H2B,80051.74,80051.74,5947505.5,9676.70118562271,1753801593706,Synapse54,1753801593706,Synapse54
164,"H2C (Montreal, QC)",H2C,89885.34,89885.34,5556278.0,9971.926462140602,1753801593706,Synapse54,1753801593706,Synapse54
165,"H2E (Montreal, QC)",H2E,74937.28,74937.28,3830518.5,8073.841629300861,1753801593706,Synapse54,1753801593706,Synapse54
166,"H2G (Montreal, QC)",H2G,85665.29,85665.29,4217958.5,9248.80721597901,1753801593706,Synapse54,1753801593706,Synapse54
167,"H2H (Montreal, QC)",H2H,93686.92,93686.92,2682198.0,6982.709947140798,1753801593706,Synapse54,1753801593706,Synapse54
168,"H2J (Montreal, QC)",H2J,99463.51,99463.51,3975815.0,8085.511309426667,1753801593706,Synapse54,1753801593706,Synapse54
169,"H2K (Montreal, QC)",H2K,77325.47,77325.47,5762510.0,9775.787359183401,1753801593706,Synapse54,1753801593706,Synapse54
170,"H2L (Montreal, QC)",H2L,79160.07,79160.07,5652250.0,10530.305700195246,1753801593706,Synapse54,1753801593706,Synapse54
171,"H2M (Montreal, QC)",H2M,93895.41,93895.41,6840427.0,11504.156734199103,1753801593706,Synapse54,1753801593706,Synapse54
172,"H2N (Montreal, QC)",H2N,80466.72,80466.72,2336770.0,6414.770804238481,1753801593706,Synapse54,1753801593706,Synapse54
173,"H2P (Montreal, QC)",H2P,96496.16,96496.16,3440041.0,8481.97690702558,1753801593706,Synapse54,1753801593706,Synapse54
174,"H2R (Montreal, QC)",H2R,94510.45,94510.45,4573627.0,8588.564684485442,1753801593706,Synapse54,1753801593706,Synapse54
175,"H2S (Montreal, QC)",H2S,92571.75,92571.75,5062352.5,9483.95666520098,1753801593706,Synapse54,1753801593706,Synapse54
176,"H2T (Montreal, QC)",H2T,93022.15,93022.15,2792933.0,7309.603445409373,1753801593706,Synapse54,1753801593706,Synapse54
177,"H2V (Montreal, QC)",H2V,125546.94,125546.94,9406781.5,15649.479624539856,1753801593706,Synapse54,1753801593706,Synapse54
178,"H2W (Montreal, QC)",H2W,81533.58,81533.58,2122029.5,6886.736160398394,1753801593706,Synapse54,1753801593706,Synapse54
179,"H2X (Montreal, QC)",H2X,56173.79,56173.79,3260860.5,9016.990098210114,1753801593706,Synapse54,1753801593706,Synapse54
180,"H2Y (Montreal, QC)",H2Y,130126.55,130126.55,1658875.0,7811.331119881591,1753801593706,Synapse54,1753801593706,Synapse54
181,"H2Z (Montreal, QC)",H2Z,84695.04,84695.04,598367.5,3228.1201023826216,1753801593706,Synapse54,1753801593706,Synapse54
182,"H3A (Montreal, QC)",H3A,56724.81,56724.81,1952640.0,8051.6260641867375,1753801593706,Synapse54,1753801593706,Synapse54
183,"H3B (Montreal, QC)",H3B,58009.51,58009.51,927950.0,5036.520981944944,1753801593706,Synapse54,1753801593706,Synapse54
184,"H3C (Montreal, QC)",H3C,106335.29,106335.29,17209727.0,33681.90517416176,1753801593706,Synapse54,1753801593706,Synapse54
185,"H3E (Montreal, QC)",H3E,126940.58,126940.58,9825716.5,14615.034290309737,1753801593706,Synapse54,1753801593706,Synapse54
186,"H3G (Montreal, QC)",H3G,59890.07,59890.07,2139910.0,8520.81981818768,1753801593706,Synapse54,1753801593706,Synapse54
187,"H3H (Montreal, QC)",H3H,53451.67,53451.67,5138945.5,17420.06994824536,1753801593706,Synapse54,1753801593706,Synapse54
188,"H3J (Montreal, QC)",H3J,100283.03,100283.03,2674031.0,6742.466153977455,1753801593706,Synapse54,1753801593706,Synapse54
189,"H3K (Montreal, QC)",H3K,90109.2,90109.2,6571158.0,11318.657050191392,1753801593706,Synapse54,1753801593706,Synapse54
190,"H3L (Montreal, QC)",H3L,88291.33,88291.33,8682987.0,13055.356607199148,1753801593706,Synapse54,1753801593706,Synapse54
191,"H3M (Montreal, QC)",H3M,87292.47,87292.47,5900605.5,11105.82837103115,1753801593706,Synapse54,1753801593706,Synapse54
192,"H3N (Montreal, QC)",H3N,66629.77,66629.77,3362662.5,8891.918324885475,1753801593706,Synapse54,1753801593706,Synapse54
193,"H3P (Montreal, QC)",H3P,177588.9,177588.9,5651704.5,9798.453260458433,1753801593706,Synapse54,1753801593706,Synapse54
194,"H3R (Montreal, QC)",H3R,164798.16,164798.16,5400500.0,9553.23690396402,1753801593706,Synapse54,1753801593706,Synapse54
195,"H3S (Montreal, QC)",H3S,72542.22,72542.22,5351564.5,9656.774003388971,1753801593706,Synapse54,1753801593706,Synapse54
196,"H3T (Montreal, QC)",H3T,67125.44,67125.44,3607516.5,8899.065890536858,1753801593706,Synapse54,1753801593706,Synapse54
197,"H3V (Montreal, QC)",H3V,74427.23,74427.23,3676769.0,9340.08432806038,1753801593706,Synapse54,1753801593706,Synapse54
198,"H3W (Montreal, QC)",H3W,84241.19,84241.19,5569083.5,12464.00419712417,1753801593706,Synapse54,1753801593706,Synapse54
199,"H3X (Montreal, QC)",H3X,102287.45,102287.45,8676070.0,13038.712105834822,1753801593706,Synapse54,1753801593706,Synapse54
200,"H3Y (Montreal, QC)",H3Y,404358.19,404358.19,5680936.5,10400.46779440301,1753801593706,Synapse54,1753801593706,Synapse54
201,"H3Z (Montreal, QC)",H3Z,123555.73,123555.73,2971245.0,7979.12833061372,1753801593706,Synapse54,1753801593706,Synapse54
202,"H4A (Montreal, QC)",H4A,103574.78,103574.78,6339669.0,10830.775097279686,1753801593706,Synapse54,1753801593706,Synapse54
203,"H4B (Montreal, QC)",H4B,71463.81,71463.81,5495449.5,11430.593825626274,1753801593706,Synapse54,1753801593706,Synapse54
204,"H4C (Montreal, QC)",H4C,90678.45,90678.45,10079054.5,19231.90024241674,1753801593706,Synapse54,1753801593706,Synapse54
205,"H4E (Montreal, QC)",H4E,81269.15,81269.15,10446763.5,18116.080205740356,1753801593706,Synapse54,1753801593706,Synapse54
206,"H4G (Verdun, QC)",H4G,87113.67,87113.67,6200126.5,10435.627645908377,1753801593706,Synapse54,1753801593706,Synapse54
207,"H4H (Verdun, QC)",H4H,98176.85,98176.85,6500184.5,11023.978149390903,1753801593706,Synapse54,1753801593706,Synapse54
