OBJECTID,DESCRIPTION,ID,MP10138A_B,MP10138A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
50,32117 (Daytona Beach),32117,729,2.82,2.82,39938750.0,32801.524025943756,1754588013551,Synapse54,1754588013551,Synapse54
51,32118 (Daytona Beach),32118,532,3.33,3.33,14031250.0,42367.058574361115,1754588013551,Synapse54,1754588013551,Synapse54
52,32119 (Daytona Beach),32119,622,3.15,3.15,27593750.0,39162.75475916372,1754588013551,Synapse54,1754588013551,Synapse54
53,32124 (Daytona Beach),32124,381,2.87,2.87,273608750.0,111698.02135798901,1754588013551,Synapse54,1754588013551,Synapse54
54,32127 (Port Orange),32127,676,2.66,2.66,50451452.78515625,130297.71997727583,1754588013551,Synapse54,1754588013551,Synapse54
55,32128 (Port Orange),32128,634,3.39,3.39,63188750.0,46967.85294709776,1754588013551,Synapse54,1754588013551,Synapse54
56,32129 (Port Orange),32129,615,3.08,3.08,24290000.0,30324.104747306,1754588013551,Synapse54,1754588013551,Synapse54
57,32130 (De Leon Springs),32130,106,2.41,2.41,167587500.0,80140.45949688833,1754588013551,Synapse54,1754588013551,Synapse54
58,32131 (East Palatka),32131,88,2.1,2.1,135461250.0,79850.27520584529,1754588013551,Synapse54,1754588013551,Synapse54
59,32132 (Edgewater),32132,171,2.42,2.42,27955041.66796875,34362.64505180427,1754588013551,Synapse54,1754588013551,Synapse54
60,32134 (Fort Mc Coy),32134,182,2.66,2.66,1257856250.0,215766.4832839518,1754588013551,Synapse54,1754588013551,Synapse54
61,32136 (Flagler Beach),32136,269,3.13,3.13,70679038.46289062,110890.263916486,1754588013551,Synapse54,1754588013551,Synapse54
62,32137 (Palm Coast),32137,1275,2.84,2.84,391556370.61328125,288656.90221326513,1754588013551,Synapse54,1754588013551,Synapse54
63,32139 (Georgetown),32139,16,1.36,1.36,86308750.0,58125.876486561116,1754588013551,Synapse54,1754588013551,Synapse54
64,32140 (Florahome),32140,21,1.47,1.47,121750000.0,54909.806656870314,1754588013551,Synapse54,1754588013551,Synapse54
65,32141 (Edgewater),32141,423,2.63,2.63,111011584.46484375,309196.15894862957,1754588013551,Synapse54,1754588013551,Synapse54
66,32145 (Hastings),32145,164,3.18,3.18,316661250.0,100674.02113454223,1754588013551,Synapse54,1754588013551,Synapse54
67,32148 (Interlachen),32148,170,1.71,1.71,356460000.0,132401.82806715154,1754588013551,Synapse54,1754588013551,Synapse54
68,32159 (Lady Lake),32159,789,2.81,2.81,113933750.0,69144.72136486213,1754588013551,Synapse54,1754588013551,Synapse54
69,32162 (The Villages),32162,1557,2.94,2.94,83887500.0,67707.15185416244,1754588013551,Synapse54,1754588013551,Synapse54
70,32163 (The Villages),32163,1186,3.01,3.01,76950000.0,100303.96999489571,1754588013551,Synapse54,1754588013551,Synapse54
71,32164 (Palm Coast),32164,1315,2.84,2.84,116958750.0,62358.9338723874,1754588013551,Synapse54,1754588013551,Synapse54
72,32168 (New Smyrna Beach),32168,843,2.88,2.88,454867500.0,179496.16795923776,1754588013551,Synapse54,1754588013551,Synapse54
73,32169 (New Smyrna Beach),32169,315,3.19,3.19,48958166.66796875,180273.35817074162,1754588013551,Synapse54,1754588013551,Synapse54
74,33308 (Fort Lauderdale),33308,1067,3.93,3.93,15811250.0,19390.05511158474,1754588013551,Synapse54,1754588013551,Synapse54
75,32174 (Ormond Beach),32174,1398,2.86,2.86,449461250.0,162754.36739857675,1754588013551,Synapse54,1754588013551,Synapse54
76,32176 (Ormond Beach),32176,402,3.08,3.08,17402500.0,41275.792159262,1754588013551,Synapse54,1754588013551,Synapse54
77,32177 (Palatka),32177,432,2.09,2.09,931939895.8320312,230978.61372973837,1754588013551,Synapse54,1754588013551,Synapse54
78,32179 (Ocklawaha),32179,210,2.53,2.53,307991250.0,138294.78363979323,1754588013551,Synapse54,1754588013551,Synapse54
79,32180 (Pierson),32180,78,2.27,2.27,543177500.0,153275.10652374852,1754588013551,Synapse54,1754588013551,Synapse54
80,32181 (Pomona Park),32181,36,1.65,1.65,111777500.0,61844.45116343525,1754588013551,Synapse54,1754588013551,Synapse54
81,32187 (San Mateo),32187,27,1.8,1.8,79668750.0,64425.82032585418,1754588013551,Synapse54,1754588013551,Synapse54
82,32189 (Satsuma),32189,109,2.13,2.13,112305000.0,81917.329139038,1754588013551,Synapse54,1754588013551,Synapse54
83,32190 (Seville),32190,22,2.44,2.44,192047500.0,89141.42943393052,1754588013551,Synapse54,1754588013551,Synapse54
84,32193 (Welaka),32193,27,2.94,2.94,7260000.0,15532.99352280092,1754588013551,Synapse54,1754588013551,Synapse54
85,32195 (Weirsdale),32195,94,2.85,2.85,79725000.0,61926.77967575711,1754588013551,Synapse54,1754588013551,Synapse54
86,32202 (Jacksonville),32202,192,3.21,3.21,6963750.0,22110.792544279608,1754588013551,Synapse54,1754588013551,Synapse54
87,32204 (Jacksonville),32204,396,4.84,4.84,9716250.0,14454.156647197895,1754588013551,Synapse54,1754588013551,Synapse54
88,32205 (Jacksonville),32205,817,3.45,3.45,26240000.0,26949.613631690012,1754588013551,Synapse54,1754588013551,Synapse54
89,32206 (Jacksonville),32206,382,2.77,2.77,22973750.0,25127.349115187742,1754588013551,Synapse54,1754588013551,Synapse54
90,32207 (Jacksonville),32207,970,3.07,3.07,41346931.818359375,37794.61254897065,1754588013551,Synapse54,1754588013551,Synapse54
91,32208 (Jacksonville),32208,601,2.3,2.3,39111250.0,56673.691910256726,1754588013551,Synapse54,1754588013551,Synapse54
92,32209 (Jacksonville),32209,660,2.45,2.45,34160000.0,34422.46416465982,1754588013551,Synapse54,1754588013551,Synapse54
93,32210 (Jacksonville),32210,1370,2.78,2.78,71707207.65625,91292.50570769409,1754588013551,Synapse54,1754588013551,Synapse54
94,32211 (Jacksonville),32211,813,2.84,2.84,28858750.0,39913.9972129222,1754588013551,Synapse54,1754588013551,Synapse54
95,32212 (Jacksonville),32212,78,6.84,6.84,15391250.0,32402.416075702884,1754588013551,Synapse54,1754588013551,Synapse54
96,32214 (Jacksonville),32214,2,8.7,8.7,2896250.0,10460.374365623815,1754588013551,Synapse54,1754588013551,Synapse54
97,32216 (Jacksonville),32216,1001,3.01,3.01,45318750.0,30417.148904767535,1754588013551,Synapse54,1754588013551,Synapse54
98,32217 (Jacksonville),32217,491,2.99,2.99,18196250.0,24807.664282800983,1754588013551,Synapse54,1754588013551,Synapse54
99,32218 (Jacksonville),32218,1864,3.17,3.17,343272083.33203125,133360.4582071153,1754588013551,Synapse54,1754588013551,Synapse54
100,32219 (Jacksonville),32219,408,3.02,3.02,230663750.0,90819.79236124895,1754588013551,Synapse54,1754588013551,Synapse54
101,32220 (Jacksonville),32220,312,2.85,2.85,162281250.0,82452.84933257019,1754588013551,Synapse54,1754588013551,Synapse54
102,32221 (Jacksonville),32221,848,3.1,3.1,159786250.0,76254.27004258156,1754588013551,Synapse54,1754588013551,Synapse54
103,32222 (Jacksonville),32222,479,3.01,3.01,41855000.0,31894.009567025052,1754588013551,Synapse54,1754588013551,Synapse54
104,32223 (Jacksonville),32223,628,2.94,2.94,40230000.0,31657.75158403209,1754588013551,Synapse54,1754588013551,Synapse54
105,32224 (Jacksonville),32224,1306,3.65,3.65,58808750.0,54603.915947366266,1754588013551,Synapse54,1754588013551,Synapse54
106,32225 (Jacksonville),32225,1420,3.18,3.18,91519761.90429688,99456.51624352294,1754588013551,Synapse54,1754588013551,Synapse54
107,32226 (Jacksonville),32226,582,3.45,3.45,309917826.6074219,521882.42369927873,1754588013551,Synapse54,1754588013551,Synapse54
108,32227 (Jacksonville),32227,235,6.8,6.8,7162500.0,20870.272734897993,1754588013551,Synapse54,1754588013551,Synapse54
109,32233 (Atlantic Beach),32233,656,3.11,3.11,34141000.0,60046.58291901578,1754588013551,Synapse54,1754588013551,Synapse54
110,32234 (Jacksonville),32234,176,2.8,2.8,443460000.0,178110.13114169426,1754588013551,Synapse54,1754588013551,Synapse54
111,32244 (Jacksonville),32244,1449,2.83,2.83,88041250.0,52663.57461870429,1754588013551,Synapse54,1754588013551,Synapse54
112,32246 (Jacksonville),32246,1681,3.47,3.47,67588750.0,40806.88033338723,1754588013551,Synapse54,1754588013551,Synapse54
113,32250 (Jacksonville Beach),32250,933,3.52,3.52,32888360.671875,94236.3643829393,1754588013551,Synapse54,1754588013551,Synapse54
114,32254 (Jacksonville),32254,280,2.48,2.48,41998750.0,33418.85979159952,1754588013551,Synapse54,1754588013551,Synapse54
115,32256 (Jacksonville),32256,2356,4.07,4.07,225911250.0,66007.62658510808,1754588013551,Synapse54,1754588013551,Synapse54
116,32257 (Jacksonville),32257,1035,3.07,3.07,43317500.0,29140.675576359034,1754588013551,Synapse54,1754588013551,Synapse54
117,32258 (Jacksonville),32258,1059,3.31,3.31,64878750.0,42662.09618659431,1754588013551,Synapse54,1754588013551,Synapse54
118,32259 (Saint Johns),32259,2602,4.45,4.45,192821071.42773438,77497.20408704606,1754588013551,Synapse54,1754588013551,Synapse54
119,32266 (Neptune Beach),32266,209,3.6,3.6,9062500.0,13335.080168438277,1754588013551,Synapse54,1754588013551,Synapse54
120,32277 (Jacksonville),32277,690,2.75,2.75,24528750.0,38807.5883494788,1754588013551,Synapse54,1754588013551,Synapse54
121,32301 (Tallahassee),32301,934,3.72,3.72,38680000.0,40367.83146078246,1754588013551,Synapse54,1754588013551,Synapse54
122,32303 (Tallahassee),32303,1178,3.08,3.08,140372500.0,85218.77527253964,1754588013551,Synapse54,1754588013551,Synapse54
123,32304 (Tallahassee),32304,1866,3.85,3.85,56090000.0,53901.472732338276,1754588013551,Synapse54,1754588013551,Synapse54
124,32305 (Tallahassee),32305,370,2.37,2.37,325016250.0,123492.51771999865,1754588013551,Synapse54,1754588013551,Synapse54
125,32306 (Tallahassee),32306,0,0.0,0.0,895000.0,4693.147408092246,1754588013551,Synapse54,1754588013551,Synapse54
126,32307 (Tallahassee),32307,39,4.48,4.48,416250.0,2752.769256906871,1754588013551,Synapse54,1754588013551,Synapse54
127,32308 (Tallahassee),32308,778,3.86,3.86,50062500.0,38065.325049785235,1754588013551,Synapse54,1754588013551,Synapse54
128,32309 (Tallahassee),32309,801,3.25,3.25,454176250.0,129589.67442891216,1754588013551,Synapse54,1754588013551,Synapse54
129,32310 (Tallahassee),32310,381,2.59,2.59,591277500.0,150037.1444402268,1754588013551,Synapse54,1754588013551,Synapse54
130,32311 (Tallahassee),32311,619,3.16,3.16,272900000.0,111832.1119120944,1754588013551,Synapse54,1754588013551,Synapse54
131,32312 (Tallahassee),32312,895,3.28,3.28,372215000.0,135252.91772116843,1754588013551,Synapse54,1754588013551,Synapse54
132,32317 (Tallahassee),32317,400,3.27,3.27,152206250.0,63049.81455123837,1754588013551,Synapse54,1754588013551,Synapse54
133,32320 (Apalachicola),32320,78,2.39,2.39,227960000.0,198617.58464167797,1754588013551,Synapse54,1754588013551,Synapse54
134,32321 (Bristol),32321,57,1.17,1.17,1277885000.0,274280.7957321937,1754588013551,Synapse54,1754588013551,Synapse54
135,32322 (Carrabelle),32322,74,2.02,2.02,571215000.0,205768.4535621271,1754588013551,Synapse54,1754588013551,Synapse54
136,32323 (Lanark Village),32323,5,2.78,2.78,342500.0,3574.5362014289094,1754588013551,Synapse54,1754588013551,Synapse54
137,32324 (Chattahoochee),32324,65,1.71,1.71,232218750.0,87676.51201202611,1754588013551,Synapse54,1754588013551,Synapse54
138,32327 (Crawfordville),32327,763,2.9,2.9,1226549550.8632812,454599.29712426825,1754588013551,Synapse54,1754588013551,Synapse54
139,32328 (Eastpoint),32328,74,2.25,2.25,971342500.0,459915.23595752876,1754588013551,Synapse54,1754588013551,Synapse54
140,32330 (Greensboro),32330,0,0.0,0.0,143750.0,1591.0063789993565,1754588013551,Synapse54,1754588013551,Synapse54
141,32331 (Greenville),32331,58,1.71,1.71,1354316250.0,275730.7187950052,1754588013551,Synapse54,1754588013551,Synapse54
142,32332 (Gretna),32332,27,2.39,2.39,11868750.0,23025.098997571473,1754588013551,Synapse54,1754588013551,Synapse54
143,32333 (Havana),32333,198,2.11,2.11,374488735.2949219,125533.51220048688,1754588013551,Synapse54,1754588013551,Synapse54
144,32334 (Hosford),32334,36,2.64,2.64,1657302500.0,272287.9827384704,1754588013551,Synapse54,1754588013551,Synapse54
145,32336 (Lamont),32336,20,1.51,1.51,1040231250.0,286815.9523599527,1754588013551,Synapse54,1754588013551,Synapse54
146,32337 (Lloyd),32337,0,0.0,0.0,502500.0,3102.9858812935154,1754588013551,Synapse54,1754588013551,Synapse54
147,32340 (Madison),32340,153,1.72,1.72,914758750.0,226872.91591040554,1754588013551,Synapse54,1754588013551,Synapse54
148,32343 (Midway),32343,88,3.35,3.35,37405000.0,48263.60652730696,1754588013551,Synapse54,1754588013551,Synapse54
149,32344 (Monticello),32344,243,2.12,2.12,1148767500.0,247219.62189251915,1754588013551,Synapse54,1754588013551,Synapse54
150,32346 (Panacea),32346,50,3.0,3.0,150716408.4609375,288277.33258256677,1754588013551,Synapse54,1754588013551,Synapse54
151,32347 (Perry),32347,133,2.22,2.22,1557509699.2226562,362969.0738432816,1754588013551,Synapse54,1754588013551,Synapse54
152,32348 (Perry),32348,187,2.1,2.1,1410469573.125,291966.04448836774,1754588013551,Synapse54,1754588013551,Synapse54
153,32350 (Pinetta),32350,21,1.78,1.78,160310000.0,71719.3571554621,1754588013551,Synapse54,1754588013551,Synapse54
154,32351 (Quincy),32351,241,1.79,1.79,841310000.0,212959.33254663987,1754588013551,Synapse54,1754588013551,Synapse54
155,32352 (Quincy),32352,87,1.86,1.86,355733750.0,99867.74050022653,1754588013551,Synapse54,1754588013551,Synapse54
156,32355 (Saint Marks),32355,5,2.26,2.26,3497500.0,8466.3748805944,1754588013551,Synapse54,1754588013551,Synapse54
157,32356 (Salem),32356,2,2.9,2.9,129766250.0,58134.81273257344,1754588013551,Synapse54,1754588013551,Synapse54
158,32358 (Sopchoppy),32358,54,2.8,2.8,894877009.6113281,232514.207643592,1754588013551,Synapse54,1754588013551,Synapse54
159,32359 (Steinhatchee),32359,47,2.86,2.86,476036777.3691406,235338.11215021272,1754588013551,Synapse54,1754588013551,Synapse54
160,32360 (Telogia),32360,0,0.0,0.0,458750.0,2646.697432601785,1754588013551,Synapse54,1754588013551,Synapse54
161,32399 (Tallahassee),32399,0,0.0,0.0,242500.0,2533.508749109257,1754588013551,Synapse54,1754588013551,Synapse54
162,32401 (Panama City),32401,433,2.61,2.61,37580000.0,71785.59289499267,1754588013551,Synapse54,1754588013551,Synapse54
163,32403 (Panama City),32403,10,4.5,4.5,213520000.0,232821.54699184545,1754588013551,Synapse54,1754588013551,Synapse54
164,32404 (Panama City),32404,958,2.71,2.71,707493750.0,280706.09174980834,1754588013551,Synapse54,1754588013551,Synapse54
165,32405 (Panama City),32405,694,2.84,2.84,65865111.919921875,70063.50181960287,1754588013551,Synapse54,1754588013551,Synapse54
166,32407 (Panama City Beach),32407,468,3.17,3.17,67396594.85351562,66712.27179463478,1754588013551,Synapse54,1754588013551,Synapse54
167,32408 (Panama City),32408,492,3.15,3.15,36592556.1796875,92086.45171354171,1754588013551,Synapse54,1754588013551,Synapse54
168,32409 (Panama City),32409,199,2.56,2.56,535931250.0,201878.82993092385,1754588013551,Synapse54,1754588013551,Synapse54
169,32413 (Panama City Beach),32413,484,3.18,3.18,321423221.9316406,150403.77839008538,1754588013551,Synapse54,1754588013551,Synapse54
170,32420 (Alford),32420,38,1.86,1.86,208651250.0,88470.38594817699,1754588013551,Synapse54,1754588013551,Synapse54
171,32421 (Altha),32421,61,1.9,1.9,541116250.0,182010.1889345969,1754588013551,Synapse54,1754588013551,Synapse54
172,32423 (Bascom),32423,18,1.87,1.87,250790416.66796875,112238.04606352194,1754588013551,Synapse54,1754588013551,Synapse54
173,32424 (Blountstown),32424,99,1.76,1.76,544576250.0,175919.06207446358,1754588013551,Synapse54,1754588013551,Synapse54
174,32425 (Bonifay),32425,180,1.55,1.55,973843750.0,180005.753022048,1754588013551,Synapse54,1754588013551,Synapse54
175,32426 (Campbellton),32426,9,1.41,1.41,163367500.0,71767.80457763003,1754588013551,Synapse54,1754588013551,Synapse54
176,32427 (Caryville),32427,15,1.37,1.37,186842500.0,92635.47742056372,1754588013551,Synapse54,1754588013551,Synapse54
177,32428 (Chipley),32428,290,1.96,1.96,1027001250.0,203321.2045567596,1754588013551,Synapse54,1754588013551,Synapse54
178,32430 (Clarksville),32430,19,1.89,1.89,256593750.0,114065.26561112957,1754588013551,Synapse54,1754588013551,Synapse54
179,32431 (Cottondale),32431,67,1.72,1.72,369447500.0,140251.89105623393,1754588013551,Synapse54,1754588013551,Synapse54
180,32433 (Defuniak Springs),32433,287,1.86,1.86,952751250.0,223033.87468424859,1754588013551,Synapse54,1754588013551,Synapse54
181,32435 (Defuniak Springs),32435,141,2.33,2.33,968508750.0,198731.32877934736,1754588013551,Synapse54,1754588013551,Synapse54
182,32437 (Ebro),32437,9,1.85,1.85,113285000.0,84471.03065248832,1754588013551,Synapse54,1754588013551,Synapse54
183,32438 (Fountain),32438,51,1.41,1.41,213026250.0,82845.5407387841,1754588013551,Synapse54,1754588013551,Synapse54
184,32439 (Freeport),32439,455,3.02,3.02,543667500.0,211462.01881704378,1754588013551,Synapse54,1754588013551,Synapse54
185,32440 (Graceville),32440,110,1.72,1.72,373083750.0,111936.50786829283,1754588013551,Synapse54,1754588013551,Synapse54
186,32442 (Grand Ridge),32442,72,2.43,2.43,347035000.0,148855.50230548473,1754588013551,Synapse54,1754588013551,Synapse54
187,32443 (Greenwood),32443,35,1.41,1.41,204275000.0,93723.78450388387,1754588013551,Synapse54,1754588013551,Synapse54
188,32444 (Lynn Haven),32444,489,3.1,3.1,34196397.01171875,63221.47229181387,1754588013551,Synapse54,1754588013551,Synapse54
189,32445 (Malone),32445,41,1.92,1.92,68053750.0,42547.06314612425,1754588013551,Synapse54,1754588013551,Synapse54
190,32446 (Marianna),32446,213,2.29,2.29,605728750.0,199870.43853141012,1754588013551,Synapse54,1754588013551,Synapse54
191,32448 (Marianna),32448,129,1.9,1.9,682997500.0,162313.89741455344,1754588013551,Synapse54,1754588013551,Synapse54
